O, ﻿o
Palmeiras-Parmalat, palmeiras-parmalat
enfrenta, enfrenta
o, o
Satierf-Sabesp, satierf-sabesp
,, ,
hoje, hoje
,, ,
às, às
20h30, 20h30
,, ,
em, em
Franca, franca
,, ,
no, no
jogo, jogo
final, final
do, do
último, último
quadrangular, quadrangular
do, do
Grupo, grupo
A, a
da, da
segunda, segunda
fase, fase
do, do
Estadual, estadu
masculino, masculino
., .
Apesar, apesar
de, de
o, o
adversário, adversário
ser, ser
o, o
líder, líder
(, (
ganhou, ganhou
nove, nove
dos, do
dez, dez
primeiros, primeiro
jogos, jogo
dos, do
quadrangulares, quadrangular
), )
,, ,
o, o
Palmeiras, palmeira
está, está
tranquilo, tranquilo
,, ,
pois, poi
garantiu, garantiu
sua, sua
classificação, classificação
para, para
as, as
finais, finai
ao, ao
vencer, vencer
o, o
Guaru, guaru
,, ,
sexta-feira, sexta-feira
,, ,
por, por
109, 109
a, a
87, 87
., .

, 

No, no
outro, outro
jogo, jogo
da, da
rodada, rodada
,, ,
o, o
Satierf, satierf
ganhou, ganhou
do, do
Santista, santista
Têxtil-Sírio, têxtil-sírio
por, por
106, 106
a, a
89, 89
., .
Satierf, satierf
e, e
Palmeiras, palmeira
estão, estão
classificados, classificado
., .
Sírio, sírio
e, e
Guaru, guaru
,, ,
que, que
se, se
enfrentam, enfrentam
hoje, hoje
,, ,
às, às
18h30, 18h30
,, ,
decidem, decidem
a, a
última, última
vaga, vaga
para, para
a, a
próxima, próxima
fase, fase
., .

, 

No, no
Grupo, grupo
B, b
,, ,
o, o
último, último
quadrangular, quadrangular
começou, começ
sexta-feira, sexta-feira
,, ,
em, em
Jales, jale
,, ,
com, com
os, os
classificados, classificado
definidos, definido
:, :
Blue, blue
Life, life
,, ,
Dharma-Yara, dharma-yara
e, e
Banespa, banespa
., .
Hoje, hoje
jogam, jogam
:, :
Dharma, dharma
x, x
Report, report
e, e
Banespa, banespa
x, x
Blue, blue
Life, life
., .

, 

No, no
feminino, feminino
,, ,
a, a
abertura, abertura
do, do
último, último
quadrangular, quadrangular
,, ,
em, em
Campinas, campina
,, ,
definiu, definiu
o, o
emparceiramento, emparceiramento
das, da
semifinais, semifinai
,, ,
do, do
próximo, próximo
sábado, sábado
:, :
Nossa, nossa
Caixa, caixa
x, x
Cesp-Unimep, cesp-unimep
e, e
Unimed, unim
Brasil, brasil
x, x
Lacta, lacta
., .
Resultados, resultado
de, de
anteontem, anteontem
:, :
Ponte, pont
96, 96
x, x
76, 76
Cesp, cesp
e, e
Lacta, lacta
110, 110
x, x
98, 98
Unimed, unim
., .

, 

NA, na
TV, tv

, 

Record, record
,, ,
ao, ao
vivo, vivo
,, ,
às, às
20h30, 20h30
,, ,
Satierf, satierf
x, x
Palmeiras, palmeira
;, ;
Manchete, manchet
,, ,
ao, ao
vivo, vivo
,, ,
às, às
14h, 14h
,, ,
Unimed, unim
x, x
Cesp, cesp
e, e
,, ,
às, às
16h, 16h
,, ,
Nossa, nossa
Caixa, caixa
x, x
Lacta, lacta

, 

