O, ﻿o
mineiro, mineiro
Ronaldo, ronaldo
da, da
Costa, costa
,, ,
23, 23
,, ,
brasileiro, brasileiro
que, que
obteve, obtev
o, o
melhor, melhor
resultado, resultado
na, na
São, são
Silvestre, silvestr
(, (
7.º, 7.º
lugar, lugar
), )
,, ,
disse, diss
que, que
sua, sua
atuação, atuação
na, na
corrida, corrida
não, não
o, o
satisfez, satisfez
., .
", "
Treinei, treinei
para, para
chegar, chegar
pelo, pelo
menos, meno
entre, entr
os, os
cinco, cinco
primeiros, primeiro
., .
Minha, minha
colocação, colocação
não, não
foi, foi
tão, tão
boa, boa
", "
,, ,
afirmou, afirm
., .

, 

Ele, ele
disse, diss
que, que
o, o
que, que
o, o
deixou, deixou
feliz, feliz
foi, foi
ter, ter
sido, sido
o, o
brasileiro, brasileiro
mais, mai
rápido, rápido
., .
", "
Pude, pude
ganhar, ganhar
um, um
carro, carro
", "
,, ,
disse, diss
,, ,
referindo-se, referindo-s
ao, ao
Fiat, fiat
Uno, uno
Mille, mill
Eletronic, eletron
que, que
a, a
Fiat, fiat
,, ,
uma, uma
das, da
patrocinadoras, patrocinadora
da, da
São, são
Silvestre, silvestr
,, ,
ofereceu, ofereceu
para, para
ele, ele
e, e
Carmem, carmem
de, de
Oliveira, oliveira
,, ,
28, 28
,, ,
os, os
primeiros, primeiro
brasileiros, brasileiro
que, que
chegarem, chegarem
nas, na
provas, prova
., .

, 

Costa, costa
não, não
pretende, pretend
ficar, ficar
com, com
o, o
carro, carro
., .
", "
Vou, vou
vender, vender
e, e
aplicar, aplicar
o, o
dinheiro, dinheiro
., .
Não, não
sei, sei
ainda, ainda
o, o
que, que
farei, farei
., .
", "
Nos, no
planos, plano
de, de
Costa, costa
está, está
uma, uma
viagem, viagem
de, de
descanso, descanso
no, no
final, final
deste, dest
mês, mê
para, para
Manaus, manau
ou, ou
Salvador, salvador
., .
Depois, depoi
,, ,
o, o
corredor, corredor
irá, irá
treinar, treinar
em, em
Tampa, tampa
,, ,
EUA, eua
., .

, 

Carmem, carmem
de, de
Oliveira, oliveira
,, ,
2.º, 2.º
lugar, lugar
na, na
prova, prova
feminina, feminina
,, ,
estava, estava
bem, bem
mais, mai
feliz, feliz
com, com
sua, sua
classificação, classificação
., .
", "
Consegui, consegui
diminuir, diminuir
meu, meu
tempo, tempo
em, em
mais, mai
de, de
três, trê
minutos, minuto
em, em
relação, relação
ao, ao
ano, ano
passado, passado
., .
", "
Carmem, carmem
disse, diss
que, que
ficará, ficará
com, com
o, o
automóvel, automóvel
,, ,
apesar, apesar
de, de
morar, morar
nos, no
EUA, eua
., .
", "
Não, não
tenho, tenho
carro, carro
aqui, aqui
no, no
Brasil, brasil
., .
Vou, vou
deixá-lo, deixá-lo
em, em
Brasília, brasília
,, ,
com, com
a, a
minha, minha
família, família
., .
", "
(, (
DA, da
), )

, 

