A, ﻿a
troca, troca
de, de
`, `
`, `
desafios, desafio
'', ''
entre, entr
os, os
dois, doi
norte-americanos, norte-americano
que, que
lideram, lideram
o, o
ranking, rank
mundial, mundial
monopolizou, monopoliz
,, ,
injustamente, injustament
,, ,
o, o
noticiário, noticiário
tenístico, tenístico
dos, do
últimos, último
dias, dia
., .

, 

Andre, andr
Agassi, agassi
,, ,
o, o
número, número
1, 1
,, ,
resolveu, resolveu
soltar, soltar
várias, vária
farpas, farpa
contra, contra
o, o
ex-número, ex-número
1, 1
e, e
atual, atual
segundo, segundo
colocado, colocado
do, do
ranking, rank
,, ,
Pete, pete
Sampras, sampra
., .

, 

`, `
`, `
Sou, sou
superior, superior
a, a
Sampras, sampra
em, em
qualquer, qualquer
superfície, superfíci
'', ''
,, ,
foi, foi
o, o
mais, mai
recente, recent
desafio, desafio
de, de
Agassi, agassi
., .
`, `
`, `
Espero, espero
que, que
ele, ele
consiga, consiga
chegar, chegar
até, até
a, a
final, final
para, para
poder, poder
me, me
enfrentar, enfrentar
'', ''
,, ,
rebateu, rebateu
Sampras, sampra
., .

, 

Na, na
verdade, verdad
,, ,
esse, ess
duelo, duelo
verbal, verbal
é, é
uma, uma
grande, grand
bobagem, bobagem
de, de
dois, doi
fanfarrões, fanfarrõ
., .
Além, além
de, de
parecer, parec
peça, peça
de, de
marketing, market
encomendada, encomendada
(, (
já, já
que, que
os, os
dois, doi
sempre, sempr
se, se
deram, deram
bem, bem
), )
,, ,
não, não
reflete, reflet
a, a
real, real
expectativa, expectativa
., .

, 

Nenhum, nenhum
dos, do
dois, doi
pode, pode
ser, ser
considerado, considerado
favorito, favorito
na, na
França, frança
,, ,
já, já
que, que
o, o
piso, piso
de, de
saibro, saibro
desfavorece, desfavorec
os, os
dois, doi
., .
Agassi, agassi
até, até
que, que
conseguiu, conseguiu
dois, doi
vices, vice
em, em
Roland, roland
Garros, garro
(, (
1990, 1990
e, e
91, 91
), )
,, ,
mas, ma
Sampras, sampra
nunca, nunca
passou, passou
das, da
quartas-de-final, quartas-de-fin
., .

, 

Os, os
dois, doi
reis, rei
norte-americanos, norte-americano
vão, vão
ter, ter
muitas, muita
dificuldades, dificuldad
para, para
poder, poder
cumprir, cumprir
suas, sua
promessas, promessa
de, de
campanha, campanha
., .

, 

(, (
TM, tm
), )

, 

