Mesmo, ﻿mesmo
com, com
a, a
permanência, permanência
de, de
Viola, viola
até, até
o, o
final, final
do, do
Paulista, paulista
,, ,
o, o
técnico, técnico
Eduardo, eduardo
Amorim, amorim
exige, exig
a, a
contratação, contratação
imediata, imediata
de, de
mais, mai
um, um
atacante, atacant
para, para
o, o
Corinthians, corinthian
., .

, 

Muller, muller
,, ,
do, do
Kashiwa, kashiwa
Reysol, reysol
(, (
do, do
Japão, japão
), )
,, ,
ainda, ainda
é, é
o, o
nome, nome
preferido, preferido
., .

, 

`, `
`, `
Mas, ma
só, só
nos, no
interessa, interessa
o, o
empréstimo, empréstimo
dele, dele
'', ''
,, ,
disse, diss
José, josé
Mansur, mansur
,, ,
diretor, diretor
de, de
futebol, futebol
., .

, 

A, a
contratação, contratação
definitiva, definitiva
seria, seria
inviável, inviável
pela, pela
multa, multa
rescisória, rescisória
exigida, exigida
pelo, pelo
Kashiwa, kashiwa
:, :
US$, us$
1, 1
milhão, milhão
., .

, 

