Ao, ﻿ao
contrário, contrário
de, de
muitos, muito
moticiclistas, moticiclista
no, no
Brasil, brasil
,, ,
um, um
piloto, piloto
de, de
F-1, f-1
não, não
abre, abr
mão, mão
de, de
usar, usar
seu, seu
capacete, capacet
pela, pela
simples, simpl
razão, razão
de, de
que, que
ele, ele
pode, pode
salvar, salvar
sua, sua
vida, vida
., .

, 

E, e
é, é
em, em
nome, nome
da, da
segurança, segurança
que, que
muitos, muito
capacetes, capacet
são, são
destruídos, destruído
em, em
duríssimos, duríssimo
testes, test
para, para
que, que
sejam, sejam
avaliadas, avaliada
suas, sua
qualidades, qualidad
., .

, 

Elaborado, elaborado
a, a
partir, partir
de, de
uma, uma
composição, composição
de, de
materiais, materiai
,, ,
a, a
parte, part
externa, externa
de, de
um, um
capacete, capacet
é, é
projetada, projetada
para, para
espalhar, espalhar
o, o
choque, choqu
recebido, recebido
em, em
um, um
acidente, acident
pela, pela
maior, maior
área, área
possível, possível
., .
No, no
interior, interior
,, ,
um, um
polímero, polímero
é, é
usado, usado
para, para
amenizar, amenizar
os, os
feitos, feito
da, da
inércia, inércia
na, na
cabeça, cabeça
do, do
piloto, piloto
após, apó
um, um
choque, choqu
., .

, 

Um, um
dos, do
testes, test
que, que
servem, servem
para, para
medir, medir
a, a
eficiência, eficiência
dos, do
capacetes, capacet
é, é
realizado, realizado
pela, pela
Snell, snell
Memorial, memori
Foundation, foundat
,, ,
nos, no
Estados, estado
Unidos, unido
., .

, 

Os, os
capacetes, capacet
são, são
jogados, jogado
de, de
uma, uma
altura, altura
de, de
3, 3
metros, metro
,, ,
castigados, castigado
por, por
picaretas, picareta
e, e
queimados, queimado
a, a
800, 800
graus, grau
., .

, 

Tudo, tudo
isso, isso
gera, gera
um, um
custo, custo
,, ,
que, que
se, se
reflete, reflet
no, no
preço, preço
do, do
capacete, capacet
., .
O, o
da, da
marca, marca
Bell, bell
,, ,
utilizado, utilizado
por, por
Michael, michael
Schumacher, schumach
,, ,
custa, custa
US$, us$
3.500,00, 3.500,00
., .

, 

(, (
JHM, jhm
), )

, 

