A, ﻿a
Portuguesa, portuguesa
enfrenta, enfrenta
o, o
XV, xv
de, de
Piracicaba, piracicaba
hoje, hoje
,, ,
às, às
21h10, 21h10
,, ,
no, no
Canindé, canindé
,, ,
em, em
busca, busca
de, de
sua, sua
`, `
`, `
segunda, segunda
meta, meta
'', ''
neste, nest
Campeonato, campeonato
Paulista, paulista
., .

, 

Com, com
42, 42
pontos, ponto
e, e
ocupando, ocupando
o, o
segundo, segundo
lugar, lugar
na, na
tabela, tabela
,, ,
o, o
time, time
está, está
praticamente, praticament
classificado, classificado
para, para
a, a
fase, fase
final, final
do, do
campeonato, campeonato
., .

, 

O, o
objetivo, objetivo
passa, passa
ser, ser
o, o
ponto, ponto
extra, extra
,, ,
dado, dado
ao, ao
primeiro, primeiro
colocado, colocado
na, na
fase, fase
de, de
classificação, classificação
., .

, 

", "
Nossa, nossa
primeira, primeira
meta, meta
,, ,
que, que
era, era
conseguir, conseguir
a, a
vaga, vaga
,, ,
já, já
foi, foi
atingida, atingida
., .
Agora, agora
vamos, vamo
atrás, atrá
da, da
segunda, segunda
,, ,
que, que
é, é
alcançar, alcançar
o, o
São, são
Paulo, paulo
(, (
45, 45
pontos, ponto
), )
e, e
lutar, lutar
pelo, pelo
ponto, ponto
extra, extra
'', ''
,, ,
disse, diss
o, o
atacante, atacant
Paulinho, paulinho
., .

, 

Segundo, segundo
ele, ele
,, ,
o, o
time, time
vai, vai
jogar, jogar
no, no
ataque, ataqu
nas, na
próximas, próxima
partidas, partida
., .

, 

", "
Vamos, vamo
correr, correr
riscos, risco
,, ,
mas, ma
não, não
deixaremos, deixaremo
jamais, jamai
de, de
atacar, atacar
'', ''
,, ,
confirmou, confirm
o, o
técnico, técnico
Candinho, candinho
., .

, 

O, o
XV, xv
joga, joga
desfalcado, desfalcado
do, do
meio-campista, meio-campista
defensivo, defensivo
Doriva, doriva
,, ,
chamado, chamado
para, para
a, a
seleção, seleção
brasileira, brasileira
,, ,
que, que
enfrentou, enfrent
ontem, ontem
Israel, israel
., .

, 

É, é
o, o
primeiro, primeiro
jogo, jogo
do, do
Paulista, paulista
em, em
que, que
Doriva, doriva
não, não
atua, atua
., .
O, o
jogador, jogador
participou, particip
das, da
23, 23
partidas, partida
da, da
equipe, equip
., .
Seu, seu
substituto, substituto
deverá, deverá
ser, ser
o, o
meio-campista, meio-campista
Alex, alex
., .

, 

PORTUGUESA, portuguesa

, 

Paulo, paulo
César, césar
;, ;
Edinho, edinho
,, ,
Jorginho, jorginho
,, ,
Gilmar, gilmar
e, e
Zé, zé
Roberto, roberto
(, (
Carlos, carlo
Roberto, roberto
), )
;, ;
Roque, roqu
,, ,
Capitão, capitão
,, ,
Caio, caio
e, e
Zinho, zinho
;, ;
Jorge, jorg
Andrade, andrad
e, e
Paulinho, paulinho
., .
Técnico, técnico
-, -
Candinho, candinho

, 

XV, xv
DE, de
PIRACICABA, piracicaba

, 

Anselmo, anselmo
;, ;
Jaime, jaim
,, ,
Biluca, biluca
,, ,
Luís, luí
Fernando, fernando
e, e
Zinho, zinho
;, ;
Alex, alex
,, ,
Ivanildo, ivanildo
,, ,
Almir, almir
e, e
Celinho, celinho
;, ;
Marcão, marcão
e, e
Cláudio, cláudio
Moura, moura
., .
Técnico, técnico
-, -
Rubens, ruben
Minelli, minelli

, 

Local, local
  ,   
estádio, estádio
do, do
Canindé, canindé
,, ,
em, em
São, são
Paulo, paulo

, 

Horário, horário
  ,   
21h10, 21h10

, 

Juiz, juiz
  ,   
José, josé
Aparecido, aparecido
de, de
Oliveira, oliveira

, 

NA, na
TV, tv

, 

Gols, gol
nos, no
telejornais, telejornai
noturno, noturno

, 

