Mesmo, ﻿mesmo
jogando, jogando
mal, mal
,, ,
o, o
São, são
Paulo, paulo
venceu, venceu
o, o
Juventus, juventu
por, por
2, 2
a, a
1, 1
,, ,
ontem, ontem
,, ,
no, no
Morumbi, morumbi
,, ,
e, e
se, se
manteve, mantev
na, na
liderança, liderança
isolada, isolada
do, do
Campeonato, campeonato
Paulista, paulista
,, ,
com, com
52, 52
pontos, ponto
., .

, 

O, o
time, time
tem, tem
mais, mai
quatro, quatro
jogos, jogo
para, para
fazer, fazer
na, na
primeira, primeira
fase, fase
da, da
competição, competição
_, _
Novorizontino, novorizontino
,, ,
Santos, santo
,, ,
Ferroviária, ferroviária
e, e
Portuguesa, portuguesa
_, _
e, e
luta, luta
para, para
manter, manter
o, o
primeiro, primeiro
lugar, lugar
,, ,
que, que
lhe, lhe
daria, daria
um, um
ponto, ponto
extra, extra
no, no
octogonal, octogon
final, final
., .

, 

O, o
Juventus, juventu
,, ,
com, com
26, 26
pontos, ponto
,, ,
está, está
ameaçado, ameaçado
pelo, pelo
rebaixamento, rebaixamento
., .

, 

O, o
São, são
Paulo, paulo
iniciou, inici
o, o
jogo, jogo
de, de
maneira, maneira
fulminante, fulminant
., .

, 

Logo, logo
aos, ao
13s, 13
,, ,
Juninho, juninho
fez, fez
o, o
passe, pass
,, ,
o, o
zagueiro, zagueiro
Nildo, nildo
furou, furou
e, e
a, a
bola, bola
sobrou, sobrou
para, para
Bentinho, bentinho
tocar, tocar
na, na
saída, saída
de, de
Gilmar, gilmar
e, e
marcar, marcar
o, o
seu, seu
18º, 18º
gol, gol
no, no
Paulista, paulista
., .
Ele, ele
é, é
o, o
artilheiro, artilheiro
isolado, isolado
do, do
torneio, torneio
., .

, 

Na, na
súmula, súmula
da, da
partida, partida
,, ,
o, o
juiz, juiz
Roberto, roberto
Perassi, perassi
registrou, registr
o, o
gol, gol
como, como
sendo, sendo
aos, ao
18s, 18
., .

, 

O, o
gol, gol
logo, logo
no, no
começo, começo
não, não
contribuiu, contribuiu
para, para
o, o
São, são
Paulo, paulo
desenvolver, desenvolv
um, um
bom, bom
futebol, futebol
no, no
primeiro, primeiro
tempo, tempo
., .
Aos, ao
berros, berro
,, ,
Telê, telê
Santana, santana
exigia, exigia
uma, uma
melhor, melhor
produção, produção
da, da
equipe, equip
., .

, 

O, o
time, time
só, só
teve, teve
três, trê
minutos, minuto
de, de
inspiração, inspiração
,, ,
quando, quando
perdeu, perdeu
três, trê
chances, chanc
para, para
ampliar, ampliar
o, o
marcador, marcador
., .

, 

Aos, ao
17min, 17min
,, ,
em, em
cobrança, cobrança
ensaiada, ensaiada
de, de
falta, falta
,, ,
Bordon, bordon
chutou, chutou
forte, fort
,, ,
a, a
bola, bola
desviou, desviou
na, na
barreira, barreira
e, e
o, o
goleiro, goleiro
Gilmar, gilmar
fez, fez
grande, grand
defesa, defesa
., .

, 

Em, em
seguida, seguida
,, ,
Sierra, sierra
fez, fez
grande, grand
passe, pass
para, para
Júnior, júnior
Baiano, baiano
,, ,
que, que
chutou, chutou
em, em
cima, cima
de, de
Gilmar, gilmar
., .

, 

Aos, ao
19min, 19min
,, ,
Juninho, juninho
chutou, chutou
à, à
esquerda, esquerda
do, do
goleiro, goleiro
do, do
Juventus, juventu
,, ,
após, apó
jogada, jogada
individual, individu
., .

, 

A, a
melhor, melhor
chance, chanc
de, de
gol, gol
do, do
primeiro, primeiro
tempo, tempo
acabou, acab
sendo, sendo
do, do
Juventus, juventu
., .
Aos, ao
26min, 26min
,, ,
após, apó
cobrança, cobrança
de, de
escanteio, escanteio
,, ,
Zetti, zetti
saiu, saiu
mal, mal
e, e
Nildo, nildo
cabeceou, cabec
para, para
o, o
gol, gol
., .
Mona, mona
salvou, salvou
o, o
São, são
Paulo, paulo
,, ,
em, em
cima, cima
da, da
linha, linha
., .

, 

O, o
São, são
Paulo, paulo
voltou, voltou
da, da
mesma, mesma
forma, forma
para, para
o, o
segundo, segundo
tempo, tempo
,, ,
mas, ma
chegou, chegou
ao, ao
segundo, segundo
gol, gol
após, apó
nova, nova
falha, falha
do, do
zagueiro, zagueiro
juventino, juventino
Nildo, nildo
., .

, 

Aos, ao
10min, 10min
,, ,
Bentinho, bentinho
entrou, entrou
livre, livr
na, na
área, área
e, e
chutou, chutou
em, em
cima, cima
do, do
goleiro, goleiro
Gilmar, gilmar
., .
No, no
rebote, rebot
,, ,
Nildo, nildo
tentou, tentou
afastar, afastar
e, e
fez, fez
contra, contra
