Três, ﻿trê
escudos, escudo
da, da
Confederação, confederação
Brasileira, brasileira
de, de
Futebol, futebol
impressos, impresso
em, em
", "
ton-sur-ton, ton-sur-ton
", "
(, (
uma, uma
tonalidade, tonalidad
de, de
amarelo, amarelo
sobre, sobr
outra, outra
mais, mai
clara, clara
da, da
mesma, mesma
cor, cor
), )
é, é
a, a
principal, princip
mudança, mudança
na, na
nova, nova
camisa, camisa
da, da
seleção, seleção
brasileira, brasileira
., .
Eles, ele
ocupam, ocupam
quase, quas
toda, toda
a, a
frente, frent
da, da
camisa, camisa
,, ,
apresentada, apresentada
ontem, ontem
na, na
sede, sede
da, da
CBF, cbf
no, no
Rio, rio
., .

, 

O, o
uniforme, uniform
com, com
que, que
o, o
Brasil, brasil
disputará, disputará
a, a
Copa, copa
combina, combina
ousadias, ousadia
estéticas, estética
com, com
a, a
tradição, tradição
do, do
verde-amarelo, verde-amarelo
., .
Passa, passa
a, a
ter, ter
gola, gola
em, em
", "
V, v
", "
,, ,
um, um
", "
must, must
", "
das, da
décadas, década
de, de
50, 50
e, e
60, 60
., .
Detalhes, detalh
em, em
verde, verd
enfeitam, enfeitam
as, as
mangas, manga
., .
O, o
escudo, escudo
da, da
CBF, cbf
e, e
as, as
três, trê
estrelas, estrela
(, (
dos, do
três, trê
títulos, título
mundiais, mundiai
), )
continuam, continuam
bordados, bordado
do, do
lado, lado
esquerdo, esquerdo
., .
No, no
direito, direito
,, ,
sai, sai
o, o
logotipo, logotipo
e, e
cresce, cresc
para, para
20, 20
centímetros, centímetro
quadrados, quadrado
o, o
nome, nome
do, do
fabricante, fabricant
,, ,
a, a
Umbro, umbro
., .

, 

", "
A, a
nova, nova
camisa, camisa
tem, tem
mais, mai
leveza, leveza
,, ,
é, é
mais, mai
bela, bela
", "
,, ,
opina, opina
o, o
técnico, técnico
Carlos, carlo
Alberto, alberto
Parreira, parreira
., .
No, no
ambiente, ambient
descontraído, descontraído
do, do
lançamento, lançamento
da, da
camisa, camisa
,, ,
ele, ele
prometeu, prometeu
que, que
a, a
camisa, camisa
deve, deve
ser, ser
mudada, mudada
depois, depoi
da, da
Copa, copa
com, com
a, a
inclusão, inclusão
de, de
mais, mai
uma, uma
estrela, estrela
para, para
representar, representar
o, o
tetracampeonato, tetracampeonato
., .
A, a
seleção, seleção
levará, levará
400, 400
camisas, camisa
na, na
delegação, delegação
que, que
vai, vai
ao, ao
Mundial, mundial
dos, do
Estados, estado
Unidos, unido
., .
No, no
Brasil, brasil
,, ,
elas, ela
serão, serão
vendidas, vendida
nas, na
lojas, loja
por, por
cerca, cerca
de, de
US$, us$
35, 35
(, (
cerca, cerca
de, de
CR$, cr$
15, 15
mil, mil
), )
., .

, 

A, a
empresa, empresa
prevê, prevê
faturamento, faturamento
mínimo, mínimo
de, de
US$, us$
5, 5
milhões, milhõ
este, est
ano, ano
com, com
a, a
venda, venda
das, da
camisas, camisa
oficias, oficia
e, e
de, de
camisetas, camiseta
com, com
motivos, motivo
da, da
seleção, seleção
., .
O, o
contrato, contrato
de, de
quatro, quatro
anos, ano
com, com
a, a
CBF, cbf
termina, termina
no, no
fim, fim
do, do
ano, ano
., .
O, o
valor, valor
,, ,
não, não
confirmado, confirmado
oficialmente, oficialment
,, ,
é, é
de, de
US$, us$
4, 4
milhões, milhõ
no, no
total, total
,, ,
entre, entr
dinheiro, dinheiro
,, ,
material, materi
de, de
treinamento, treinamento
e, e
de, de
jogos, jogo
., .

, 

Agora, agora
cada, cada
meia, meia
branca, branca
tem, tem
dois, doi
escudos, escudo
da, da
CBF, cbf
., .
O, o
calção, calção
,, ,
azul, azul
,, ,
mostra, mostra
o, o
escudo, escudo
no, no
lado, lado
direito, direito
e, e
o, o
nome, nome
do, do
fabricante, fabricant
no, no
esquerdo, esquerdo
., .
Sobre, sobr
o, o
número, número
da, da
camisa, camisa
,, ,
atrás, atrá
,, ,
será, será
escrito, escrito
o, o
nome, nome
do, do
jogador, jogador
., .
O, o
uniforme, uniform
número, número
2, 2
,, ,
com, com
camisa, camisa
azul, azul
,, ,
permanece, permanec
o, o
mesmo, mesmo
., .

, 

O, o
novo, novo
tecido, tecido
utilizado, utilizado
na, na
camisa, camisa
é, é
poliéster, poliést
em, em
jacquard, jacquard
diagonal, diagon
., .
O, o
antigo, antigo
era, era
produzido, produzido
com, com
linhas, linha
horizontais, horizontai
., .
Segundo, segundo
a, a
Umbro, umbro
,, ,
isso, isso
impede, imped
que, que
fique, fiqu
muito, muito
mais, mai
pesado, pesado
com, com
o, o
suor, suor
dos, do
jogadores, jogador
., .
Não, não
foram, foram
fornecidas, fornecida
informações, informaçõ
sobre, sobr
o, o
peso, peso
da, da
antiga, antiga
camisa, camisa
e, e
da, da
nova, nova
antes, ant
e, e
depois, depoi
dos, do
jogos.(Mário, jogos.(mário
Magalhães, magalhã
), )

, 

