Uma, ﻿uma
falha, falha
na, na
estatística, estatística
oficial, ofici
da, da
carreira, carreira
de, de
Pelé, pelé
fez, fez
com, com
que, que
o, o
seu, seu
milésimo, milésimo
gol, gol
fosse, foss
comemorado, comemorado
na, na
data, data
errada, errada
., .

, 

O, o
verdadeiro, verdadeiro
`, `
`, `
gol, gol
mil, mil
'', ''
aconteceu, aconteceu
na, na
Paraíba, paraíba
,, ,
no, no
jogo, jogo
Botafogo, botafogo
/, /
PB, pb
0, 0
x, x
3, 3
Santos, santo
,, ,
no, no
dia, dia
14, 14
de, de
novembro, novembro
de, de
1969, 1969
., .

, 

Até, até
o, o
último, último
domingo, domingo
,, ,
quando, quando
a, a
Folha, folha
publicou, public
a, a
nova, nova
lista, lista
de, de
gols, gol
do, do
jogador, jogador
,, ,
acreditava-se, acreditava-s
que, que
o, o
milésimo, milésimo
gol, gol
acontecera, acontecera
no, no
Maracanã, maracanã
,, ,
no, no
dia, dia
19, 19
de, de
novembro, novembro
,, ,
em, em
jogo, jogo
do, do
Santos, santo
contra, contra
o, o
Vasco, vasco
., .

, 

O, o
erro, erro
de, de
contagem, contagem
foi, foi
constatado, constatado
em, em
um, um
jogo, jogo
de, de
1959, 1959
_, _
quando, quando
Pelé, pelé
servia, servia
o, o
Exército, exército
_, _
,, ,
válido, válido
pelo, pelo
primeiro, primeiro
Sul-Americano, sul-americano
Militar, militar
de, de
Futebol, futebol
., .

, 

Pelo, pelo
levantamento, levantamento
oficial, ofici
,, ,
feito, feito
pelo, pelo
jornalista, jornalista
De, de
Vaney, vaney
,, ,
o, o
jogo, jogo
entre, entr
as, as
Forças, força
Armadas, armada
do, do
Brasil, brasil
e, e
do, do
Paraguai, paraguai
teria, teria
acontecido, acontecido
em, em
5, 5
de, de
novembro, novembro
de, de
1959, 1959
e, e
terminado, terminado
4, 4
a, a
3, 3
para, para
os, os
brasileiros, brasileiro
., .
Sem, sem
gols, gol
de, de
Pelé, pelé
., .

, 

A, a
Folha, folha
,, ,
porém, porém
,, ,
descobriu, descobriu
_, _
checando, checando
12, 12
jornais, jornai
,, ,
súmulas, súmula
do, do
Santos, santo
e, e
arquivos, arquivo
fotográficos, fotográfico
_, _
que, que
os, os
dados, dado
estão, estão
errados, errado
., .

, 

A, a
partida, partida
do, do
Sul-Americano, sul-americano
ocorreu, ocorreu
em, em
18, 18
de, de
novembro, novembro
,, ,
terminou, termin
4, 4
a, a
1, 1
para, para
o, o
time, time
brasileiro, brasileiro
e, e
Pelé, pelé
marcou, marcou
um, um
gol, gol
,, ,
o, o
segundo, segundo
do, do
jogo, jogo
., .

, 

O, o
verdadeiro, verdadeiro
`, `
`, `
gol, gol
mil, mil
'', ''
só, só
teve, teve
uma, uma
semelhança, semelhança
com, com
o, o
`, `
`, `
gol, gol
1.001, 1.001
'', ''
,, ,
sofrido, sofrido
por, por
Andrada, andrada
,, ,
do, do
Vasco, vasco
:, :
foi, foi
de, de
pênalti, pênalti
., .

, 

Pelé, pelé
fez, fez
ainda, ainda
`, `
`, `
outro, outro
milésimo, milésimo
gol, gol
'', ''
,, ,
82, 82
dias, dia
depois, depoi
., .

, 

Os, os
jogos, jogo
do, do
Exército, exército
não, não
eram, eram
oficiais, oficiai
., .
Não, não
eram, eram
,, ,
também, também
,, ,
jogos, jogo
profissionais, profissionai
., .
Pelé, pelé
nada, nada
recebia, recebia
., .

, 

Por, por
esse, ess
motivo, motivo
,, ,
o, o
jogador, jogador
fez, fez
um, um
`, `
`, `
outro, outro
milésimo, milésimo
gol, gol
'', ''
,, ,
o, o
profissional, profission
,, ,
no, no
dia, dia
4, 4
de, de
fevereiro, fevereiro
de, de
1970, 1970
,, ,
em, em
Santiago, santiago
(, (
Chile, chile
), )
., .

, 

Apesar, apesar
de, de
contar, contar
os, os
jogos, jogo
não-oficiais, não-oficiai
,, ,
a, a
lista, lista
oficial, ofici
,, ,
corrigida, corrigida
e, e
publicada, publicada
pela, pela
Folha, folha
no, no
domingo, domingo
,, ,
não, não
inclui, inclui
jogos-treino, jogos-treino
., .

, 

