O, ﻿o
segundo, segundo
mais, mai
movimentado, movimentado
aeroporto, aeroporto
internacional, internacion
do, do
mundo, mundo
,, ,
o, o
Dallas, dalla
/, /
Fort, fort
Worth, worth
(, (
DFW, dfw
), )
,, ,
no, no
Texas, texa
,, ,
deve, deve
entrar, entrar
na, na
rota, rota
do, do
passageiro, passageiro
brasileiro, brasileiro
., .

, 

É, é
que, que
a, a
American, american
Airlines, airlin
,, ,
maior, maior
companhia, companhia
aérea, aérea
norte-americana, norte-americana
,, ,
está, está
operando, operando
vôos, vôo
diários, diário
para, para
esse, ess
enorme, enorm
complexo, complexo
que, que
,, ,
nos, no
EUA, eua
,, ,
só, só
é, é
superado, superado
em, em
número, número
de, de
operações, operaçõ
(, (
aterrissagens, aterrissagen
e, e
decolagens, decolagen
), )
pelo, pelo
aeroporto, aeroporto
de, de
Chicago, chicago
O'Hare, o'har
., .

, 

No, no
ano, ano
passado, passado
cerca, cerca
de, de
52,6, 52,6
milhões, milhõ
de, de
passageiros, passageiro
passaram, passaram
pelo, pelo
aeroporto, aeroporto
de, de
Dallas, dalla
/, /
Fort, fort
Worth, worth
,, ,
que, que
hospeda, hospeda
o, o
maior, maior
terminal, termin
da, da
American, american
Airlines, airlin
e, e
o, o
segundo, segundo
maior, maior
da, da
Delta, delta
Airlines, airlin
., .

, 

Serviço, serviço
rápido, rápido
,, ,
custos, custo
menores, menor
e, e
localização, localização
estratégica, estratégica
no, no
centro, centro
do, do
território, território
dos, do
EUA, eua
são, são
as, as
vantagens, vantagen
apregoadas, apregoada
pela, pela
direção, direção
desse, dess
aeroporto, aeroporto
,, ,
identificado, identificado
mundialmente, mundialment
pela, pela
sigla, sigla
DFW, dfw
., .

, 

Com, com
mais, mai
de, de
2.400, 2.400
vôos, vôo
diários, diário
que, que
se, se
destinam, destinam
a, a
210, 210
mercados, mercado
diferentes, diferent
_, _
57, 57
deles, dele
internacionais, internacionai
,, ,
servindo, servindo
,, ,
além, além
de, de
São, são
Paulo, paulo
,, ,
cidades, cidad
como, como
Londres, londr
,, ,
Tóquio, tóquio
,, ,
Frankfurt, frankfurt
,, ,
Paris, pari
,, ,
Hong, hong
Kong, kong
,, ,
Cidade, cidad
do, do
México, méxico
,, ,
Toronto, toronto
e, e
Vancouver, vancouv
_, _
,, ,
passaram, passaram
por, por
esse, ess
terminal, termin
aéreo, aéreo
em, em
1994, 1994
mais, mai
de, de
790, 790
mil, mil
toneladas, tonelada
de, de
carga, carga
., .

, 

Projeções, projeçõ
para, para
o, o
futuro, futuro

, 

Mas, ma
o, o
aeroporto, aeroporto
DFW, dfw
,, ,
que, que
nos, no
seus, seu
21, 21
anos, ano
de, de
existência, existência
colecionou, colecion
alguns, algun
dos, do
recordes, record
mundiais, mundiai
da, da
aviação, aviação
,, ,
pode, pode
chegar, chegar
ao, ao
ano, ano
2000, 2000
com, com
o, o
título, título
de, de
aeroporto, aeroporto
mais, mai
movimentado, movimentado
do, do
mundo, mundo
., .

, 

A, a
previsão, previsão
é, é
da, da
Administração, administração
Federal, feder
de, de
Aviação, aviação
(, (
FAA, faa
), )
,, ,
o, o
órgão, órgão
que, que
regulamenta, regulamenta
a, a
aviação, aviação
no, no
território, território
norte-americano, norte-americano
., .

, 

A, a
área, área
do, do
aeroporto, aeroporto
DFW, dfw
,, ,
7.138, 7.138
hectares, hectar
_, _
território, território
maior, maior
do, do
que, que
a, a
ilha, ilha
de, de
Manhattan, manhattan
,, ,
onde, ond
está, está
Nova, nova
York, york
_, _
,, ,
é, é
maior, maior
do, do
que, que
as, as
dos, do
aeroportos, aeroporto
JFK, jfk
de, de
Nova, nova
York, york
,, ,
O'Hare, o'har
de, de
Chicago, chicago
e, e
internacional, internacion
de, de
Los, lo
Angeles, angel
somadas, somada
., .

, 

Esse, ess
fator, fator
lhe, lhe
dá, dá
vantagens, vantagen
sobre, sobr
os, os
demais, demai
e, e
há, há
quem, quem
projete, projet
para, para
2005, 2005
que, que
cerca, cerca
de, de
850, 850
mil, mil
toneladas, tonelada
de, de
carga, carga
devam, devam
passar, passar
pelo, pelo
aeroporto, aeroporto
DFW, dfw
_, _
total, total
que, que
exclui, exclui
o, o
correio, correio
aéreo, aéreo
., .

, 

Até, até
2010, 2010
esse, ess
mesmo, mesmo
terminal, termin
aéreo, aéreo
deverá, deverá
ter, ter
movimento, movimento
de, de
100, 100
milhões, milhõ
de, de
passageiros, passageiro
/, /
ano, ano
e, e
é, é
provável, provável
que, que
muitos, muito
deles, dele
sejam, sejam
provenientes, provenient
do, do
Brasil, brasil
., .

, 

Quem, quem
parte, part
de, de
São, são
Paulo, paulo
rumo, rumo
a, a
Dallas, dalla
/, /
Fort, fort
Worth, worth
em, em
classe, class
econômica, econômica
encontra, encontra
bilhetes, bilhet
promocionais, promocionai
válidos, válido
por, por
um, um
mínimo, mínimo
de, de
sete, sete
e, e
máximo, máximo
de, de
21, 21
dias, dia
por, por
US$, us$
849, 849
,, ,
mas, ma
é, é
preciso, preciso
voltar, voltar
até, até
15, 15
de, de
junho, junho
., .
Passagens, passagen
válidas, válida
por, por
dois, doi
meses, mese
custam, custam
US$, us$
1.242, 1.242
., .

, 

AMERICAN, american
AIRLINES, airlin
:, :
tel., tel.
(, (
011, 011
), )
214-4000, 214-4000
., .

, 

