Os, ﻿o
vôos, vôo
para, para
Tel, tel
Aviv, aviv
são, são
cercados, cercado
por, por
um, um
aparato, aparato
de, de
segurança, segurança
que, que
indicam, indicam
como, como
é, é
inseguro, inseguro
ir, ir
para, para
Israel, israel
., .

, 

O, o
país, paí
vive, vive
um, um
conflito, conflito
permanente, permanent
com, com
seus, seu
vizinhos, vizinho
árabes, árabe
,, ,
desde, desd
sua, sua
fundação, fundação
em, em
1948, 1948
., .
A, a
razão, razão
é, é
que, que
o, o
território, território
foi, foi
ocupado, ocupado
durante, durant
milhares, milhar
de, de
anos, ano
por, por
palestinos, palestino
,, ,
que, que
,, ,
com, com
a, a
criação, criação
de, de
Israel, israel
,, ,
ficaram, ficaram
sem, sem
pátria, pátria
., .

, 

Com, com
o, o
acordo, acordo
entre, entr
palestinos, palestino
e, e
israelenses, israelens
,, ,
em, em
1993, 1993
,, ,
os, os
palestinos, palestino
passaram, passaram
a, a
governar, governar
,, ,
com, com
poderes, poder
limitados, limitado
,, ,
a, a
Faixa, faixa
de, de
Gaza, gaza
,, ,
no, no
sudoeste, sudoest
de, de
Israel, israel
,, ,
e, e
a, a
cidade, cidad
de, de
Jericó, jericó
,, ,
na, na
Cisjordânia, cisjordânia
., .

, 

Em, em
razão, razão
desse, dess
conflito, conflito
,, ,
os, os
vôos, vôo
para, para
Israel, israel
são, são
alvos, alvo
potenciais, potenciai
de, de
terroristas, terrorista
muçulmanos, muçulmano
,, ,
especialmente, especialment
palestinos, palestino
e, e
iranianos, iraniano
., .
Daí, daí
a, a
razão, razão
da, da
segurança, segurança
., .

, 

Antes, ant
de, de
ser, ser
embarcadas, embarcada
,, ,
todas, toda
as, as
malas, mala
são, são
revistadas, revistada
_, _
pelos, pelo
próprios, próprio
passageiros, passageiro
,, ,
sob, sob
a, a
supervisão, supervisão
de, de
agentes, agent
de, de
segurança, segurança
., .
Mas, ma
os, os
cuidados, cuidado
começam, começam
antes, ant
., .

, 

Cada, cada
passageiro, passageiro
é, é
entrevistado, entrevistado
por, por
um, um
agente, agent
de, de
segurança, segurança
de, de
Israel, israel
,, ,
que, que
faz, faz
perguntas, pergunta
como, como
:, :

, 

`, `
`, `
Quem, quem
arrumou, arrum
sua, sua
mala, mala
?, ?
Alguém, alguém
pediu, pediu
para, para
que, que
você, você
levasse, levass
um, um
pacote, pacot
,, ,
uma, uma
carta, carta
que, que
seja, seja
a, a
Israel, israel
?, ?
Desde, desd
que, que
fechou, fechou
a, a
mala, mala
,, ,
por, por
quanto, quanto
tempo, tempo
ela, ela
ficou, ficou
desacompanhada, desacompanhada
., .
'', ''

, 

A, a
seleção, seleção
não, não
foi, foi
avisada, avisada
de, de
nenhum, nenhum
risco, risco
especial, especi
para, para
o, o
jogo, jogo
., .

, 

