O, ﻿o
Ajax, ajax
terá, terá
hoje, hoje
a, a
chance, chanc
de, de
se, se
vingar, vingar
de, de
uma, uma
das, da
mais, mai
importantes, important
derrotas, derrota
de, de
toda, toda
a, a
sua, sua
vida, vida
., .
Há, há
quase, quas
26, 26
anos, ano
,, ,
no, no
dia, dia
28, 28
de, de
maio, maio
de, de
69, 69
,, ,
o, o
clube, clube
holandês, holandê
foi, foi
goleado, goleado
pelo, pelo
Milan, milan
por, por
4, 4
a, a
1, 1
,, ,
na, na
final, final
da, da
Copa, copa
dos, do
Campeões, campeõ
,, ,
em, em
Madri, madri
,, ,
Espanha, espanha
., .

, 

A, a
derrota, derrota
marcou, marcou
o, o
início, início
de, de
uma, uma
fase, fase
extraordinária, extraordinária
no, no
futebol, futebol
da, da
Holanda, holanda
., .

, 

Nos, no
quatro, quatro
anos, ano
seguintes, seguint
_, _
Feyenoord, feyenoord
,, ,
em, em
1970, 1970
,, ,
e, e
Ajax, ajax
,, ,
de, de
71, 71
a, a
73, 73
_, _
,, ,
a, a
Copa, copa
dos, do
Campeões, campeõ
foi, foi
cativa, cativa
daquele, daquel
país, paí
., .
Era, era
o, o
embrião, embrião
do, do
`, `
Carrossel, carrossel
Holandês, holandê
', '
,, ,
sensação, sensação
da, da
Copa, copa
de, de
1974, 1974
,, ,
na, na
Alemanha, alemanha
., .

, 

(, (
MD, md
), )

, 

