A, ﻿a
jogadora, jogadora
Ana, ana
Paula, paula
torce, torc
de, de
longe, long
pelo, pelo
sucesso, sucesso
da, da
seleção, seleção
feminina, feminina
no, no
Torneio, torneio
de, de
Bremen, bremen
., .
De, de
volta, volta
a, a
Belo, belo
Horizonte, horizont
,, ,
a, a
meio-de-rede, meio-de-red
do, do
L'Acqua, l'acqua
di, di
Fiori, fiori
/, /
Minas, mina
se, se
recupera, recupera
do, do
estiramento, estiramento
no, no
abdômen, abdômen
,, ,
responsável, responsável
pelo, pelo
seu, seu
corte, cort
na, na
equipe, equip
., .
", "
Se, se
vacilo, vacilo
mais, mai
um, um
pouco, pouco
poderia, poderia
romper, romper
toda, toda
a, a
musculatura, musculatura
da, da
região, região
", "
,, ,
diz, diz
ela, ela
,, ,
que, que
acompanha, acompanha
os, os
treinos, treino
de, de
seu, seu
time, time
mas, ma
está, está
proibida, proibida
", "
até, até
de, de
pegar, pegar
bola, bola
", "
., .

, 

Ana, ana
Paula, paula
conta, conta
que, que
sua, sua
contusão, contusão
vem, vem
sendo, sendo
tratada, tratada
a, a
base, base
de, de
calor, calor
,, ,
laser, laser
e, e
ultrasom, ultrasom
., .
", "
São, são
três, trê
sessões, sessõ
diárias, diária
de, de
60, 60
minutos, minuto
cada, cada
., .
Se, se
tudo, tudo
der, der
certo, certo
devo, devo
voltar, voltar
a, a
jogar, jogar
no, no
final, final
deste, dest
mês, mê
", "
,, ,
afirma, afirma
., .

, 

Otimista, otimista
em, em
relação, relação
ao, ao
futuro, futuro
da, da
seleção, seleção
,, ,
Ana, ana
Paula, paula
diz, diz
que, que
o, o
clima, clima
na, na
equipe, equip
está, está
ótimo, ótimo
., .
Para, para
ela, ela
,, ,
o, o
novo, novo
técnico, técnico
,, ,
Bernardo, bernardo
Rezende, rezend
,, ,
conseguiu, conseguiu
transmitir, transmitir
muita, muita
tranquilidade, tranquilidad
ao, ao
elenco, elenco
., .
", "
Só, só
não, não
fiquei, fiquei
chateada, chateada
em, em
não, não
viajar, viajar
porque, porqu
recebi, recebi
todo, todo
o, o
apoio, apoio
do, do
Bernardinho, bernardinho
para, para
ficar, ficar
no, no
Brasil, brasil
e, e
me, me
recuperar, recuperar
para, para
a, a
fase, fase
final, final
da, da
Liga, liga
Nacional, nacion
", "
,, ,
afirma, afirma
., .

, 

Segundo, segundo
ela, ela
,, ,
se, se
a, a
seleção, seleção
não, não
voltar, voltar
com, com
o, o
título, título
isso, isso
não, não
vai, vai
afetar, afetar
o, o
time, time
., .
", "
Não, não
importa, importa
se, se
perdermos, perdermo
ou, ou
ganharmos, ganharmo
., .
O, o
mais, mai
importante, important
é, é
que, que
a, a
equipe, equip
se, se
entrose, entros
cada, cada
vez, vez
mais, mai
para, para
o, o
Mundial, mundial
em, em
outubro, outubro
", "
,, ,
diz, diz
Ana, ana
Paula, paula
., .

, 

