Mesmo, ﻿mesmo
sem, sem
jogar, jogar
bem, bem
,, ,
o, o
São, são
Paulo, paulo
venceu, venceu
o, o
Santos, santo
por, por
2, 2
a, a
0, 0
,, ,
gols, gol
de, de
Juninho, juninho
e, e
Valdeir, valdeir
,, ,
ontem, ontem
no, no
Morumbi, morumbi
,, ,
e, e
já, já
é, é
líder, líder
isolado, isolado
do, do
Paulistão, paulistão
,, ,
com, com
6, 6
pontos, ponto
ganhos, ganho
., .
Jogando, jogando
sob, sob
chuva, chuva
,, ,
que, que
chegou, chegou
a, a
ameaçar, ameaçar
a, a
realização, realização
da, da
partida, partida
,, ,
a, a
equipe, equip
são-paulina, são-paulina
foi, foi
sobrepujada, sobrepujada
taticamente, taticament
pelo, pelo
adversário, adversário
,, ,
mas, ma
venceu, venceu
graças, graça
à, à
eficiência, eficiência
de, de
seus, seu
contra-ataques, contra-ataqu
e, e
à, à
má, má
atuação, atuação
do, do
goleiro, goleiro
Gilberto, gilberto
., .

, 

No, no
duelo, duelo
entre, entr
os, os
", "
renegados, renegado
", "
Dinho, dinho
e, e
Axel, axel
,, ,
venceu, venceu
o, o
santista, santista
., .
", "
Me, me
sinto, sinto
mais, mai
à, à
vontade, vontad
para, para
jogar, jogar
no, no
Santos, santo
que, que
no, no
São, são
Paulo, paulo
", "
,, ,
reconheceu, reconheceu
., .
Pepe, pepe
utilizou, utiliz
o, o
volante, volant
para, para
anular, anular
Leonardo, leonardo
e, e
subir, subir
ao, ao
ataque, ataqu
., .
Por, por
sua, sua
vez, vez
,, ,
Axel, axel
ficou, ficou
perdido, perdido
no, no
rápido, rápido
meio-campo, meio-campo
do, do
São, são
Paulo, paulo
:, :
não, não
sabia, sabia
se, se
marcava, marcava
ou, ou
subia, subia
à, à
frente, frent
., .
", "
Acho, acho
que, que
foi, foi
uma, uma
boa, boa
estréia, estréia
., .
Ganhamos, ganhamo
e, e
é, é
isto, isto
que, que
interessa, interessa
", "
,, ,
declarou, declar
., .

, 

Não, não
foi, foi
só, só
o, o
novo, novo
volante, volant
que, que
sentiu, sentiu
falta, falta
de, de
orientação, orientação
., .
Com, com
uma, uma
burocrática, burocrática
atuação, atuação
do, do
interino, interino
Muricy, murici
,, ,
ao, ao
São, são
Paulo, paulo
faltou, faltou
uma, uma
mudança, mudança
tática, tática
para, para
liberar, liberar
Leonardo, leonardo
ou, ou
encontrar, encontrar
um, um
posicionamento, posicionamento
mais, mai
adequado, adequado
a, a
Axel, axel
., .
Muricy, murici
não, não
comprometeu, comprometeu
,, ,
mas, ma
deixou, deixou
a, a
impressão, impressão
de, de
que, que
o, o
time, time
sente, sent
falta, falta
de, de
Telê, telê
., .

, 

Juninho, juninho
teve, teve
que, que
correr, correr
muito, muito
para, para
compensar, compensar
isso, isso
., .
Com, com
Leonardo, leonardo
anulado, anulado
por, por
Dinho, dinho
,, ,
o, o
meia, meia
ficava, ficava
ou, ou
preso, preso
à, à
marcação, marcação
ou, ou
abandonado, abandonado
no, no
ataque, ataqu
,, ,
assim, assim
como, como
Valdeir, valdeir
., .
Graças, graça
a, a
sua, sua
habilidade, habilidad
,, ,
conseguiu, conseguiu
chegar, chegar
ao, ao
gol, gol
santista, santista
mais, mai
de, de
uma, uma
vez, vez
., .
E, e
,, ,
aos, ao
38min, 38min
do, do
primeiro, primeiro
tempo, tempo
,, ,
num, num
lance, lanc
de, de
sorte, sort
,, ,
contou, contou
com, com
a, a
falha, falha
homérica, homérica
de, de
Gilberto, gilberto
,, ,
que, que
não, não
segurou, segur
um, um
chute, chute
fraco, fraco
de, de
fora, fora
da, da
área, área
., .
", "
A, a
equipe, equip
ainda, ainda
sente, sent
a, a
falta, falta
de, de
entrosamento, entrosamento
e, e
de, de
preparo, preparo
físico, físico
", "
,, ,
afirmou, afirm
., .

, 

No, no
segundo, segundo
tempo, tempo
,, ,
com, com
o, o
campo, campo
mais, mai
seco, seco
,, ,
esperava-se, esperava-s
que, que
a, a
eficiência, eficiência
do, do
São, são
Paulo, paulo
anulasse, anulass
a, a
garra, garra
santista, santista
., .
Mas, ma
as, as
indefinições, indefiniçõ
táticas, tática
continuaram, continuaram
e, e
o, o
inverso, inverso
aconteceu, aconteceu
., .
Macedo, macedo
e, e
Paulinho, paulinho
Kobayshi, kobayshi
infernizaram, infernizaram
,, ,
sem, sem
resultado, resultado
,, ,
a, a
defesa, defesa
são-paulina, são-paulina
,, ,
fragilizada, fragilizada
pela, pela
falta, falta
de, de
entrosamento, entrosamento
entre, entr
Válber, válber
e, e
Júnior, júnior
Baiano, baiano
., .
Para, para
fechar, fechar
o, o
jogo, jogo
,, ,
Valdeir, valdeir
fez, fez
um, um
belo, belo
gol, gol
aos, ao
38, 38
min, min
,, ,
enganando, enganando
Gilberto, gilberto
ao, ao
chutar, chutar
com, com
o, o
pé, pé
direito, direito
., .
Uma, uma
jogada, jogada
trabalhada, trabalhada
com, com
Leonardo, leonardo
,, ,
momento, momento
raro, raro
em, em
que, que
a, a
dupla, dupla
funcionou, funcion
., .

, 

