A, ﻿a
indisciplina, indisciplina
continua, continua
sendo, sendo
o, o
grande, grand
problema, problema
do, do
Corinthians, corinthian
., .
Essa, essa
é, é
a, a
conclusão, conclusão
do, do
técnico, técnico
Eduardo, eduardo
Amorim, amorim
., .

, 

Ele, ele
afirmou, afirm
,, ,
após, apó
o, o
jogo, jogo
,, ,
que, que
a, a
expulsão, expulsão
do, do
meia, meia
Souza, souza
,, ,
aos, ao
32min, 32min
do, do
primeiro, primeiro
tempo, tempo
,, ,
foi, foi
decisiva, decisiva
para, para
a, a
derrota, derrota
de, de
sua, sua
equipe, equip
diante, diant
do, do
Palmeiras, palmeira
., .

, 

O, o
cartão, cartão
vermelho, vermelho
de, de
Souza, souza
é, é
o, o
12º, 12º
que, que
o, o
time, time
recebe, receb
no, no
Paulista, paulista
., .

, 

Nas, na
últimas, última
três, trê
partidas, partida
do, do
Corinthians, corinthian
,, ,
três, trê
jogadores, jogador
foram, foram
expulsos, expulso
ainda, ainda
no, no
primeiro, primeiro
tempo, tempo
., .

, 

Além, além
de, de
Souza, souza
,, ,
Bernardo, bernardo
(, (
contra, contra
o, o
Paraná, paraná
), )
e, e
Elivélton, elivélton
(, (
contra, contra
o, o
Novorizontino, novorizontino
), )
levaram, levaram
o, o
cartão, cartão
vermelho, vermelho
., .

, 

`, `
`, `
Assim, assim
não, não
há, há
esquema, esquema
que, que
resista, resista
., .
O, o
Souza, souza
foi, foi
expulso, expulso
em, em
um, um
momento, momento
muito, muito
importante, important
do, do
jogo, jogo
e, e
o, o
time, time
se, se
perdeu, perdeu
., .
Ele, ele
jamais, jamai
poderia, poderia
revidar, revidar
a, a
entrada, entrada
do, do
Amaral, amar
'', ''
,, ,
afirmou, afirm
Amorim, amorim
., .

, 

O, o
diretor, diretor
de, de
futebol, futebol
,, ,
José, josé
Mansur, mansur
,, ,
concordou, concord
com, com
o, o
treinador, treinador
:, :
`, `
`, `
Já, já
nos, no
reunimos, reunimo
com, com
os, os
jogadores, jogador
e, e
exigimos, exigimo
o, o
fim, fim
dos, do
cartões, cartõ
., .
O, o
Souza, souza
será, será
multado, multado
,, ,
assim, assim
como, como
o, o
Elivélton, elivélton
., .
Se, se
não, não
adiantar, adiantar
,, ,
os, os
que, que
forem, forem
expulsos, expulso
podem, podem
ser, ser
afastados, afastado
daqui, daqui
para, para
frente, frent
., .
'', ''

, 

Mansur, mansur
aproveitou, aproveit
para, para
garantir, garantir
a, a
permanência, permanência
de, de
Eduardo, eduardo
Amorim, amorim
no, no
comando, comando
da, da
equipe, equip
., .
`, `
`, `
Ele, ele
não, não
tem, tem
culpa, culpa
de, de
nada, nada
'', ''
,, ,
disse, diss
., .

, 

O, o
dirigente, dirigent
preferiu, preferiu
culpar, culpar
o, o
árbitro, árbitro
Dalmo, dalmo
Bozzano, bozzano
pela, pela
derrota, derrota
., .

, 

`, `
`, `
Ele, ele
não, não
expulsou, expuls
o, o
Amaral, amar
,, ,
anulou, anul
um, um
gol, gol
legítimo, legítimo
do, do
Bernardo, bernardo
e, e
ainda, ainda
validou, valid
o, o
terceiro, terceiro
gol, gol
do, do
Palmeiras, palmeira
,, ,
em, em
impedimento, impedimento
., .
Esse, ess
juiz, juiz
não, não
apita, apita
mais, mai
jogos, jogo
do, do
Corinthians, corinthian
'', ''
,, ,
disse, diss
., .

, 

No, no
vestiário, vestiário
,, ,
a, a
preocupação, preocupação
era, era
consolar, consolar
o, o
goleiro, goleiro
Ronaldo, ronaldo
,, ,
que, que
ameaçou, ameaç
deixar, deixar
a, a
equipe, equip
., .

, 

`, `
`, `
Todos, todo
os, os
jogadores, jogador
do, do
time, time
já, já
foram, foram
xingados, xingado
., .
Se, se
cada, cada
um, um
resolver, resolv
sair, sair
por, por
causa, causa
disso, disso
,, ,
não, não
haverá, haverá
time, time
para, para
entrar, entrar
em, em
campo, campo
'', ''
,, ,
disse, diss
o, o
volante, volant
Bernardo, bernardo
., .

, 

`, `
`, `
É, é
hora, hora
de, de
manter, manter
a, a
tranquilidade, tranquilidad
., .
Temos, temo
um, um
jogo, jogo
importante, important
contra, contra
o, o
Vasco, vasco
,, ,
quarta-feira, quarta-feira
,, ,
pelas, pela
semifinais, semifinai
da, da
Copa, copa
do, do
Brasil, brasil
,, ,
e, e
temos, temo
que, que
nos, no
preparar, preparar
adequadamente, adequadament
'', ''
,, ,
disse, diss
Eduardo, eduardo
Amorim, amorim
., .

, 

Para, para
esse, ess
jogo, jogo
,, ,
no, no
Maracanã, maracanã
,, ,
o, o
treinador, treinador
deve, deve
contar, contar
com, com
as, as
voltas, volta
de, de
Zé, zé
Elias, elia
e, e
Viola, viola
,, ,
que, que
estavam, estavam
machucados, machucado
., .
Bernardo, bernardo
e, e
André, andré
Santos, santo
,, ,
suspensos, suspenso
,, ,
não, não
jogam, jogam
., .

, 

