A, ﻿a
NBA, nba
divulgou, divulg
a, a
lista, lista
dos, do
titulares, titular
do, do
All-Star, all-star
Game, game
,, ,
o, o
jogo, jogo
que, que
reúne, reún
os, os
melhores, melhor
jogadores, jogador
da, da
temporada, temporada
do, do
basquete, basquet
profissional, profission
norte-americano, norte-americano
., .
O, o
mais, mai
lembrado, lembrado
pelos, pelo
fãs, fã
foi, foi
o, o
ala, ala
Charles, charl
Barkley, barkley
,, ,
do, do
Phoenix, phoenix
Suns, sun
,, ,
com, com
quase, quas
800, 800
mil, mil
votos, voto
., .

, 

O, o
All-Star, all-star
Game, game
acontece, acontec
no, no
dia, dia
13, 13
de, de
fevereiro, fevereiro
e, e
contrapõe, contrapõ
as, as
estrelas, estrela
da, da
Conferência, conferência
do, do
Leste, lest
aos, ao
astros, astro
do, do
Oeste, oest
., .

, 

Além, além
de, de
Barkley, barkley
,, ,
jogam, jogam
pelo, pelo
Oeste, oest
:, :
os, os
armadores, armador
Clyde, clyde
Drexler, drexler
(, (
Portland, portland
Trail, trail
Blazers, blazer
), )
e, e
Mitch, mitch
Richmond, richmond
(, (
Sacramento, sacramento
Kings, king
), )
,, ,
o, o
ala-pivô, ala-pivô
Shawn, shawn
Kemp, kemp
(, (
Seattle, seattl
Supersonics, superson
), )
e, e
o, o
pivô, pivô
Hakeem, hakeem
Olajuwon, olajuwon
(, (
Houston, houston
Rockets, rocket
), )
., .

, 

Pelo, pelo
time, time
do, do
Leste, lest
,, ,
estão, estão
:, :
os, os
armadores, armador
B.J., b.j.
Armstrong, armstrong
(, (
Chicago, chicago
Bulls, bull
), )
e, e
Kenny, kenni
Anderson, anderson
(, (
New, new
Jersey, jersey
Nets, net
), )
,, ,
o, o
ala, ala
Scottie, scotti
Pippen, pippen
(, (
Bulls, bull
), )
,, ,
o, o
ala-pivô, ala-pivô
Derrick, derrick
Coleman, coleman
(, (
Nets, net
), )
e, e
o, o
pivô, pivô
Shaquille, shaquil
O'Neal, o'neal
(, (
Orlando, orlando
Magic, magic
), )
., .

, 

Quatro, quatro
técnicos, técnico
ainda, ainda
disputam, disputam
o, o
direito, direito
de, de
definir, definir
as, as
outras, outra
sete, sete
estrelas, estrela
e, e
ficar, ficar
no, no
banco, banco
no, no
jogo, jogo
., .
Pelo, pelo
Oeste, oest
,, ,
Rudy, rudi
Tomjanovich, tomjanovich
(, (
Houston, houston
), )
e, e
George, georg
Karl, karl
(, (
Seattle, seattl
), )
., .
Pelo, pelo
Leste, lest
,, ,
Phil, phil
Jackson, jackson
(, (
Chicago, chicago
), )
e, e
Lenny, lenni
Wilkens, wilken
(, (
Atlanta, atlanta
Hawks, hawk
), )
., .

, 

