A, ﻿a
TVA, tva
/, /
ESPN, espn
transmite, transmit
hoje, hoje
,, ,
a, a
partir, partir
das, da
23h, 23h
,, ,
a, a
partida, partida
entre, entr
o, o
Houston, houston
Rockets, rocket
,, ,
de, de
Hakeem, hakeem
Olajuwon, olajuwon
(, (
na, na
foto, foto
,, ,
com, com
a, a
bola, bola
), )
,, ,
e, e
o, o
San, san
Antonio, antonio
Spurs, spur
,, ,
válida, válida
pelas, pela
finais, finai
da, da
Conferência, conferência
Oeste, oest
da, da
NBA, nba
., .

, 

LEIA, leia
MAIS, mai

, 

sobre, sobr
a, a
NBA, nba
no, no
texto, texto
acima, acima
., .

, 

