O, ﻿o
motorista, motorista
de, de
caminhão, caminhão
Antonio, antonio
Carlos, carlo
Gomes, gome
,, ,
30, 30
,, ,
santista, santista
,, ,
foi, foi
atingido, atingido
ontem, ontem
por, por
uma, uma
bomba, bomba
de, de
fabricação, fabricação
caseira, caseira
atirada, atirada
por, por
torcedores, torcedor
do, do
Palmeiras, palmeira
., .

, 

Ele, ele
sofreu, sofreu
ferimentos, ferimento
graves, grave
em, em
seu, seu
pé, pé
esquerdo, esquerdo
e, e
foi, foi
internado, internado
na, na
Santa, santa
Casa, casa
de, de
Santos, santo
., .
Segundo, segundo
informações, informaçõ
preliminares, preliminar
dos, do
médicos, médico
,, ,
Gomes, gome
_, _
residente, resident
em, em
Mogi, mogi
das, da
Cruzes, cruze
_, _
seria, seria
operado, operado
e, e
não, não
corre, corr
o, o
risco, risco
de, de
ter, ter
o, o
pé, pé
amputado, amputado
., .

, 

A, a
Polícia, polícia
Militar, militar
prendeu, prendeu
dois, doi
suspeitos, suspeito
de, de
terem, terem
jogado, jogado
a, a
bomba, bomba
., .
Ambos, ambo
são, são
integrantes, integrant
da, da
torcida, torcida
Mancha, mancha
Verde, verd
,, ,
do, do
Palmeiras, palmeira
., .

, 

Os, os
menores, menor
Ricardo, ricardo
Rodrigues, rodrigu
,, ,
14, 14
,, ,
e, e
Sidnei, sidnei
Lopes, lope
,, ,
15, 15
,, ,
também, também
foram, foram
feridos, ferido
na, na
explosão, explosão
da, da
bomba, bomba
., .
Ricardo, ricardo
Rodrigues, rodrigu
foi, foi
atingido, atingido
por, por
estilhaços, estilhaço
no, no
abdome, abdom
., .
Sidnei, sidnei
Lopes, lope
levou, levou
uma, uma
pancada, pancada
de, de
um, um
guarda, guarda
,, ,
na, na
confusão, confusão
., .

, 

Segundo, segundo
torcedores, torcedor
do, do
Santos, santo
,, ,
que, que
estavam, estavam
próximos, próximo
ao, ao
local, local
da, da
explosão, explosão
,, ,
integrantes, integrant
da, da
Mancha, mancha
Verde, verd
fizeram, fizeram
uma, uma
roda, roda
na, na
arquibancada, arquibancada
e, e
lançaram, lançaram
a, a
bomba, bomba
com, com
o, o
auxílio, auxílio
de, de
um, um
estilingue, estilingu
., .

, 

Os, os
santistas, santista
afirmaram, afirmaram
também, também
que, que
o, o
incidente, incident
pode, pode
ter, ter
sido, sido
provocado, provocado
por, por
membros, membro
da, da
torcida, torcida
Jovem, jovem
,, ,
do, do
Vasco, vasco
,, ,
que, que
estariam, estariam
infiltrados, infiltrado
na, na
Mancha, mancha
Verde, verd
., .

, 

Santistas, santista
e, e
vascaínos, vascaíno
são, são
considerados, considerado
`, `
`, `
inimigos, inimigo
'', ''
desde, desd
o, o
ano, ano
passado, passado
,, ,
quando, quando
,, ,
no, no
dia, dia
11, 11
de, de
setembro, setembro
,, ,
brigaram, brigaram
no, no
estádio, estádio
de, de
São, são
Januário, januário
,, ,
no, no
Rio, rio
de, de
Janeiro, janeiro
., .

, 

