Sete, ﻿sete
em, em
cada, cada
dez, dez
jogadores, jogador
de, de
futebol, futebol
profissional, profission
no, no
Brasil, brasil
receberam, receberam
entre, entr
um, um
e, e
dois, doi
salários, salário
mínimos, mínimo
por, por
mês, mê
no, no
ano, ano
passado, passado
., .
A, a
revelação, revelação
é, é
da, da
CBF, cbf
(, (
Confederação, confederação
Brasileira, brasileira
de, de
Futebol, futebol
), )
,, ,
a, a
entidade, entidad
máxima, máxima
do, do
futebol, futebol
brasileiro, brasileiro
,, ,
onde, ond
são, são
registrados, registrado
os, os
contratos, contrato
dos, do
atletas, atleta
de, de
todo, todo
o, o
país, paí
., .
O, o
estudo, estudo
desmente, desment
a, a
crença, crença
bastante, bastant
difundida, difundida
de, de
que, que
jogadores, jogador
são, são
,, ,
na, na
maioria, maioria
,, ,
bem, bem
remunerados, remunerado
., .

, 

Mesmo, mesmo
considerando, considerando
que, que
muitos, muito
clubes, clube
não, não
registram, registram
em, em
contrato, contrato
o, o
salário, salário
total, total
,, ,
o, o
futebol, futebol
brasileiro, brasileiro
está, está
mais, mai
perto, perto
do, do
Esporte, esport
Clube, clube
Barreira, barreira
do, do
que, que
do, do
São, são
Paulo, paulo
Futebol, futebol
Clube, clube
., .
O, o
Barreira, barreira
,, ,
equipe, equip
da, da
segunda, segunda
divisão, divisão
do, do
Campeonato, campeonato
do, do
Rio, rio
de, de
Janeiro, janeiro
,, ,
paga, paga
um, um
salário, salário
mínimo, mínimo
para, para
quase, quas
todos, todo
os, os
jogadores, jogador
(, (
o, o
valor, valor
do, do
salário, salário
mínimo, mínimo
para, para
o, o
mês, mê
de, de
janeiro, janeiro
é, é
de, de
CR$, cr$
32.882,00, 32.882,00
), )
., .
O, o
destaque, destaqu
do, do
time, time
ganha, ganha
dois, doi
salários, salário
e, e
meio, meio
(, (
cerca, cerca
de, de
CR$, cr$
80, 80
mil, mil
), )
., .
No, no
São, são
Paulo, paulo
,, ,
jogadores, jogador
como, como
Toninho, toninho
Cerezo, cerezo
recebem, recebem
cerca, cerca
de, de
US$, us$
20, 20
mil, mil
mensais, mensai
–, –
mais, mai
de, de
200, 200
salários, salário
mínimos, mínimo
(, (
aproximadamente, aproximadament
CR$, cr$
7,74, 7,74
milhões, milhõ
,, ,
o, o
que, que
chega, chega
a, a
235,3, 235,3
mínimos, mínimo
), )
., .

, 

Os, os
contratos, contrato
acima, acima
de, de
dez, dez
salários, salário
mínimos, mínimo
são, são
apenas, apena
3, 3
%, %
do, do
total, total
dos, do
jogadores, jogador
de, de
futebol, futebol
profissional, profission
no, no
Brasil, brasil
., .
Entre, entr
cinco, cinco
e, e
dez, dez
salários, salário
,, ,
6,77, 6,77
%, %
., .
Entre, entr
dois, doi
e, e
cinco, cinco
,, ,
19,6, 19,6
%, %
., .
De, de
um, um
a, a
dois, doi
,, ,
51,38, 51,38
%, %
., .
Ganham, ganham
só, só
um, um
salário, salário
mínimo, mínimo
19,25, 19,25
%, %
., .
O, o
cálculo, cálculo
não, não
leva, leva
em, em
conta, conta
premiação, premiação
por, por
vitórias, vitória
,, ,
o, o
que, que
normalmente, normalment
garante, garant
um, um
providencial, providenci
reforço, reforço
no, no
salário, salário
dos, do
atletas, atleta
., .
No, no
São, são
Paulo, paulo
,, ,
o, o
título, título
mundial, mundial
valeu, valeu
US$, us$
10, 10
mil, mil
(, (
ou, ou
cerca, cerca
de, de
CR$, cr$
3,87, 3,87
milhões, milhõ
em, em
valores, valor
de, de
hoje, hoje
), )
a, a
cada, cada
atleta, atleta
., .
No, no
Barreira, barreira
,, ,
jogadores, jogador
são, são
presenteados, presenteado
com, com
alimentos, alimento
ou, ou
material, materi
de, de
construção, construção
a, a
cada, cada
vitória, vitória
obtida, obtida
pela, pela
equipe, equip
da, da
segunda, segunda
divisão, divisão
carioca, carioca
., .

, 

O, o
estudo, estudo
da, da
CBF, cbf
foi, foi
divulgado, divulgado
ontem, ontem
no, no
período, período
da, da
tarde, tard
,, ,
durante, durant
a, a
Assembléia, assembléia
Geral, geral
da, da
entidade, entidad
que, que
iria, iria
discutir, discutir
mudanças, mudança
nos, no
estatutos, estatuto
e, e
aprovação, aprovação
das, da
contas, conta
de, de
1993, 1993
., .
Até, até
a, a
conclusão, conclusão
desta, desta
edição, edição
,, ,
às, às
19h, 19h
,, ,
a, a
reunião, reunião
não, não
havia, havia
terminado, terminado
., .

, 

A, a
maior, maior
polêmica, polêmica
prevista, prevista
era, era
sobre, sobr
a, a
filiação, filiação
direta, direta
de, de
clubes, clube
,, ,
como, como
prevê, prevê
a, a
Lei, lei
Zico, zico
., .
Se, se
isso, isso
ocorrer, ocorr
,, ,
os, os
clubes, clube
que, que
participam, participam
do, do
Campeonato, campeonato
Brasileiro, brasileiro
farão, farão
parte, part
do, do
colégio, colégio
eleitoral, eleitor
da, da
CBF, cbf
,, ,
cujo, cujo
presidente, president
é, é
escolhido, escolhido
pelos, pelo
presidentes, president
de, de
27, 27
federações, federaçõ
estaduais, estaduai
., .
Cinco, cinco
dos, do
27, 27
