A, ﻿a
angra, angra
_, _
uma, uma
baía, baía
aberta, aberta
,, ,
cercada, cercada
de, de
montanhas, montanha
e, e
localizada, localizada
a, a
cerca, cerca
de, de
160, 160
km, km
ao, ao
sul, sul
do, do
Rio, rio
_, _
foi, foi
descoberta, descoberta
a, a
6, 6
de, de
janeiro, janeiro
de, de
1502, 1502
e, e
batizada, batizada
de, de
Angra, angra
dos, do
Reis, rei
em, em
homenagem, homenagem
aos, ao
reis, rei
magos, mago
., .

, 

Mas, ma
essa, essa
região, região
,, ,
hoje, hoje
apelidada, apelidada
de, de
Costa, costa
Verde, verd
,, ,
só, só
seria, seria
descoberta, descoberta
pelos, pelo
turistas, turista
na, na
década, década
de, de
70, 70
,, ,
com, com
a, a
inauguração, inauguração
da, da
rodovia, rodovia
Rio-Santos, rio-santo
(, (
BR-101, br-101
), )
., .

, 

Entre, entr
o, o
verde, verd
da, da
Mata, mata
Atlântica, atlântica
e, e
o, o
mar, mar
surgiram, surgiram
,, ,
nos, no
anos, ano
seguintes, seguint
,, ,
grandes, grand
empreendimentos, empreendimento
hoteleiros, hoteleiro
e, e
o, o
hotel, hotel
do, do
Frade, frade
,, ,
construído, construído
em, em
1972, 1972
pelo, pelo
empresário, empresário
carioca, carioca
Carlos, carlo
Borges, borg
,, ,
20, 20
km, km
mais, mai
ao, ao
sul, sul
,, ,
foi, foi
o, o
pioneiro, pioneiro
., .

, 

Com, com
uma, uma
paisagem, paisagem
dominada, dominada
pelo, pelo
pico, pico
do, do
Frade, frade
,, ,
de, de
1.640, 1.640
m, m
,, ,
o, o
resort, resort
tem, tem
área, área
de, de
80, 80
hectares, hectar
,, ,
o, o
equivalente, equivalent
à, à
metade, metad
do, do
parque, parqu
do, do
Ibirapuera, ibirapuera
(, (
SP, sp
), )
., .

, 

Mas, ma
isso, isso
é, é
só, só
a, a
ponta, ponta
de, de
um, um
iceberg, iceberg
., .
O, o
complexo, complexo
_, _
uma, uma
espécie, espéci
de, de
ilha, ilha
da, da
fantasia, fantasia
nesse, ness
litoral, litor
de, de
tantas, tanta
ilhas, ilha
_, _
é, é
cercado, cercado
por, por
uma, uma
fazenda, fazenda
onde, ond
há, há
ruínas, ruína
e, e
por, por
uma, uma
floresta, floresta
nativa, nativa
que, que
,, ,
juntas, junta
,, ,
somam, somam
1.700, 1.700
hectares, hectar
(, (
16, 16
km2, km2
), )
., .

, 

LEIA, leia
MAIS, mai

, 

Sobre, sobr
a, a
região, região
de, de
Angra, angra
dos, do
Reis, rei
(, (
RJ, rj
), )
nas, na
págs, pág
., .
6-12, 6-12
e, e
6-13, 6-13
., .

, 

SILVIO, silvio
CIOFFI, cioffi
viajou, viajou
à, à
convite, convit
da, da
Transbrasil, transbrasil
e, e
do, do
hotel, hotel
do, do
Frade, frade

, 

