Uma, ﻿uma
derrota, derrota
para, para
o, o
Santos, santo
,, ,
domingo, domingo
,, ,
na, na
Vila, vila
Belmiro, belmiro
,, ,
pode, pode
fazer, fazer
jogar, jogar
a, a
equipe, equip
numa, numa
crise, crise
de, de
consequências, consequência
imprevisíveis, imprevisívei
., .

, 

Por, por
enquanto, enquanto
,, ,
ninguém, ninguém
no, no
clube, clube
admite, admit
a, a
possibilidade, possibilidad
da, da
saída, saída
do, do
técnico, técnico
Valdir, valdir
Espinosa, espinosa
,, ,
mas, ma
o, o
Palmeiras, palmeira
está, está
há, há
sete, sete
jogos, jogo
sem, sem
vencer, vencer
no, no
Campeonato, campeonato
Paulista, paulista
., .

, 

O, o
empate, empat
contra, contra
a, a
Ponte, pont
Preta, preta
,, ,
quinta-feira, quinta-feira
no, no
Parque, parqu
Antarctica, antarctica
,, ,
deixou, deixou
o, o
ambiente, ambient
tenso, tenso
., .
Depois, depoi
do, do
jogo, jogo
,, ,
Espinosa, espinosa
e, e
a, a
diretoria, diretoria
de, de
futebol, futebol
reuniram-se, reuniram-s
a, a
portas, porta
fechadas, fechada
no, no
vestiário, vestiário
,, ,
por, por
20, 20
minutos, minuto
,, ,
fato, fato
incomum, incomum
em, em
qualquer, qualquer
time, time
., .

, 

Espinosa, espinosa
voltou, voltou
a, a
pedir, pedir
a, a
contratação, contratação
de, de
vários, vário
jogadores, jogador
para, para
a, a
disputa, disputa
da, da
segunda, segunda
fase, fase
do, do
Paulista, paulista
e, e
das, da
três, trê
últimas, última
fases, fase
da, da
Taça, taça
Libertadores, libertador
da, da
América, américa
(, (
principal, princip
competição, competição
sul-americana, sul-americana
interclubes, interclub
), )
., .

, 

`, `
`, `
É, é
evidente, evident
que, que
precisamos, precisamo
de, de
reforços, reforço
., .
Eu, eu
não, não
estou, estou
falando, falando
isso, isso
para, para
me, me
eximir, eximir
de, de
maus, mau
resultados, resultado
(, (
a, a
Ponte, pont
é, é
o, o
pior, pior
time, time
do, do
Campeonato, campeonato
Paulista, paulista
), )
'', ''
,, ,
afirmou, afirm
ele, ele
., .
`, `
À, à
diretoria, diretoria
concorda, concorda
comigo, comigo
e, e
está, está
trabalhando, trabalhando
para, para
contratar, contratar
reforços, reforço
., .
'', ''

, 

Espinosa, espinosa
acrescentou, acrescent
que, que
a, a
carência, carência
principal, princip
do, do
time, time
é, é
no, no
ataque, ataqu
., .
`, `
`, `
Se, se
o, o
Edmundo, edmundo
for, for
embora, embora
,, ,
vamos, vamo
precisar, precisar
de, de
ainda, ainda
mais, mai
um, um
atacante, atacant
., .
'', ''

, 

A, a
saída, saída
do, do
jogador, jogador
é, é
quase, quas
certa, certa
., .
A, a
sua, sua
atitude, atitud
,, ,
de, de
beijar, beijar
a, a
camisa, camisa
do, do
Flamengo, flamengo
no, no
Maracanã, maracanã
,, ,
domingo, domingo
passado, passado
,, ,
conseguiu, conseguiu
unir, unir
jogadores, jogador
,, ,
dirigentes, dirigent
e, e
torcedores, torcedor
contra, contra
ele, ele
., .

, 

A, a
Folha, folha
apurou, apur
que, que
dessa, dessa
vez, vez
a, a
diretoria, diretoria
não, não
pretende, pretend
perdoar, perdoar
Edmundo, edmundo
., .
A, a
posição, posição
oficial, ofici
é, é
de, de
que, que
o, o
jogador, jogador
deve, deve
se, se
reapresentar, reapresentar
no, no
final, final
da, da
suspensão, suspensão
de, de
15, 15
dias, dia
,, ,
mas, ma
ninguém, ninguém
parece, parec
disposto, disposto
a, a
relevar, relevar
mais, mai
esse, ess
ato, ato
de, de
indisciplina, indisciplina
., .

, 

A, a
torcida, torcida
organizada, organizada
Mancha, mancha
Verde, verd
já, já
o, o
trata, trata
como, como
`, `
`, `
o, o
maior, maior
traidor, traidor
do, do
mundo, mundo
'', ''
., .

, 

(, (
MD, md
), )

, 

