O, ﻿o
motorista, motorista
de, de
caminhão, caminhão
Antonio, antonio
Carlos, carlo
Gomes, gome
,, ,
30, 30
,, ,
foi, foi
ferido, ferido
ontem, ontem
pela, pela
explosão, explosão
de, de
uma, uma
bomba, bomba
de, de
fabricação, fabricação
caseira, caseira
na, na
torcida, torcida
do, do
Santos, santo
., .

, 

Ele, ele
sofreu, sofreu
ferimentos, ferimento
graves, grave
em, em
seu, seu
pé, pé
esquerdo, esquerdo
e, e
foi, foi
internado, internado
na, na
Santa, santa
Casa, casa
de, de
Santos, santo
., .
Segundo, segundo
informações, informaçõ
preliminares, preliminar
dos, do
médicos, médico
,, ,
Gomes, gome
_, _
residente, resident
em, em
Mogi, mogi
das, da
Cruzes, cruze
_, _
seria, seria
operado, operado
e, e
não, não
corre, corr
o, o
risco, risco
de, de
ter, ter
o, o
pé, pé
amputado, amputado
., .

, 

A, a
Polícia, polícia
Militar, militar
(, (
PM, pm
), )
tem, tem
duas, dua
versões, versõ
sobre, sobr
o, o
incidente, incident
., .
Na, na
primeira, primeira
delas, dela
,, ,
a, a
bomba, bomba
teria, teria
sido, sido
atirada, atirada
por, por
torcedores, torcedor
palmeirenses, palmeirens
., .

, 

Segundo, segundo
torcedores, torcedor
do, do
Santos, santo
,, ,
os, os
palmeirenses, palmeirens
formaram, formaram
uma, uma
roda, roda
na, na
arquibancada, arquibancada
e, e
atiraram, atiraram
a, a
bomba, bomba
com, com
o, o
auxílio, auxílio
de, de
um, um
estilingue, estilingu
., .

, 

Foram, foram
presos, preso
dois, doi
suspeitos, suspeito
., .
Ambos, ambo
são, são
integrantes, integrant
da, da
torcida, torcida
Mancha, mancha
Verde, verd
,, ,
do, do
Palmeiras, palmeira
., .

, 

Na, na
segunda, segunda
versão, versão
da, da
PM, pm
,, ,
a, a
bomba, bomba
pertenceria, pertenceria
ao, ao
próprio, próprio
Antonio, antonio
Carlos, carlo
Gomes, gome
., .
Ela, ela
estaria, estaria
presa, presa
à, à
sua, sua
perna, perna
e, e
teria, teria
explodido, explodido
quando, quando
o, o
torcedor, torcedor
comemorava, comemorava
um, um
dos, do
gols, gol
do, do
Santos, santo
., .

, 

Os, os
menores, menor
Ricardo, ricardo
Rodrigues, rodrigu
,, ,
14, 14
,, ,
e, e
Sidnei, sidnei
Lopes, lope
,, ,
15, 15
,, ,
também, também
foram, foram
feridos, ferido
na, na
explosão, explosão
da, da
bomba, bomba
., .
Ricardo, ricardo
Rodrigues, rodrigu
foi, foi
atingido, atingido
por, por
estilhaços, estilhaço
no, no
abdome, abdom
., .
Sidnei, sidnei
Lopes, lope
levou, levou
uma, uma
pancada, pancada
de, de
um, um
guarda, guarda
,, ,
na, na
confusão, confusão
., .

, 

*, *
Colaborou, colabor
Moacyr, moacyr
Lopes, lope
Júnior, júnior

, 

