Não, ﻿não
houve, houv
surpresas, surpresa
na, na
primeira, primeira
rodada, rodada
do, do
torneio, torneio
de, de
tênis, têni
de, de
Roland, roland
Garros, garro
., .
Todos, todo
os, os
favoritos, favorito
ao, ao
título, título
venceram, venceram
suas, sua
partidas, partida
de, de
estréia, estréia
., .

, 

O, o
norte-americano, norte-americano
Andre, andr
Agassi, agassi
,, ,
número, número
um, um
do, do
mundo, mundo
,, ,
derrotou, derrot
o, o
alemão, alemão
Karsten, karsten
Braasch, braasch
por, por
3, 3
sets, set
a, a
0, 0
(, (
6/1, 6/1
,, ,
6/4, 6/4
e, e
6/4, 6/4
), )
., .

, 

Jim, jim
Courier, courier
,, ,
também, também
dos, do
Estados, estado
Unidos, unido
,, ,
derrotou, derrot
seu, seu
parceiro, parceiro
de, de
treinamentos, treinamento
e, e
compatriota, compatriota
Jeff, jeff
Tarango, tarango
por, por
3, 3
sets, set
a, a
0, 0
(, (
6/4, 6/4
,, ,
6/3, 6/3
e, e
6/3, 6/3
), )
., .

, 

O, o
austríaco, austríaco
Thomas, thoma
Muster, muster
venceu, venceu
o, o
francês, francê
Gerard, gerard
Solves, solv
por, por
3, 3
sets, set
a, a
1, 1
(, (
3/6, 3/6
,, ,
6/4, 6/4
,, ,
6/2, 6/2
e, e
6/3, 6/3
), )
., .

, 

Muster, muster
vem, vem
sendo, sendo
chamado, chamado
por, por
parte, part
da, da
imprensa, imprensa
e, e
alguns, algun
fãs, fã
de, de
`, `
Musterminator, mustermin
', '
,, ,
em, em
alusão, alusão
ao, ao
filme, film
`, `
Terminator, termin
', '
,, ,
o, o
`, `
Exterminador, exterminador
do, do
Futuro, futuro
', '
,, ,
como, como
ficou, ficou
traduzido, traduzido
no, no
Brasil, brasil
., .

, 

O, o
tenista, tenista
ganhou, ganhou
,, ,
neste, nest
ano, ano
,, ,
cinco, cinco
torneios, torneio
disputados, disputado
em, em
piso, piso
de, de
saibro, saibro
,, ,
o, o
mesmo, mesmo
de, de
Roland, roland
Garros, garro
,, ,
um, um
piso, piso
duro, duro
,, ,
que, que
não, não
permite, permit
que, que
a, a
bolinha, bolinha
quique, quiqu
com, com
velocidade, velocidad
., .

, 

No, no
feminino, feminino
,, ,
os, os
destaques, destaqu
foram, foram
as, as
vitórias, vitória
da, da
espanhola, espanhola
Arantxa, arantxa
Sánchez, sánchez
e, e
da, da
argentina, argentina
Gabriela, gabriela
Sabatini, sabatini
,, ,
que, que
não, não
tiveram, tiveram
dificuldade, dificuldad
em, em
vencer, vencer
seus, seu
jogos, jogo
por, por
2, 2
sets, set
a, a
0, 0
., .

, 

Roland, roland
Garros, garro
é, é
um, um
dos, do
quatro, quatro
maiores, maior
torneios, torneio
de, de
tênis, têni
do, do
mundo, mundo
_, _
um, um
dos, do
torneios, torneio
do, do
Grand, grand
Slam, slam
., .

, 

LEIA, leia
MAIS, mai

, 

Sobre, sobr
os, os
outros, outro
resultados, resultado
na, na
pag.2, pag.2

, 

