Uma, ﻿uma
interrogação, interrogação
antes, ant
do, do
jogo, jogo
:, :
Roberto, roberto
Baggio, baggio
entraria, entraria
em, em
campo, campo
com, com
sua, sua
faixa, faixa
de, de
capitão, capitão
azul-amarela-vermelha, azul-amarela-vermelha
,, ,
com, com
símbolos, símbolo
budistas, budista
japoneses, japones
?, ?

, 

Nobres, nobr
romanos, romano
escreveram, escreveram
à, à
direção, direção
da, da
Juve, juve
pedindo, pedindo
que, que
ele, ele
voltasse, voltass
a, a
usar, usar
a, a
faixa, faixa
azul, azul
,, ,
símbolo, símbolo
da, da
nobreza, nobreza
da, da
casa, casa
dos, do
Savoia, savoia
., .

, 

Baggio, baggio
entrou, entrou
com, com
a, a
faixa, faixa
tricolor, tricolor
., .
E, e
foi, foi
um, um
jogador, jogador
decisivo, decisivo
,, ,
fazendo, fazendo
assistências, assistência
para, para
três, trê
golaços, golaço
., .
E, e
agora, agora
toda, toda
a, a
Turim, turim
exige, exig
que, que
ele, ele
fique, fiqu
na, na
Juve, juve
., .

, 

A, a
torcida, torcida
,, ,
que, que
cantou, cantou
`, `
`, `
We, we
Are, are
the, the
Champions, champion
'', ''
,, ,
invadiu, invadiu
a, a
Piazza, piazza
San, san
Carlo, carlo
e, e
as, as
ruas, rua
centrais, centrai
de, de
Turim, turim
., .

, 

