Meus, ﻿meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
bem, bem
que, que
o, o
Milan, milan
fez, fez
por, por
merecer, merec
a, a
vitória, vitória
no, no
primeiro, primeiro
tempo, tempo
contra, contra
o, o
Ajax, ajax
,, ,
na, na
Viena, viena
que, que
durante, durant
tempos, tempo
foi, foi
dos, do
meus, meu
sonhos, sonho
(, (
eu, eu
,, ,
leitor, leitor
Kraus, krau
e, e
ouvinte, ouvint
de, de
Schoenberg, schoenberg
), )
., .

, 

É, é
incrível, incrível
que, que
,, ,
mesmo, mesmo
na, na
decadência, decadência
,, ,
a, a
equipe, equip
rossonera, rossonera
consiga, consiga
manter, manter
uma, uma
padrão, padrão
de, de
jogo, jogo
moderníssimo, moderníssimo
,, ,
de, de
ocupação, ocupação
de, de
espaços, espaço
,, ,
de, de
altíssima, altíssima
voltagem, voltagem
nos, no
perigosos, perigoso
contra-golpes, contra-golp
., .

, 

Do, do
ponto, ponto
de, de
vista, vista
coletivo, coletivo
,, ,
o, o
Milan, milan
ainda, ainda
continua, continua
sendo, sendo
uma, uma
esquadra, esquadra
impressionante, impressionant
., .
Destaques, destaqu
individuais, individuai
:, :
o, o
lateral-esquerdo, lateral-esquerdo
Maldini, maldini
,, ,
certamente, certament
o, o
melhor, melhor
do, do
mundo, mundo
na, na
sua, sua
posição, posição
., .

, 

E, e
ainda, ainda
Marcel, marcel
Desailly, desailli
,, ,
que, que
anulou, anul
o, o
finlandês, finlandê
Jari, jari
Litmanen, litmanen
,, ,
o, o
artilheiro, artilheiro
do, do
Ajax, ajax
,, ,
e, e
Albertini, albertini
,, ,
com, com
posicionamento, posicionamento
e, e
visão, visão
de, de
jogo, jogo
incomuns, incomun
., .

, 

Mas, ma
,, ,
ao, ao
Milan, milan
de, de
tanta, tanta
aplicação, aplicação
tática, tática
e, e
de, de
tanta, tanta
modernidade, modernidad
funcional, funcion
no, no
futebol, futebol
,, ,
falta, falta
um, um
talento, talento
., .
A, a
ausência, ausência
de, de
Savicevic, savicev
foi, foi
letal, letal
., .
Resultado, resultado
:, :
um, um
time, time
de, de
muita, muita
aplicação, aplicação
tática, tática
sem, sem
um, um
gênio, gênio
., .

, 

Confesso, confesso
que, que
o, o
Ajax, ajax
do, do
primeiro, primeiro
tempo, tempo
me, me
decepcionou, decepcion
muito, muito
., .
Jogou, jogou
como, como
a, a
Holanda, holanda
jogou, jogou
contra, contra
o, o
Brasil, brasil
em, em
Dallas, dalla
,, ,
durante, durant
a, a
Copa, copa
do, do
Mundo, mundo
., .

, 

Três, trê
zagueiros, zagueiro
,, ,
três, trê
atacantes, atacant
fixos, fixo
., .
Estáticos, estático
,, ,
sem, sem
mobilidade, mobilidad
,, ,
presas, presa
fáceis, fácei
., .

, 

Até, até
que, que
o, o
técnico, técnico
Van, van
Gaal, gaal
resolveu, resolveu
mudar, mudar
tudo, tudo
no, no
intervalo, intervalo
., .
Ele, ele
resolveu, resolveu
ganhar, ganhar
,, ,
entusiasmar, entusiasmar
o, o
jogo, jogo
., .

, 

E, e
o, o
entusiasta, entusiasta
,, ,
como, como
lembra, lembra
o, o
poeta, poeta
Murilo, murilo
Mendes, mend
,, ,
é, é
o, o
portador, portador
de, de
Deus, deu
., .
Viva, viva
a, a
teenbolada, teenbolada
black, black
holandesa, holandesa
,, ,
para, para
alegria, alegria
do, do
José, josé
Trajano, trajano
., .

, 

Quebrar, quebrar
as, as
regras, regra
do, do
jogo, jogo
não, não
é, é
uma, uma
prerrogativa, prerrogativa
brasileira, brasileira
., .

, 

Alguns, algun
dos, do
grandes, grand
times, time
da, da
Europa, europa
tentam, tentam
uma, uma
vaga, vaga
cativa, cativa
na, na
Copa, copa
dos, do
Campeões, campeõ
., .
E, e
alguns, algun
dos, do
diretores, diretor
do, do
Barcelona, barcelona
queriam, queriam
que, que
o, o
time, time
fosse, foss
convidado, convidado
para, para
próxima, próxima
Copa, copa
da, da
Uefa, uefa
., .

, 

O, o
tapetão, tapetão
é, é
mesmo, mesmo
universal, univers
., .

, 

Os, os
jornais, jornai
europeus, europeu
não, não
deram, deram
que, que
o, o
Edmundo, edmundo
foi, foi
comprado, comprado
pelo, pelo
Flamengo, flamengo
., .
Mas, ma
noticiaram, noticiaram
a, a
sua, sua
convocação, convocação
para, para
a, a
seleção, seleção
brasileira, brasileira
., .

, 

Vamos, vamo
ver, ver
se, se
desta, desta
vez, vez
ele, ele
vai, vai
., .
Porque, porqu
talento, talento
não, não
falta, falta
ao, ao
`, `
`, `
animal, anim
'', ''
., .

, 

Alguns, algun
adolescentes, adolescent
aqui, aqui
em, em
Londres, londr
,, ,
torcedores, torcedor
do, do
Aston, aston
Vila, vila
,, ,
irão, irão
ver, ver
o, o
jogos, jogo
da, da
seleção, seleção
brasileira, brasileira
em, em
junho, junho
., .

, 

Reclamam, reclamam
do, do
preço, preço
do, do
ingresso, ingresso
:, :
cerca, cerca
de, de
US$, us$
40, 40
., .
É, é
muito, muito
caro, caro
até, até
para, para
país, paí
do, do
Primeiro, primeiro
Mundo, mundo
., .

, 

Arrigo, arrigo
Sacchi, sacchi
anda, anda
me, me
perseguindo, perseguindo
., .
Além, além
do, do
encontro, encontro
no, no
hotel, hotel
em, em
Milão, milão
,, ,
reencontro-o, reencontro-o
no, no
maravilhoso, maravilhoso
restaurante, restaurant
Drei, drei
Husaren, husaren
,, ,
em, em
Viena, viena
,, ,
na, na
véspera, véspera
do, do
jogo, jogo
entre, entr
o, o
Milan, milan
e, e
o, o
Ajax, ajax
., .

, 

Arrigo, arrigo
foi, foi
aplaudido, aplaudido
pelos, pelo
italianos, italiano
que, que
lotavam, lotavam
o, o
restaurante, restaurant
., .
Todo, todo
mundo, mundo
fazia, fazia
questão, questão
de, de
falar, falar
com, com
ele, ele
., .
É, é
assim, assim
mesmo, mesmo
., .
Quando, quando
a, a
seleção, seleção
italiana, italiana
não, não
está, está
jogando, jogando
..., ...

, 

No, no
meu, meu
italiano, italiano
literalmente, literalment
macarrônico, macarrônico
,, ,
troquei, troquei
na, na
coluna, coluna
de, de
quinta, quinta
,, ,
certamente, certament
para, para
o, o
horror, horror
do, do
Sílvio, sílvio
Lancellotti, lancellotti
e, e
do, do
Claudio, claudio
Carsughi, carsughi
,, ,
a, a
cartilagem, cartilagem
do, do
tornozelo, tornozelo
pela, pela
da, da
clavícula, clavícula
do, do
jogador, jogador
Marco, marco
Van, van
Basten, basten
., .

, 

Mil, mil
perdões, perdõ
., .
E, e
Auf, auf
Wiedersehen, wiedersehen
,, ,
que, que
eu, eu
estou, estou
voltando, voltando
., .

, 

Matinas, matina
Suzuki, suzuki
Jr., jr.
escreve, escrev
às, às
terças, terça
,, ,
quintas, quinta
e, e
sábados, sábado

, 

