Foi, ﻿foi
preciso, preciso
um, um
", "
exílio, exílio
", "
na, na
América, américa
aos, ao
40, 40
anos, ano
para, para
que, que
Nigel, nigel
Mansell, mansel
fosse, foss
reconhecido, reconhecido
pelo, pelo
mundo, mundo
., .
O, o
piloto, piloto
inglês, inglê
,, ,
que, que
no, no
final, final
de, de
92, 92
anunciou, anunci
que, que
estava, estava
deixando, deixando
a, a
Fórmula, fórmula
1, 1
,, ,
conquistou, conquist
o, o
planeta, planeta
com, com
o, o
título, título
de, de
93, 93
na, na
Indy, indi
., .
Desprezado, desprezado
pela, pela
Williams, william
,, ,
que, que
o, o
dispensou, dispens
apesar, apesar
do, do
título, título
mundial, mundial
,, ,
Mansell, mansel
foi, foi
correr, correr
na, na
prima, prima
pobre, pobr
dos, do
EUA, eua
., .
Ganhou, ganhou
o, o
campeonato, campeonato
e, e
todos, todo
os, os
prêmios, prêmio
importantes, important
do, do
automobilismo, automobilismo
mundial, mundial
na, na
temporada, temporada
., .

, 

Mansell, mansel
foi, foi
escolhido, escolhido
pelos, pelo
jornalistas, jornalista
norte-americanos, norte-americano
especializados, especializado
como, como
melhor, melhor
piloto, piloto
do, do
país, paí
no, no
ano, ano
., .
É, é
uma, uma
façanha, façanha
por, por
dois, doi
motivos, motivo
:, :
primeiro, primeiro
,, ,
Nigel, nigel
é, é
britânico, britânico
;, ;
segundo, segundo
,, ,
nessas, nessa
eleições, eleiçõ
geralmente, geralment
o, o
vencedor, vencedor
sai, sai
da, da
categoria, categoria
mais, mai
popular, popular
do, do
país, paí
,, ,
a, a
Nascar, nascar
–, –
o, o
Stock, stock
Car, car
dos, do
EUA, eua
., .

, 

O, o
que, que
levou, levou
a, a
imprensa, imprensa
a, a
escolher, escolh
o, o
", "
Red, red
Five, five
", "
foram, foram
suas, sua
atuações, atuaçõ
em, em
circuitos, circuito
ovais, ovai
., .
No, no
início, início
do, do
ano, ano
,, ,
apostava-se, apostava-s
,, ,
com, com
grande, grand
probabilidade, probabilidad
de, de
ganhar, ganhar
algum, algum
dinheiro, dinheiro
,, ,
que, que
Mansell, mansel
se, se
arrebentaria, arrebentaria
no, no
primeiro, primeiro
muro, muro
que, que
encontrasse, encontrass
pela, pela
frente, frent
., .

, 

Em, em
parte, part
quem, quem
acreditou, acredit
em, em
tal, tal
hipótese, hipótes
acertou, acert
., .
Na, na
segunda, segunda
prova, prova
do, do
ano, ano
,, ,
no, no
oval, oval
curto, curto
de, de
Phoenix, phoenix
,, ,
Nigel, nigel
se, se
esborrachou, esborrach
num, num
treino, treino
e, e
nem, nem
pôde, pôde
correr, correr
., .
Para, para
os, os
veteranos, veterano
da, da
Indy, indi
,, ,
nada, nada
mais, mai
conveniente, convenient
., .
Estava, estava
provado, provado
que, que
a, a
vitória, vitória
na, na
abertura, abertura
do, do
campeonato, campeonato
,, ,
em, em
Surfer, surfer
's, 's
Paradise, paradis
,, ,
tinha, tinha
sido, sido
um, um
acaso, acaso
e, e
que, que
na, na
hora, hora
do, do
vamos, vamo
ver, ver
,, ,
nos, no
ovais, ovai
,, ,
o, o
inglês, inglê
baixaria, baixaria
a, a
crista, crista
., .

, 

Não, não
foi, foi
o, o
que, que
aconteceu, aconteceu
., .
Depois, depoi
do, do
acidente, acident
Mansell, mansel
se, se
dedicou, dedic
com, com
afinco, afinco
aos, ao
treinos, treino
em, em
ovais, ovai
e, e
acabou, acab
ganhando, ganhando
quatro, quatro
provas, prova
nesse, ness
tipo, tipo
de, de
circuito, circuito
., .
Uma, uma
delas, dela
em, em
Michigan, michigan
,, ,
500, 500
milhas, milha
,, ,
corrida, corrida
que, que
deixa, deixa
qualquer, qualquer
garoto, garoto
com, com
a, a
língua, língua
de, de
fora, fora
., .

, 

Mansell, mansel
só, só
não, não
ganhou, ganhou
a, a
etapa, etapa
mais, mai
importante, important
do, do
ano, ano
,, ,
em, em
Indianápolis, indianápoli
,, ,
por, por
uma, uma
certa, certa
ingenuidade, ingenuidad
na, na
última, última
relargada, relargada
., .
Chegou, chegou
em, em
terceiro, terceiro
,, ,
e, e
ainda, ainda
deu, deu
um, um
show, show
no, no
fim, fim
–, –
esbarrando, esbarrando
seu, seu
Lola-Ford, lola-ford
no, no
muro, muro
a, a
mais, mai
de, de
300, 300
km/h, km/h
e, e
segurando, segurando
o, o
carro, carro
como, como
se, se
estivesse, estivess
manobrando, manobrando
num, num
estacionamento, estacionamento
de, de
shopping, shop
center, center
., .

, 

As, as
quatro, quatro
vitórias, vitória
ovais, ovai
de, de
Mansell, mansel
lhe, lhe
deram, deram
o, o
título, título
por, por
antecipação, antecipação
., .
Ele, ele
terminou, termin
12, 12
das, da
16, 16
corridas, corrida
(, (
veja, veja
quadro, quadro
ao, ao
lado, lado
), )
e, e
completou, complet
mais, mai
de, de
90, 90
%, %
da, da
distância, distância
total, total
percorrida, percorrida
no, no
campeonato, campeonato
., .
Ser, ser
campeão, campeão
no, no
ano, ano
de, de
estréia, estréia
certamente, certament
pesou, pesou
na, na
sua, sua
decisão, decisão
de, de
não, não
aceitar, aceitar
os, os
convites, convit
para, para
voltar, voltar
à, à
F-1, f-1
,, ,
que, que
vieram, vieram
da, da
Benetton, benetton
e, e
da, da
McLaren, mclaren
., .

, 

Além, além
do, do
mais, mai
,, ,
Nigel, nigel
e, e
sua, sua
família, família
encontraram, encontraram
em, em
Clearwater, clearwat
,, ,
Flórida, flórida
,, ,
onde, ond
vivem, vivem
,, ,
o, o
sol, sol
que, que
raramente, rarament
visita, visita
a, a
gelada, gelada
Ilha, ilha
de, de
Man, man
–, –
onde, ond
a, a
trupe, trupe
morava, morava
na, na
Europa, europa
., .
Sua, sua
mulher, mulher
,, ,
Rosanne, rosann
,, ,
teve, teve
grande, grand
influência, influência
na, na
decisão, decisão
de, de
Nigel, nigel
,, ,
que, que
renovou, renov
com, com
a, a
Newman-Haas, newman-haa
por, por
mais, mai
duas, dua
temporadas, temporada
., .
Na, na
casa, casa
de, de
Mansell, mansel
,, ,
quem, quem
manda, manda
é, é
ela, ela
., .

, 

A, a
Europa, europa
também, também
