A, ﻿a
diretoria, diretoria
do, do
Palmeiras, palmeira
promete, promet
divulgar, divulgar
o, o
nome, nome
do, do
novo, novo
técnico, técnico
da, da
equipe, equip
após, apó
o, o
jogo, jogo
de, de
domingo, domingo
,, ,
contra, contra
o, o
Corinthians, corinthian
., .

, 

", "
Estamos, estamo
analisando, analisando
alguns, algun
nomes, nome
para, para
escolher, escolh
o, o
mais, mai
adequado, adequado
para, para
o, o
Palmeiras, palmeira
'', ''
,, ,
afirmou, afirm
à, à
Folha, folha
Gilberto, gilberto
Cipulo, cipulo
,, ,
diretor, diretor
de, de
futebol, futebol
., .

, 

Carlos, carlo
Alberto, alberto
Silva, silva
,, ,
do, do
Cruzeiro, cruzeiro
,, ,
Mário, mário
Sérgio, sérgio
,, ,
ex-Corinthians, ex-corinthian
,, ,
e, e
Nelsinho, nelsinho
Rosa, rosa
,, ,
ex-Vasco, ex-vasco
,, ,
são, são
os, os
mais, mai
cotados, cotado
., .

, 

Márcio, márcio
Araújo, araújo
responde, respond
interinamente, interinament
pelo, pelo
cargo, cargo
de, de
treinador, treinador
até, até
domingo, domingo
., .

, 

Os, os
jogadores, jogador
participaram, participaram
de, de
um, um
treino, treino
coletivo, coletivo
ontem, ontem
pela, pela
manhã, manhã
na, na
Academia, academia
de, de
Futebol, futebol
da, da
Lapa, lapa
(, (
zona, zona
oeste, oest
), )
., .

, 

", "
O, o
elenco, elenco
sente, sent
a, a
mudança, mudança
de, de
técnico, técnico
,, ,
mas, ma
eu, eu
pretendo, pretendo
dar, dar
o, o
máximo, máximo
ao, ao
clube, clube
,, ,
mesmo, mesmo
que, que
seja, seja
por, por
apenas, apena
um, um
jogo, jogo
'', ''
,, ,
afirmou, afirm
Márcio, márcio
Araújo, araújo
., .

, 

Ele, ele
pretende, pretend
definir, definir
a, a
equipe, equip
na, na
véspera, véspera
do, do
jogo, jogo
., .
`, `
`, `
Tenho, tenho
que, que
esperar, esperar
os, os
cinco, cinco
jogadores, jogador
que, que
estão, estão
em, em
Tel, tel
Aviv, aviv
com, com
a, a
seleção, seleção
para, para
saber, saber
como, como
eles, ele
estão, estão
., .
'', ''

, 

", "
Estamos, estamo
tristes, trist
,, ,
um, um
pouco, pouco
perdidos, perdido
., .
É, é
esquisita, esquisita
a, a
situação, situação
'', ''
,, ,
afirmou, afirm
o, o
volante, volant
Mancuso, mancuso
., .
", "
Primeiro, primeiro
sai, sai
o, o
técnico, técnico
,, ,
nós, nó
podemos, podemo
ser, ser
os, os
próximos, próximo
., .
'', ''

, 

Mancuso, mancuso
lembrou, lembrou
que, que
a, a
situação, situação
começou, começ
a, a
ficar, ficar
difícil, difícil
quando, quando
houve, houv
o, o
atraso, atraso
no, no
pagamento, pagamento
de, de
prêmios, prêmio
aos, ao
jogadores, jogador
., .

, 

", "
Eu, eu
não, não
concordo, concordo
que, que
trocar, trocar
de, de
técnico, técnico
dá, dá
outra, outra
motivação, motivação
ao, ao
time, time
., .
Temos, temo
que, que
suar, suar
a, a
camisa, camisa
sempre, sempr
., .
'', ''

, 

Antônio, antônio
Carlos, carlo
,, ,
que, que
se, se
recupera, recupera
de, de
contusão, contusão
e, e
não, não
treinou, treinou
ontem, ontem
,, ,
também, também
lamentou, lament
a, a
saída, saída
de, de
Espinosa, espinosa
., .

, 

", "
Hoje, hoje
(, (
ontem, ontem
), )
o, o
ambiente, ambient
está, está
esquisito, esquisito
'', ''
,, ,
disse, diss
o, o
zagueiro, zagueiro
., .

, 

", "
O, o
jogo, jogo
contra, contra
o, o
Corinthians, corinthian
é, é
um, um
clássico, clássico
., .
Se, se
a, a
gente, gent
vencer, vencer
,, ,
o, o
astral, astral
pode, pode
mudar, mudar
., .
'', ''

, 

