O, ﻿o
vôo, vôo
charter, charter
(, (
fretado, fretado
), )
definitivamente, definitivament
se, se
incorpora, incorpora
ao, ao
mercado, mercado
turístico, turístico
brasileiro, brasileiro
., .
Depois, depoi
de, de
quase, quas
dois, doi
anos, ano
de, de
negociações, negociaçõ
,, ,
o, o
Departamento, departamento
de, de
Aviação, aviação
Civil, civil
(, (
DAC, dac
), )
autorizou, autoriz
em, em
agosto, agosto
a, a
abertura, abertura
da, da
Air, air
Vias, via
,, ,
primeira, primeira
empresa, empresa
nacional, nacion
de, de
fretamentos, fretamento
., .
Inaugurada, inaugurada
no, no
último, último
dia, dia
25, 25
de, de
dezembro, dezembro
,, ,
a, a
companhia, companhia
derruba, derruba
preços, preço
e, e
decola, decola
bem, bem
neste, nest
início, início
de, de
alta, alta
temporada, temporada
., .

, 

É, é
o, o
turismo, turismo
aéreo, aéreo
que, que
se, se
populariza, populariza
,, ,
uma, uma
estratégia, estratégia
que, que
dá, dá
sinais, sinai
de, de
sucesso, sucesso
em, em
época, época
de, de
inflação, inflação
galopante, galopant
., .
Com, com
pacotes, pacot
de, de
uma, uma
semana, semana
–, –
conjugando, conjugando
hotel, hotel
e, e
avião, avião
–, –
,, ,
que, que
custam, custam
em, em
média, média
30, 30
%, %
a, a
menos, meno
em, em
relação, relação
à, à
concorrência, concorrência
,, ,
a, a
companhia, companhia
mantém, mantém
este, est
mês, mê
uma, uma
ocupação, ocupação
que, que
beira, beira
os, os
100, 100
%, %
., .
Em, em
apenas, apena
dez, dez
dias, dia
,, ,
já, já
embarcou, embarc
1.800, 1.800
brasileiros, brasileiro
rumo, rumo
às, às
praias, praia
de, de
Maceió, maceió
,, ,
Fortaleza, fortaleza
,, ,
Natal, natal
e, e
Porto, porto
Seguro, seguro
,, ,
no, no
Nordeste, nordest
;, ;
e, e
Jamaica, jamaica
,, ,
Curaçao, curaçao
e, e
Barbados, barbado
,, ,
no, no
Caribe, carib
., .

, 

Ancorada, ancorada
por, por
um, um
", "
pool, pool
", "
de, de
cinco, cinco
grandes, grand
operadoras, operadora
do, do
país, paí
–, –
Ati, ati
,, ,
CVC, cvc
,, ,
Dimensão, dimensão
,, ,
Flot, flot
e, e
Mundirama, mundirama
–, –
,, ,
a, a
Air, air
Vias, via
traz, traz
como, como
diferencial, diferenci
a, a
comercialização, comercialização
de, de
charters, charter
durante, durant
todo, todo
o, o
ano, ano
e, e
não, não
apenas, apena
nas, na
férias, féria
,, ,
como, como
ocorria, ocorria
até, até
então, então
no, no
Brasil, brasil
., .
Por, por
não, não
ser, ser
uma, uma
companhia, companhia
aérea, aérea
regular, regular
,, ,
não, não
vende, vend
passagem, passagem
,, ,
mas, ma
o, o
programa, programa
completo, completo
,, ,
com, com
hotel, hotel
(, (
categorias, categoria
três, trê
,, ,
quatro, quatro
e, e
cinco, cinco
estrelas, estrela
), )
,, ,
traslados, traslado
,, ,
avião, avião
e, e
passeios, passeio
., .

, 

É, é
claro, claro
que, que
vôos, vôo
fretados, fretado
têm, têm
suas, sua
limitações, limitaçõ
,, ,
mas, ma
o, o
que, que
anda, anda
atraindo, atraindo
os, os
passageiros, passageiro
é, é
o, o
fator, fator
preço, preço
., .
A, a
empresa, empresa
comercializa, comercializa
um, um
pacote, pacot
completo, completo
de, de
uma, uma
semana, semana
para, para
Fortaleza, fortaleza
por, por
US$, us$
520, 520
,, ,
cerca, cerca
de, de
28, 28
%, %
menos, meno
do, do
que, que
o, o
oferecido, oferecido
por, por
agências, agência
que, que
fretam, fretam
aviões, aviõ
de, de
companhias, companhia
regionais, regionai
., .

, 

Para, para
quem, quem
tem, tem
uma, uma
família, família
grande, grand
,, ,
a, a
economia, economia
é, é
expressiva, expressiva
., .
A, a
passagem, passagem
aérea, aérea
de, de
um, um
vôo, vôo
regular, regular
São, são
Paulo-Fortaleza, paulo-fortaleza
,, ,
já, já
com, com
30, 30
%, %
de, de
desconto, desconto
e, e
sem, sem
a, a
taxa, taxa
de, de
embarque, embarqu
,, ,
custava, custava
na, na
