O, ﻿o
Chicago, chicago
Bulls, bull
conseguiu, conseguiu
ontem, ontem
em, em
casa, casa
a, a
sua, sua
sétima, sétima
vitória, vitória
consecutiva, consecutiva
graças, graça
à, à
atuação, atuação
de, de
dois, doi
de, de
seus, seu
reservas, reserva
,, ,
o, o
armador, armador
Steve, steve
Kerr, kerr
(, (
14, 14
pontos, ponto
na, na
partida, partida
), )
e, e
o, o
ala, ala
croata, croata
Toni, toni
Kukoc, kukoc
(, (
11, 11
pontos, ponto
), )
., .
Os, os
Bulls, bull
derrotaram, derrotaram
o, o
Detroit, detroit
Pistons, piston
por, por
92, 92
a, a
96, 96
,, ,
depois, depoi
de, de
estarem, estarem
14, 14
pontos, ponto
atrás, atrá
no, no
placar, placar
no, no
começo, começo
do, do
segundo, segundo
tempo, tempo
., .

, 

Foi, foi
a, a
23ª, 23ª
derrota, derrota
do, do
Detroit, detroit
na, na
temporada, temporada
(, (
a, a
equipe, equip
tem, tem
nove, nove
vitórias, vitória
), )
,, ,
a, a
pior, pior
campanha, campanha
da, da
Divisão, divisão
Central, central
e, e
a, a
segunda, segunda
pior, pior
da, da
Liga, liga
,, ,
só, só
superada, superada
pela, pela
campanha, campanha
do, do
Dallas, dalla
(, (
venceram, venceram
dois, doi
e, e
perderam, perderam
37, 37
), )
., .
A, a
explicação, explicação
mais, mai
provável, provável
para, para
o, o
momento, momento
ruim, ruim
do, do
time, time
é, é
o, o
baixo, baixo
rendimento, rendimento
das, da
estrelas, estrela
veteranas, veterana
,, ,
os, os
armadores, armador
Isiah, isiah
Thomas, thoma
e, e
Joe, joe
Dummars, dummar
., .

, 

Os, os
outros, outro
resultados, resultado
de, de
ontem, ontem
foram, foram
Boston, boston
110, 110
x, x
Dallas, dalla
102, 102
,, ,
Indiana, indiana
88, 88
x, x
Milwaukee, milwauke
99, 99
e, e
Utah, utah
95, 95
x, x
Seattle, seattl
90, 90
., .

, 

