A, ﻿a
equipe, equip
comandada, comandada
pelo, pelo
técnico, técnico
José, josé
Roberto, roberto
Guimarães, guimarã
chega, chega
hoje, hoje
à, à
noite, noit
a, a
São, são
Paulo, paulo
., .
Ficará, ficará
hospedada, hospedada
no, no
hotel, hotel
The, the
Hill, hill
,, ,
no, no
Morumbi, morumbi
(, (
zona, zona
sul, sul
), )
., .

, 

O, o
time, time
treina, treina
de, de
amanhã, amanhã
até, até
quinta-feira, quinta-feira
na, na
Associação, associação
Atlética, atlética
Banco, banco
do, do
Brasil, brasil
,, ,
em, em
Itapecerica, itapecerica
da, da
Serra, serra
., .
O, o
objetivo, objetivo
é, é
aprimorar, aprimorar
a, a
parte, part
tática, tática
., .

, 

Na, na
sexta, sexta
,, ,
os, os
jogadores, jogador
viajam, viajam
para, para
a, a
Europa, europa
., .
O, o
time, time
disputa, disputa
dois, doi
amistosos, amistoso
contra, contra
a, a
Holanda, holanda
e, e
,, ,
depois, depoi
,, ,
enfrenta, enfrenta
a, a
Espanha, espanha
pela, pela
Liga, liga
Mundial, mundial
., .

, 

