Pela, ﻿pela
segunda, segunda
vez, vez
consecutiva, consecutiva
,, ,
a, a
pivô, pivô
argentina, argentina
Karina, karina
termina, termina
o, o
campeonato, campeonato
paulista, paulista
como, como
cestinha, cestinha
da, da
bicampeã, bicampeã
Nossa, nossa
Caixa-Ponte, caixa-pont
Preta, preta
., .
Anotou, anot
nada, nada
menos, meno
do, do
que, que
78, 78
pontos, ponto
–, –
44, 44
contra, contra
a, a
Cesp-Unimep, cesp-unimep
e, e
34, 34
contra, contra
o, o
Lacta, lacta
–, –
nas, na
finais, finai
,, ,
totalizando, totalizando
693, 693
pontos, ponto
no, no
campeonato, campeonato
,, ,
marca, marca
superada, superada
apenas, apena
pela, pela
ala, ala
Janeth, janeth
,, ,
do, do
Lacta, lacta
,, ,
com, com
704, 704
., .

, 

", "
É, é
ótimo, ótimo
jogar, jogar
em, em
um, um
time, time
forte, fort
e, e
disputar, disputar
um, um
campeonato, campeonato
forte, fort
", "
,, ,
afirmou, afirm
Karina, karina
Valéria, valéria
Rodriguez, rodriguez
(, (
1,86, 1,86
m, m
e, e
89, 89
kg, kg
), )
,, ,
que, que
veio, veio
para, para
o, o
Brasil, brasil
com, com
15, 15
anos, ano
de, de
idade, idad
(, (
completa, completa
22, 22
no, no
próximo, próximo
dia, dia
8, 8
de, de
fevereiro, fevereiro
), )
e, e
até, até
encaminhou, encaminh
processo, processo
de, de
naturalização, naturalização
tal, tal
a, a
sua, sua
adaptação, adaptação
ao, ao
Brasil, brasil
., .
Mas, ma
mesmo, mesmo
que, que
consiga, consiga
a, a
documentação, documentação
brasileira, brasileira
,, ,
ela, ela
continuará, continuará
impedida, impedida
de, de
defender, defend
a, a
seleção, seleção
nacional, nacion
,, ,
segundo, segundo
regulamento, regulamento
da, da
Federação, federação
Internacional, internacion
de, de
Basquete, basquet
., .

, 

Convidada, convidada
pela, pela
técnica, técnica
Maria, maria
Helena, helena
Cardoso, cardoso
,, ,
a, a
pivô, pivô
veio, veio
para, para
o, o
Brasil, brasil
,, ,
jogar, jogar
no, no
BCN, bcn
/, /
Piracicaba, piracicaba
,, ,
com, com
apenas, apena
15, 15
anos, ano
de, de
idade, idad
., .
"Ganhei, "ganhei
bolsa, bolsa
de, de
estudos, estudo
,, ,
ajuda, ajuda
de, de
custo, custo
e, e
estava, estava
empolgada, empolgada
", "
,, ,
falou, falou
., .
Ficou, ficou
em, em
Piracicaba, piracicaba
até, até
meados, meado
de, de
91, 91
quando, quando
se, se
transferiu, transferiu
para, para
o, o
time, time
espanhol, espanhol
do, do
Banco, banco
Zaragozano, zaragozano
,, ,
com, com
o, o
qual, qual
se, se
sagrou, sagrou
campeã, campeã
da, da
Copa, copa
da, da
Espanha, espanha
e, e
vice, vice
da, da
Copa, copa
da, da
Europa, europa
., .

, 

", "
Viajei, viajei
muito, muito
pela, pela
Europa, europa
., .
Afirmo, afirmo
,, ,
sem, sem
dúvida, dúvida
,, ,
que, que
não, não
existe, exist
no, no
mundo, mundo
um, um
campeonato, campeonato
regional, region
tão, tão
forte, fort
como, como
o, o
paulista, paulista
., .
Na, na
Espanha, espanha
,, ,
há, há
mais, mai
equilíbrio, equilíbrio
,, ,
maior, maior
quantidade, quantidad
de, de
equipes, equip
,, ,
mas, ma
todas, toda
de, de
menor, menor
qualidade, qualidad
", "
,, ,
declarou, declar
Karina, karina
,, ,
que, que
está, está
na, na
Ponte, pont
desde, desd
92, 92
., .

, 

As, as
cestinhas, cestinha
do, do
paulista, paulista
;, ;
1, 1
), )
Janeth, janeth
,, ,
704, 704
pontos, ponto
;, ;
2, 2
), )
Karina, karina
,, ,
693, 693
;, ;
3, 3
), )
Hortência, hortência
(, (
Ponte, pont
), )
,, ,
551, 551
;, ;
4, 4
), )
Donna, donna
(, (
Unimed, unim
), )
,, ,
457, 457
;, ;
e, e
5, 5
), )
Cathy, cathi
(, (
Unimep, unimep
), )
,, ,
451, 451
., .
(, (
EA, ea
), )

, 

