A, ﻿a
falta, falta
de, de
entrosamento, entrosamento
que, que
prejudicou, prejudic
o, o
Corinthians, corinthian
no, no
jogo, jogo
contra, contra
a, a
Portuguesa, portuguesa
,, ,
domingo, domingo
passado, passado
,, ,
pode, pode
atrapalhar, atrapalhar
novamente, novament
a, a
equipe, equip
amanhã, amanhã
,, ,
contra, contra
o, o
América, américa
,, ,
em, em
São, são
José, josé
do, do
Rio, rio
Preto, preto
., .
O, o
time, time
treinou, treinou
ontem, ontem
à, à
tarde, tard
desfalcado, desfalcado
de, de
Marques, marqu
e, e
Moacir, moacir
,, ,
titulares, titular
certos, certo
,, ,
de, de
acordo, acordo
com, com
o, o
técnico, técnico
Afrânio, afrânio
Riul, riul
,, ,
que, que
pretendia, pretendia
manter, manter
a, a
escalação, escalação
da, da
última, última
partida, partida
., .

, 

Marques, marqu
faltou, faltou
ao, ao
treino, treino
devido, devido
à, à
morte, mort
de, de
um, um
tio, tio
., .
Já, já
o, o
volante, volant
Moacir, moacir
acordou, acord
com, com
dores, dore
na, na
canela, canela
esquerda, esquerda
e, e
apenas, apena
assistiu, assistiu
o, o
coletivo, coletivo
., .
", "
É, é
um, um
problema, problema
de, de
inflamação, inflamação
que, que
vai, vai
e, e
volta, volta
desde, desd
a, a
época, época
do, do
Nelsinho, nelsinho
", "
,, ,
disse, diss
desanimado, desanimado
,, ,
referindo-se, referindo-s
a, a
sua, sua
primeira, primeira
passagem, passagem
pelo, pelo
time, time
,, ,
em, em
1993, 1993
., .

, 

Segundo, segundo
o, o
médico, médico
Joaquim, joaquim
Grava, grava
,, ,
a, a
contusão, contusão
não, não
é, é
grave, grave
e, e
Moacir, moacir
pode, pode
jogar, jogar
amanhã, amanhã
., .
Já, já
o, o
atacante, atacant
Casagrande, casagrand
,, ,
com, com
uma, uma
tendinite, tendinit
na, na
região, região
anterior, anterior
da, da
coxa, coxa
,, ,
não, não
teve, teve
tanta, tanta
sorte, sort
., .
", "
Não, não
há, há
previsão, previsão
de, de
volta, volta
", "
,, ,
declarou, declar
o, o
médico, médico
,, ,
negando, negando
os, os
boatos, boato
de, de
que, que
o, o
jogador, jogador
pudesse, pudess
atuar, atuar
na, na
rodada, rodada
do, do
fim-de-semana, fim-de-semana
,, ,
contra, contra
o, o
Rio, rio
Branco, branco
de, de
Americana, americana
., .

, 

