Jean, ﻿jean
Alesi, alesi
e, e
Gerhard, gerhard
Berger, berger
foram, foram
os, os
mais, mai
rápidos, rápido
na, na
primeira, primeira
sessão, sessão
de, de
treinos, treino
oficiais, oficiai
para, para
o, o
GP, gp
da, da
Espanha, espanha
de, de
F-1, f-1
,, ,
ontem, ontem
no, no
circuito, circuito
de, de
Barcelona, barcelona
., .

, 

Comprovaram, comprovaram
,, ,
assim, assim
,, ,
a, a
fase, fase
de, de
ascensão, ascensão
da, da
Ferrari, ferrari
,, ,
que, que
superou, super
os, os
poderosos, poderoso
Williams, william
e, e
Michael, michael
Schumacher, schumach
,, ,
da, da
Benetton, benetton
., .

, 

O, o
segundo, segundo
treino, treino
oficial, ofici
acontece, acontec
hoje, hoje
,, ,
às, às
8h, 8h
(, (
de, de
Brasília, brasília
), )
,, ,
com, com
transmissão, transmissão
ao, ao
vivo, vivo
pela, pela
TV, tv
., .

, 

Alesi, alesi
foi, foi
superior, superior
durante, durant
quase, quas
todo, todo
o, o
treino, treino
e, e
terminou, termin
com, com
o, o
tempo, tempo
de, de
1min23s104, 1min23s104
., .
Berger, berger
fez, fez
1min23s458, 1min23s458
,, ,
no, no
final, final
da, da
sessão, sessão
., .

, 

O, o
terceiro, terceiro
foi, foi
David, david
Coulthard, coulthard
,, ,
da, da
Williams, william
,, ,
com, com
1min23s496, 1min23s496
., .
Schumacher, schumach
,, ,
que, que
chegou, chegou
a, a
rodar, rodar
em, em
busca, busca
do, do
tempo, tempo
de, de
Alesi, alesi
,, ,
foi, foi
o, o
quarto, quarto
(, (
1min23s535, 1min23s535
), )
., .

, 

Damon, damon
Hill, hill
,, ,
companheiro, companheiro
de, de
Coulthard, coulthard
,, ,
fez, fez
o, o
quinto, quinto
tempo, tempo
(, (
1min24s356, 1min24s356
), )
., .
`, `
`, `
O, o
tempo, tempo
prejudicou, prejudic
o, o
acerto, acerto
do, do
nosso, nosso
carro, carro
'', ''
,, ,
afirmou, afirm
o, o
atual, atual
líder, líder
do, do
campeonato, campeonato
(, (
20, 20
pontos, ponto
), )
,, ,
se, se
referindo, referindo
à, à
chuva, chuva
que, que
caiu, caiu
durante, durant
toda, toda
a, a
madrugada, madrugada
e, e
nas, na
primeiras, primeira
horas, hora
da, da
manhã, manhã
., .

, 

A, a
pista, pista
lisa, lisa
estava, estava
úmida, úmida
no, no
começo, começo
da, da
sessão, sessão
,, ,
mas, ma
secou, secou
rapidamente, rapidament
com, com
um, um
sol, sol
forte, fort
que, que
surgiu, surgiu
ainda, ainda
durante, durant
o, o
treino, treino
., .

, 

Schumacher, schumach
usou, usou
a, a
meteorologia, meteorologia
para, para
explicar, explicar
a, a
instabilidade, instabilidad
de, de
seu, seu
carro, carro
., .
`, `
`, `
Ele, ele
estava, estava
imprevisível, imprevisível
., .
Foi, foi
muito, muito
difícil, difícil
'', ''
,, ,
disse, diss
., .

, 

Na, na
Ferrari, ferrari
,, ,
o, o
clima, clima
não, não
recebeu, recebeu
menção, menção
., .
Alesi, alesi
afirmou, afirm
que, que
o, o
resultado, resultado
justificou, justific
o, o
otimismo, otimismo
da, da
equipe, equip
., .
`, `
`, `
Os, os
tempos, tempo
estavam, estavam
saindo, saindo
muito, muito
fácil, fácil
'', ''
,, ,
declarou, declar
., .

, 

Já, já
Berger, berger
manteve, mantev
o, o
discurso, discurso
reservado, reservado
., .
`, `
`, `
Fomos, fomo
bem, bem
,, ,
mas, ma
foi, foi
uma, uma
surpresa, surpresa
para, para
mim, mim
a, a
segunda, segunda
colocação, colocação
., .
Quanto, quanto
ao, ao
carro, carro
,, ,
está, está
bom, bom
., .
Mas, ma
não, não
sei, sei
se, se
manteremos, manteremo
o, o
ritmo, ritmo
na, na
corrida, corrida
'', ''
., .

, 

(, (
JHM, jhm
), )

, 

NA, na
TV, tv

, 

TV, tv
Globo, globo
,, ,
segundo, segundo
treino, treino
oficial, ofici
,, ,
ao, ao
vivo, vivo
,, ,
a, a
partir, partir
das, da
8h, 8h

, 

