Meus, ﻿meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
o, o
grande, grand
teste, test
na, na
nova, nova
etapa, etapa
do, do
rodízio, rodízio
de, de
convocações, convocaçõ
deste, dest
enigma, enigma
chamado, chamado
Zagallo, zagallo
é, é
o, o
da, da
centopéia, centopéia
palmeirense, palmeirens
Rivaldo, rivaldo
., .

, 

Acho, acho
que, que
o, o
caso, caso
do, do
Roberto, roberto
`, `
`, `
Eu, eu
Sou, sou
Terrível, terrível
'', ''
Carlos, carlo
é, é
pacífico, pacífico
:, :
a, a
lateral, later
esquerda, esquerda
é, é
dele, dele
e, e
do, do
Leonardo, leonardo
-sendo, -sendo
que, que
o, o
último, último
pode, pode
muito, muito
bem, bem
ser, ser
aproveitado, aproveitado
na, na
vaga, vaga
de, de
meio-campista, meio-campista
., .

, 

Mas, ma
o, o
Rivaldo, rivaldo
tem, tem
bastante, bastant
competidores, competidor
para, para
a, a
sua, sua
posição, posição
., .
Na, na
seleção, seleção
,, ,
ele, ele
está, está
1, 1
a, a
1, 1
(, (
e, e
este, est
jogo, jogo
,, ,
como, como
lembra, lembra
a, a
lambida, lambida
MPB, mpb
,, ,
não, não
pode, pode
ficar, ficar
1, 1
a, a
1, 1
), )
., .

, 

Jogou, jogou
muito, muito
bem, bem
na, na
sua, sua
estréia, estréia
,, ,
nem, nem
parecia, parecia
que, que
fazia, fazia
sua, sua
vernissage, vernissag
com, com
a, a
camisa, camisa
canarinho, canarinho
., .
No, no
segundo, segundo
teste, test
,, ,
segundo, segundo
a, a
comissão, comissão
técnica, técnica
,, ,
amarelou, amarel
., .

, 

Tem, tem
outra, outra
chance, chanc
., .
Rivaldo, rivaldo
é, é
hoje, hoje
o, o
jogador, jogador
mais, mai
importante, important
do, do
Palmeiras, palmeira
., .
E, e
tem, tem
se, se
saído, saído
muito, muito
bem, bem
nas, na
partidas, partida
internacionais, internacionai
,, ,
acumulando, acumulando
uma, uma
experiência, experiência
importante, important
para, para
voltar, voltar
à, à
seleção, seleção
., .

, 

Repeteco, repeteco
:, :
Rivaldo, rivaldo
é, é
um, um
dos, do
jogadores, jogador
mais, mai
modernos, moderno
do, do
Brasil, brasil
., .
Tem, tem
fôlego, fôlego
,, ,
velocidade, velocidad
,, ,
marca, marca
,, ,
posiciona, posiciona
,, ,
dribla, dribla
,, ,
chuta, chuta
(, (
com, com
a, a
esquerda, esquerda
), )
,, ,
cabeceia, cabeceia
,, ,
apresenta-se, apresenta-s
para, para
o, o
jogo, jogo
,, ,
aparenta, aparenta
frieza, frieza
., .

, 

Rivaldo, rivaldo
volta, volta
como, como
uma, uma
promessa, promessa
lá, lá
no, no
campo, campo
prometido, prometido
., .
Só, só
depende, depend
dele, dele
., .

, 

No, no
domingo, domingo
,, ,
a, a
Juventus, juventu
,, ,
de, de
Turim, turim
,, ,
também, também
conhecida, conhecida
como, como
a, a
Velha, velha
Senhora, senhora
,, ,
líder, líder
disparada, disparada
do, do
Campeonato, campeonato
Italiano, italiano
,, ,
tomou, tomou
uma, uma
tripleta, tripleta
da, da
Lazio, lazio
., .
Os, os
três, trê
gols, gol
saíram, saíram
no, no
segundo, segundo
tempo, tempo
., .

, 

A, a
Juve, juve
tem, tem
dois, doi
jogos, jogo
contra, contra
o, o
Parma, parma
,, ,
o, o
segundo, segundo
do, do
Campeonato, campeonato
Italiano, italiano
,, ,
pela, pela
frente, frent
., .
Na, na
quarta, quarta
17, 17
,, ,
em, em
Milão, milão
,, ,
faz, faz
o, o
jogo, jogo
de, de
volta, volta
da, da
Copa, copa
da, da
Uefa, uefa
., .
No, no
primeiro, primeiro
jogo, jogo
,, ,
deu, deu
Parma, parma
por, por
1, 1
a, a
0, 0
., .

, 

(, (
É, é
o, o
clássico, clássico
dos, do
Baggios, baggio
:, :
o, o
Roberto, roberto
,, ,
atacante, atacant
,, ,
pelo, pelo
time, time
da, da
terra, terra
da, da
Fiat, fiat
,, ,
que, que
,, ,
depois, depoi
daquele, daquel
pênalti, pênalti
perdido, perdido
na, na
Copa, copa
e, e
de, de
uma, uma
contusão, contusão
,, ,
voltou, voltou
a, a
jogar, jogar
bola, bola
,, ,
mas, ma
parece, parec
que, que
vai, vai
deixar, deixar
o, o
time, time
., .

, 

O, o
Dino, dino
,, ,
meio-campista, meio-campista
,, ,
pelo, pelo
time, time
da, da
terra, terra
da, da
Parmalat, parmalat
,, ,
que, que
fez, fez
o, o
gol, gol
da, da
vitória, vitória
no, no
jogo, jogo
de, de
ida, ida
), )
., .

, 

No, no
domingo, domingo
21, 21
os, os
dois, doi
times, time
voltam, voltam
a, a
se, se
enfrentar, enfrentar
,, ,
desta, desta
vez, vez
pelo, pelo
Campeonato, campeonato
Italiano, italiano
,, ,
em, em
Turim, turim
., .
A, a
rodada, rodada
deste, dest
domingo, domingo
(, (
14, 14
), )
pode, pode
definir, definir
o, o
título, título
da, da
temporada, temporada
94/95, 94/95
., .

, 

Se, se
não, não
definir, definir
,, ,
a, a
coisa, coisa
fica, fica
mesmo, mesmo
para, para
a, a
casa, casa
da, da
Velha, velha
Senhora, senhora
,, ,
no, no
dia, dia
21, 21
., .
Ali, ali
,, ,
quem, quem
levará, levará
a, a
vantagem, vantagem
é, é
a, a
Juve, juve
,, ,
muitos, muito
pontos, ponto
à, à
frente, frent
do, do
Parma, parma
., .

, 

No, no
dia, dia
24, 24
,, ,
em, em
Viena, viena
,, ,
outro, outro
time, time
italiano, italiano
estará, estará
entrando, entrando
em, em
campo, campo
para, para
uma, uma
decisão, decisão
., .
O, o
Milan, milan
pega, pega
o, o
Ajax, ajax
na, na
final, final
da, da
Copa, copa
dos, do
Campeões, campeõ
da, da
Europa, europa
,, ,
o, o
mais, mai
importante, important
título, título
europeu, europeu
de, de
clubes, clube
., .

, 

No, no
final, final
da, da
história, história
,, ,
as, as
torcidas, torcida
dos, do
atualmente, atualment
três, trê
times, time
mais, mai
importantes, important
da, da
Itália, itália
poderão, poderão
ficar, ficar
contentes, content
:, :

, 

A, a
da, da
Juve, juve
,, ,
com, com
o, o
Italiano, italiano
;, ;
a, a
do, do
Parma, parma
,, ,
com, com
o, o
título, título
da, da
Uefa, uefa
;, ;
a, a
do, do
Milan, milan
,, ,
com, com
a, a
Copa, copa
dos, do
Campeões, campeõ
da, da
Europa, europa
., .

, 

A, a
crise, crise
financeira, financeira
atinge, ating
o, o
Campeonato, campeonato
Italiano, italiano
,, ,
o, o
mais, mai
caro, caro
do, do
mundo, mundo
., .
Alguns, algun
times, time
,, ,
como, como
o, o
Napoli, napoli
e, e
o, o
Torino, torino
,, ,
decretaram, decretaram
uma, uma
falência, falência
`, `
`, `
branca, branca
'', ''
., .

, 

Será, será
a, a
síndrome, síndrome
Palmeiras, palmeira
que, que
também, também
gorjeia, gorjeia
pelas, pela
terras, terra
de, de
lá, lá
?, ?

, 

Matinas, matina
Suzuki, suzuki
Jr., jr.
escreve, escrev
às, às
terças, terça
,, ,
quintas, quinta
e, e
sábados, sábado

, 

