Meus, ﻿meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
mal, mal
refeito, refeito
do, do
massacre, massacr
do, do
domingo, domingo
no, no
Crepúsculo, crepúsculo
de, de
Cubatão, cubatão
,, ,
o, o
Corinthians, corinthian
joga, joga
todas, toda
as, as
suas, sua
fichas, ficha
amanhã, amanhã
contra, contra
o, o
Paraná, paraná
Clube, clube
para, para
continuar, continuar
na, na
Copa, copa
Brasil, brasil
., .

, 

Trata-se, trata-s
de, de
uma, uma
semana, semana
difícil, difícil
para, para
o, o
alvinegro, alvinegro
que, que
está, está
naquela, naquela
base, base
do, do
chove-não-molha, chove-não-molha
e, e
pega, pega
o, o
São, são
Paulo, paulo
,, ,
navegando, navegando
com, com
o, o
vento, vento
a, a
favor, favor
,, ,
no, no
domingo, domingo
,, ,
pelo, pelo
Campeonato, campeonato
Paulista, paulista
., .

, 

É, é
difícil, difícil
entender, entend
o, o
que, que
se, se
passa, passa
pelos, pelo
lados, lado
do, do
Parque, parqu
São, são
Jorge, jorg
., .
O, o
elenco, elenco
deve, deve
ser, ser
o, o
melhor, melhor
desde, desd
a, a
geração, geração
Sócrates-Palhinha-Casagrande-Zenon, sócrates-palhinha-casagrande-zenon
., .

, 

Mas, ma
,, ,
enquanto, enquanto
aqueles, aquel
ganhavam, ganhavam
tudo, tudo
,, ,
o, o
atual, atual
repertório, repertório
de, de
grande, grand
jogadores, jogador
do, do
Corinthians, corinthian
faz, faz
uma, uma
campanha, campanha
cicatrizada, cicatrizada
pelas, pela
incertezas, incerteza
., .

, 

A, a
primeira, primeira
explicação, explicação
é, é
que, que
o, o
excesso, excesso
de, de
cartões, cartõ
(, (
vermelhos, vermelho
e, e
amarelos, amarelo
,, ,
a, a
palheta, palheta
é, é
completa, completa
), )
tem, tem
atrapalhado, atrapalhado
a, a
continuidade, continuidad
da, da
equipe, equip
em, em
campo, campo
,, ,
e, e
,, ,
portanto, portanto
,, ,
prejudicado, prejudicado
o, o
conjunto, conjunto
do, do
time, time
., .

, 

Em, em
parte, part
,, ,
isto, isto
é, é
verdade, verdad
., .
Mas, ma
só, só
em, em
parte, part
., .
Falta, falta
também, também
,, ,
ao, ao
Corinthians, corinthian
,, ,
um, um
melhor, melhor
posicionamento, posicionamento
em, em
campo, campo
,, ,
e, e
isto, isto
é, é
responsabilidade, responsabilidad
do, do
treinador, treinador
., .

, 

Mesmo, mesmo
quando, quando
dispõe, dispõ
do, do
elenco, elenco
completo, completo
,, ,
Eduardo, eduardo
Amorim, amorim
,, ,
às, às
vezes, veze
,, ,
arma, arma
formações, formaçõ
inadequadas, inadequada
., .
Insistir, insistir
em, em
três, trê
volantes, volant
neste, nest
time, time
,, ,
por, por
exemplo, exemplo
,, ,
tem, tem
sido, sido
um, um
erro, erro
frequente, frequent
., .

, 

Insisto, insisto
que, que
o, o
esquema, esquema
de, de
três, trê
volantes, volant
é, é
um, um
dos, do
mais, mai
difíceis, difícei
no, no
futebol, futebol
., .
Ou, ou
há, há
um, um
profundo, profundo
entrosamento, entrosamento
,, ,
ou, ou
fica, fica
uma, uma
redundância, redundância
de, de
desarmadores, desarmador
tentando, tentando
suprir, suprir
a, a
carência, carência
de, de
armadores, armador
., .

, 

Acho, acho
que, que
o, o
Bernardo, bernardo
não, não
se, se
encontrou, encontr
até, até
agora, agora
., .
Bernardo, bernardo
mais, mai
Ezequiel, ezequiel
é, é
limitar, limitar
demais, demai
as, as
alternativas, alternativa
de, de
jogo, jogo
., .
Bernardo, bernardo
,, ,
Ezequiel, ezequiel
e, e
Marcelo, marcelo
Souza, souza
é, é
não, não
querer, querer
perder, perder
_, _
sem, sem
querer, querer
ganhar, ganhar
., .

, 

Um, um
certo, certo
conservadorismo, conservadorismo
insiste, insist
no, no
Henrique, henriqu
,, ,
no, no
Bernardo, bernardo
,, ,
no, no
Ezequiel, ezequiel
., .

, 

Pois, poi
,, ,
cá, cá
com, com
o, o
meu, meu
jogo, jogo
de, de
botões, botõ
,, ,
considero, considero
que, que
,, ,
se, se
,, ,
desde, desd
o, o
início, início
da, da
temporada, temporada
,, ,
o, o
Corinthians, corinthian
optasse, optass
por, por
um, um
time, time
,, ,
poderia, poderia
ter, ter
passado, passado
por, por
tropeços, tropeço
,, ,
mas, ma
estaria, estaria
com, com
perspectivas, perspectiva
melhores, melhor
., .

, 

O, o
time, time
seria, seria
este, est
:, :
Ronaldo, ronaldo
;, ;
Vítor, vítor
,, ,
Célio, célio
Silva, silva
,, ,
André, andré
Santos, santo
e, e
Silvinho, silvinho
;, ;
Marcelo, marcelo
Souza, souza
,, ,
Zé, zé
Elias, elia
e, e
Souza, souza
;, ;
Marcelinho, marcelinho
,, ,
Viola, viola
e, e
Marques, marqu
., .

, 

Houvera, houvera
esta, esta
formação, formação
jogado, jogado
um, um
mês, mê
junto, junto
e, e
a, a
vida, vida
alvinegra, alvinegra
seria, seria
outra, outra
,, ,
neste, nest
belo, belo
maio, maio
que, que
se, se
inicia, inicia
., .

, 

Pelo, pelo
jeito, jeito
da, da
coisa, coisa
,, ,
Santos, santo
e, e
Portuguesa, portuguesa
não, não
serão, serão
blefes, blefe
no, no
octogonal, octogon
., .

, 

E, e
o, o
Guarani, guarani
começou, começ
a, a
gostar, gostar
de, de
ganhar, ganhar
,, ,
de, de
ganhar, ganhar
,, ,
de, de
ganhar, ganhar
., .

, 

..., ...
e, e
o, o
América, américa
do, do
Zé, zé
Trajano, trajano
que, que
despachou, despach
o, o
Botafogo, botafogo
do, do
Túlio, túlio
Bem, bem
,, ,
ein, ein
?, ?

, 

Muita, muita
gente, gent
boa, boa
em, em
São, são
Paulo, paulo
criticou, critic
o, o
deslocamento, deslocamento
do, do
Renato, renato
do, do
Fluminense, fluminens
para, para
o, o
Palmeiras, palmeira
., .
Mais, mai
do, do
que, que
argumentos, argumento
,, ,
foram, foram
os, os
preconceitos, preconceito
que, que
deram, deram
a, a
tônica, tônica
dessas, dessa
críticas, crítica
., .

, 

Esta, esta
coluna, coluna
pensava, pensava
(, (
como, como
demonstrou, demonstr
), )
e, e
continua, continua
pensando, pensando
de, de
outra, outra
maneira, maneira
., .
Mas, ma
,, ,
mais, mai
do, do
que, que
foi, foi
dito, dito
aqui, aqui
,, ,
a, a
performance, perform
do, do
Renato, renato
no, no
domingo, domingo
contra, contra
o, o
Flamengo, flamengo
é, é
o, o
melhor, melhor
argumento, argumento
., .

, 

O, o
único, único
inconveniente, inconvenient
é, é
que, que
a, a
contratação, contratação
do, do
Renato, renato
poderá, poderá
sair, sair
tarde, tard
demais, demai
., .

, 

Matinas, matina
Suzuki, suzuki
Jr., jr.
escreve, escrev
às, às
terças, terça
,, ,
quintas, quinta
e, e
sábados, sábado

, 

