Após, ﻿apó
a, a
reabilitadora, reabilitadora
vitória, vitória
sobre, sobr
o, o
Corinthians, corinthian
,, ,
o, o
Palmeiras, palmeira
volta, volta
a, a
jogar, jogar
contra, contra
o, o
América, américa
,, ,
hoje, hoje
,, ,
às, às
20h30, 20h30
,, ,
no, no
Parque, parqu
Antarctica, antarctica
,, ,
ainda, ainda
sob, sob
o, o
comando, comando
do, do
técnico, técnico
interino, interino
,, ,
Márcio, márcio
Araújo, araújo
., .

, 

`, `
`, `
Os, os
dirigentes, dirigent
me, me
disseram, disseram
que, que
eu, eu
só, só
ficaria, ficaria
até, até
o, o
jogo, jogo
contra, contra
o, o
Corinthians, corinthian
., .
Como, como
ninguém, ninguém
foi, foi
contratado, contratado
,, ,
vou, vou
dar, dar
sequência, sequência
ao, ao
trabalho, trabalho
'', ''
,, ,
disse, diss
Márcio, márcio
Araújo, araújo
., .

, 

Ele, ele
afirmou, afirm
,, ,
porém, porém
,, ,
que, que
`, `
`, `
não, não
tem, tem
esperanças, esperança
'', ''
de, de
ser, ser
efetivado, efetivado
no, no
cargo, cargo
,, ,
mesmo, mesmo
se, se
o, o
Palmeiras, palmeira
conseguir, conseguir
outra, outra
vitória, vitória
hoje, hoje
., .

, 

O, o
diretor, diretor
de, de
esportes, esport
da, da
Parmalat, parmalat
(, (
patrocinadora, patrocinadora
do, do
Palmeiras, palmeira
), )
,, ,
José, josé
Carlos, carlo
Brunoro, brunoro
,, ,
confirmou, confirm
as, as
declarações, declaraçõ
de, de
Márcio, márcio
Araújo, araújo
., .

, 

`, `
`, `
O, o
Márcio, márcio
é, é
um, um
treinador, treinador
jovem, jovem
,, ,
que, que
ainda, ainda
tem, tem
que, que
cumprir, cumprir
etapas, etapa
antes, ant
de, de
ser, ser
o, o
principal, princip
treinador, treinador
do, do
Palmeiras, palmeira
., .
Ele, ele
está, está
contribuindo, contribuindo
,, ,
mas, ma
não, não
vai, vai
ser, ser
efetivado, efetivado
'', ''
,, ,
disse, diss
Brunoro, brunoro
., .

, 

Segundo, segundo
o, o
dirigente, dirigent
da, da
Parmalat, parmalat
,, ,
a, a
empresa, empresa
e, e
o, o
Palmeiras, palmeira
têm, têm
encontrado, encontrado
muitas, muita
dificuldades, dificuldad
para, para
achar, achar
um, um
substituto, substituto
para, para
o, o
técnico, técnico
Valdir, valdir
Espinosa, espinosa
,, ,
demitido, demitido
na, na
semana, semana
passada, passada
., .

, 

`, `
`, `
É, é
uma, uma
questão, questão
delicada, delicada
., .
Só, só
temos, temo
uma, uma
bala, bala
no, no
revólver, revólver
e, e
não, não
podemos, podemo
errar, errar
o, o
tiro, tiro
'', ''
,, ,
disse, diss
Brunoro, brunoro
,, ,
que, que
espera, espera
anunciar, anunciar
o, o
nome, nome
do, do
novo, novo
treinador, treinador
nesta, nesta
semana, semana
., .

, 

O, o
favorito, favorito
para, para
o, o
cargo, cargo
ainda, ainda
é, é
o, o
treinador, treinador
do, do
Cruzeiro, cruzeiro
,, ,
Carlos, carlo
Alberto, alberto
Silva, silva
., .

, 

Ele, ele
disse, diss
ontem, ontem
,, ,
em, em
Belo, belo
Horizonte, horizont
(, (
MG, mg
), )
,, ,
que, que
foi, foi
convidado, convidado
para, para
dirigir, dirigir
o, o
Palmeiras, palmeira
pelo, pelo
diretor, diretor
de, de
futebol, futebol
,, ,
Gilberto, gilberto
Cipulo, cipulo
., .

, 

Silva, silva
pediu, pediu
cerca, cerca
de, de
US$, us$
50, 50
mil, mil
mensais, mensai
ao, ao
Palmeiras, palmeira
e, e
disse, diss
que, que
deixa, deixa
o, o
Cruzeiro, cruzeiro
assim, assim
que, que
o, o
clube, clube
paulista, paulista
aceitar, aceitar
a, a
proposta, proposta
., .

, 

`, `
`, `
O, o
Carlos, carlo
Alberto, alberto
tem, tem
contrato, contrato
até, até
dia, dia
30, 30
de, de
junho, junho
,, ,
mas, ma
se, se
ele, ele
quiser, quiser
sair, sair
,, ,
não, não
vamos, vamo
colocar, colocar
nenhum, nenhum
empecilho, empecilho
'', ''
,, ,
afirmou, afirm
o, o
diretor, diretor
de, de
futebol, futebol
do, do
Cruzeiro, cruzeiro
,, ,
José, josé
Augusto, augusto
Trani, trani
., .

, 

Nesse, ness
clima, clima
de, de
indefinição, indefinição
,, ,
o, o
interino, interino
Márcio, márcio
Araújo, araújo
preparou, prepar
o, o
Palmeiras, palmeira
para, para
o, o
jogo, jogo
desta, desta
noite, noit
,, ,
contra, contra
o, o
América, américa
., .

, 

Araújo, araújo
pediu, pediu
para, para
os, os
jogadores, jogador
`, `
`, `
esquecerem, esquecerem
a, a
vitória, vitória
sobre, sobr
o, o
Corinthians, corinthian
e, e
se, se
concentrarem, concentrarem
no, no
América, américa
'', ''
., .

, 

As, as
duas, dua
novidades, novidad
do, do
time, time
,, ,
em, em
relação, relação
ao, ao
último, último
jogo, jogo
,, ,
são, são
as, as
voltas, volta
do, do
zagueiro, zagueiro
Cléber, cléber
e, e
do, do
lateral-esquerdo, lateral-esquerdo
Roberto, roberto
Carlos, carlo
., .

, 

NA, na
TV, tv

, 

Globosat, globosat
/, /
Sportv, sportv
,, ,
ao, ao
vivo, vivo
,, ,
às, às
20h30, 20h30

, 

*, *
Colaborou, colabor
a, a
Agência, agência
Folha, folha
,, ,
em, em
Belo, belo
Horizonte, horizont

, 

