Começa, ﻿começa
hoje, hoje
em, em
Paris, pari
a, a
93ª, 93ª
edição, edição
do, do
Aberto, aberto
de, de
Tênis, têni
da, da
França, frança
,, ,
disputado, disputado
no, no
arborizado, arborizado
parque, parqu
de, de
Roland, roland
Garros, garro
,, ,
que, que
receberá, receberá
360, 360
mil, mil
pessoas, pessoa
nos, no
próximos, próximo
15, 15
dias, dia
., .

, 

Roland, roland
Garros, garro
é, é
um, um
dos, do
quatro, quatro
maiores, maior
torneios, torneio
de, de
tênis, têni
do, do
mundo, mundo
,, ,
oferecendo, oferecendo
mais, mai
de, de
US$, us$
10, 10
milhões, milhõ
de, de
prêmios, prêmio
aos, ao
atletas, atleta
., .

, 

Faz, faz
parte, part
do, do
chamado, chamado
Grand, grand
Slam, slam
,, ,
ao, ao
lado, lado
do, do
Aberto, aberto
da, da
Austrália, austrália
,, ,
de, de
Wimbledon, wimbledon
(, (
na, na
Inglaterra, inglaterra
), )
e, e
do, do
US, us
Open, open
(, (
nos, no
EUA, eua
), )
., .
Mas, ma
é, é
o, o
mais, mai
imprevisível, imprevisível
deles, dele
., .

, 

O, o
motivo, motivo
é, é
a, a
superfície, superfíci
em, em
que, que
são, são
disputados, disputado
os, os
jogos, jogo
., .
As, as
quadras, quadra
de, de
Roland, roland
Garros, garro
são, são
de, de
saibro, saibro
(, (
também, também
chamado, chamado
de, de
`, `
`, `
terra, terra
batida, batida
'', ''
ou, ou
`, `
`, `
pó-de-tijolo, pó-de-tijolo
'', ''
), )
., .

, 

Esse, ess
tipo, tipo
de, de
piso, piso
deixa, deixa
a, a
bolinha, bolinha
quicar, quicar
com, com
pouca, pouca
velocidade, velocidad
e, e
prejudica, prejudica
os, os
tenistas, tenista
acostumados, acostumado
a, a
quadras, quadra
`, `
`, `
duras, dura
'', ''
,, ,
de, de
piso, piso
de, de
cimento, cimento
ou, ou
borracha, borracha
., .

, 

Isso, isso
prejudica, prejudica
principalmente, principalment
os, os
norte-americanos, norte-americano
,, ,
que, que
crescem, crescem
jogando, jogando
em, em
quadras, quadra
duras, dura
., .

, 

Assim, assim
,, ,
o, o
Aberto, aberto
da, da
França, frança
costuma, costuma
favorecer, favorec
os, os
tenistas, tenista
europeus, europeu
(, (
como, como
o, o
espanhol, espanhol
Sergi, sergi
Bruguera, bruguera
,, ,
atual, atual
bicampeão, bicampeão
), )
,, ,
porque, porqu
esse, ess
continente, continent
reúne, reún
a, a
maioria, maioria
das, da
quadras, quadra
de, de
saibro, saibro
do, do
planeta, planeta
., .

, 

Na, na
chave, chave
feminina, feminina
,, ,
as, as
três, trê
primeiras, primeira
cabeças-de-chave, cabeças-de-chav
são, são
tenistas, tenista
européias, européia
e, e
todas, toda
podem, podem
ser, ser
apontadas, apontada
como, como
favoritas, favorita
., .

, 

Arantxa, arantxa
Sánchez, sánchez
(, (
Espanha, espanha
), )
e, e
Steffi, steffi
Graf, graf
(, (
Alemanha, alemanha
), )
acumulam, acumulam
quatro, quatro
títulos, título
em, em
Paris, pari
e, e
o, o
triunfo, triunfo
de, de
uma, uma
delas, dela
pode, pode
mudar, mudar
o, o
ranking, rank
mundial, mundial
(, (
Arantxa, arantxa
lidera, lidera
e, e
Steffi, steffi
é, é
a, a
segunda, segunda
), )
., .

, 

Foi, foi
no, no
Aberto, aberto
da, da
França, frança
do, do
ano, ano
passado, passado
que, que
Steffi, steffi
começou, começ
a, a
sentir, sentir
contusões, contusõ
que, que
a, a
tiraram, tiraram
do, do
topo, topo
do, do
ranking, rank
,, ,
que, que
ocupava, ocupava
tranquilamente, tranquilament
desde, desd
o, o
afastamento, afastamento
de, de
Monica, monica
Seles, sele
., .
`, `
`, `
Vou, vou
ressuscitar, ressuscitar
em, em
Paris, pari
'', ''
,, ,
afirmou, afirm
a, a
alemã, alemã
., .

, 

No, no
entanto, entanto
,, ,
a, a
cabeça-de-chave, cabeça-de-chav
nº, nº
3, 3
é, é
a, a
francesa, francesa
Mary, mari
Pierce, pierc
,, ,
que, que
no, no
ano, ano
passado, passado
perdeu, perdeu
a, a
final, final
para, para
Arantxa, arantxa
., .
Se, se
depender, depend
da, da
torcida, torcida
enlouquecida, enlouquecida
do, do
público, público
,, ,
Pierce, pierc
vai, vai
chegar, chegar
de, de
novo, novo
à, à
decisão, decisão
., .

, 

No, no
masculino, masculino
,, ,
os, os
norte-americanos, norte-americano
Andre, andr
Agassi, agassi
e, e
Pete, pete
Sampras, sampra
são, são
os, os
dois, doi
primeiros, primeiro
cabeças-de-chave, cabeças-de-chav
,, ,
mas, ma
seu, seu
favoritismo, favoritismo
acaba, acaba
no, no
papel, papel
., .

, 

Pelos, pelo
resultados, resultado
dos, do
últimos, último
meses, mese
,, ,
o, o
austríaco, austríaco
Thomas, thoma
Muster, muster
ganha, ganha
a, a
condição, condição
de, de
real, real
favorito, favorito
., .
Este, est
ano, ano
ele, ele
já, já
conquistou, conquist
