A, ﻿a
maior, maior
preocupação, preocupação
de, de
diretores, diretor
e, e
comissão, comissão
técnica, técnica
do, do
Guarani, guarani
para, para
a, a
partida, partida
de, de
hoje, hoje
contra, contra
o, o
São, são
Paulo, paulo
é, é
um, um
suposto, suposto
esquema, esquema
de, de
arbitragem, arbitragem
para, para
favorecer, favorec
o, o
adversário, adversário
., .
Segundo, segundo
o, o
diretor, diretor
do, do
departamento, departamento
amador, amador
do, do
Guarani, guarani
,, ,
Henrique, henriqu
Smannio, smannio
,, ,
todos, todo
os, os
fatores, fator
indicam, indicam
o, o
favoritismo, favoritismo
do, do
São, são
Paulo, paulo
,, ,
inclusive, inclus
a, a
arbitragem, arbitragem
., .
", "
Em, em
todos, todo
os, os
jogos, jogo
do, do
São, são
Paulo, paulo
sempre, sempr
houve, houv
um, um
jogador, jogador
adversário, adversário
expulso, expulso
e, e
eu, eu
acho, acho
que, que
para, para
os, os
organizadores, organizador
é, é
mais, mai
interessante, interessant
que, que
o, o
São, são
Paulo, paulo
seja, seja
o, o
campeão, campeão
., .
Outro, outro
fator, fator
é, é
que, que
o, o
Guarani, guarani
já, já
jogou, jogou
em, em
quatro, quatro
ou, ou
cinco, cinco
estádios, estádio
diferentes, diferent
,, ,
sempre, sempr
viajando, viajando
de, de
um, um
para, para
outro, outro
,, ,
enquanto, enquanto
o, o
São, são
Paulo, paulo
só, só
jogou, jogou
no, no
Pacaembu, pacaembu
", "
,, ,
disse, diss
Smannio, smannio
., .

, 

O, o
treinador, treinador
Pupo, pupo
Gimenez, gimenez
concorda, concorda
com, com
o, o
diretor, diretor
,, ,
principalmente, principalment
depois, depoi
das, da
semifinais, semifinai
., .
", "
Eu, eu
acho, acho
muito, muito
estranho, estranho
que, que
num, num
jogo, jogo
semifinal, semifin
como, como
o, o
nosso, nosso
contra, contra
o, o
Londrina, londrina
,, ,
o, o
juiz, juiz
tenha, tenha
expulsado, expulsado
dois, doi
de, de
cada, cada
lado, lado
,, ,
ou, ou
seja, seja
,, ,
quem, quem
chegasse, chegass
à, à
final, final
já, já
entraria, entraria
desfalcado, desfalcado
., .
Além, além
disso, disso
,, ,
a, a
expulsão, expulsão
do, do
goleiro, goleiro
do, do
Inter, inter
(, (
RS, rs
), )
contra, contra
o, o
São, são
Paulo, paulo
foi, foi
esquisita, esquisita
", "
,, ,
disse, diss
., .

, 

Para, para
o, o
jogo, jogo
de, de
hoje, hoje
,, ,
o, o
técnico, técnico
do, do
Guarani, guarani
,, ,
Pupo, pupo
Gimenez, gimenez
,, ,
não, não
poderá, poderá
contar, contar
com, com
a, a
dupla, dupla
de, de
zagueiros, zagueiro
Ronaldo, ronaldo
e, e
Amaral, amar
,, ,
expulsos, expulso
na, na
vitória, vitória
sobre, sobr
o, o
Londrina, londrina
pela, pela
semifinais, semifinai
., .
Em, em
seu, seu
lugar, lugar
vão, vão
entrar, entrar
Carlinhos, carlinho
e, e
Helton, helton
(, (
zagueiro, zagueiro
da, da
equipe, equip
juvenil, juvenil
), )
., .

, 

Segundo, segundo
Gimenez, gimenez
,, ,
os, os
ausentes, ausent
vão, vão
fazer, fazer
muita, muita
falta, falta
,, ,
embora, embora
taticamente, taticament
o, o
time, time
não, não
vá, vá
sofrer, sofrer
alterações, alteraçõ
., .
", "
O, o
Helton, helton
vai, vai
jogar, jogar
igual, igual
ao, ao
Ronaldo, ronaldo
,, ,
como, como
último, último
homem, homem
,, ,
enquanto, enquanto
o, o
Carlinhos, carlinho
vai, vai
sair, sair
para, para
dar, dar
o, o
primeiro, primeiro
combate, combat
,, ,
assim, assim
como, como
o, o
Amaral, amar
., .
O, o
que, que
muda, muda
é, é
a, a
experiência, experiência
., .
O, o
Ronaldo, ronaldo
,, ,
por, por
exemplo, exemplo
,, ,
já, já
treina, treina
entre, entr
os, os
profissionais, profissionai
., .
O, o
Helton, helton
tem, tem
apenas, apena
17, 17
anos, ano
e, e
subiu, subiu
para, para
os, os
juniores, junior
este, est
ano, ano
", "
,, ,
disse, diss
o, o
treinador, treinador
., .

, 

