Embore, ﻿embor
ocupe, ocup
a, a
menor, menor
área, área
dos, do
11, 11
mil, mil
hectares, hectar
do, do
Walt, walt
Disney, disney
World, world
,, ,
o, o
Magic, magic
Kingdom, kingdom
dificilmente, dificilment
desaponta, desaponta
seus, seu
visitantes, visitant
–, –
o, o
mesmo, mesmo
não, não
se, se
pode, pode
dizer, dizer
do, do
Epcot, epcot
Center, center
., .
Estrategicamente, estrategicament
localizado, localizado
na, na
entrada, entrada
do, do
parque, parqu
,, ,
o, o
monumental, monument
castelo, castelo
da, da
Cinderela, cinderela
,, ,
de, de
55, 55
metros, metro
,, ,
é, é
o, o
primeiro, primeiro
sinal, sinal
de, de
que, que
no, no
Reino, reino
Mágico, mágico
todos, todo
os, os
sonhos, sonho
infantis, infanti
podem, podem
se, se
tornar, tornar
realidade, realidad
–, –
pelo, pelo
menos, meno
por, por
um, um
ou, ou
dois, doi
dias, dia
., .

, 

É, é
esse, ess
o, o
tempo, tempo
necessário, necessário
para, para
brincar, brincar
em, em
suas, sua
mais, mai
de, de
40, 40
atrações, atraçõ
., .
As, as
melhores, melhor
são, são
a, a
Space, space
Mountain, mountain
,, ,
Big, big
Thunder, thunder
Mountain, mountain
Railroad, railroad
,, ,
Splash, splash
Mountain, mountain
,, ,
Piratas, pirata
of, of
The, the
Caribbean, caribbean
,, ,
Peter, peter
's, 's
Pan, pan
Flight, flight
e, e
It, it
's, 's
a, a
Small, small
World, world
–, –
realmente, realment
imperdíveis, imperdívei
., .
Mas, ma
o, o
feitiço, feitiço
fica, fica
mesmo, mesmo
por, por
conta, conta
da, da
The, the
Main, main
Street, street
Electrical, electr
Parade, parad
,, ,
um, um
desfile, desfil
de, de
todos, todo
os, os
personagens, personagen
Disney, disney
em, em
carros, carro
alegóricos, alegórico
enfeitados, enfeitado
com, com
um, um
milhão, milhão
de, de
luzes, luze
pisca-pisca, pisca-pisca
., .

, 

Há, há
dez, dez
anos, ano
,, ,
quando, quando
foi, foi
inaugurado, inaugurado
,, ,
Epcot, epcot
Center, center
também, também
foi, foi
sucesso, sucesso
absoluto, absoluto
., .
O, o
Protótipo, protótipo
Experimental, experiment
da, da
Comunidade, comunidad
do, do
Amanhã, amanhã
antecipava, antecipava
idéias, idéia
e, e
avanços, avanço
tecnológicos, tecnológico
., .
Mas, ma
a, a
evolução, evolução
foi, foi
mais, mai
rápida, rápida
que, que
os, os
computadores, computador
da, da
equipe, equip
de, de
criação, criação
de, de
Walt, walt
Disney, disney
., .
Hoje, hoje
,, ,
algumas, alguma
atrações, atraçõ
estão, estão
ultrapassadas, ultrapassada
., .
Isso, isso
não, não
significa, significa
,, ,
entretanto, entretanto
,, ,
que, que
não, não
vale, vale
a, a
pena, pena
visitá-lo, visitá-lo
., .
Apenas, apena
racionalize, racion
o, o
tempo, tempo
., .

, 

Na, na
entrada, entrada
,, ,
depois, depoi
de, de
passar, passar
pela, pela
imponente, imponent
geosfera, geosfera
prateada, prateada
–, –
com, com
500, 500
toneladas, tonelada
,, ,
50, 50
metros, metro
de, de
diâmetro, diâmetro
,, ,
55, 55
metros, metro
de, de
altura, altura
e, e
62, 62
mil, mil
m3, m3
de, de
volume, volum
–, –
,, ,
você, você
será, será
conduzido, conduzido
à, à
Spaceship, spaceship
Earth, earth
(, (
Espaçonave, espaçonav
Terra, terra
), )
,, ,
um, um
túnel, túnel
do, do
tempo, tempo
que, que
se, se
inicia, inicia
na, na
era, era
Cro-Magnon, cro-magnon
,, ,
mais, mai
ou, ou
menos, meno
há, há
30, 30
ou, ou
40, 40
mil, mil
anos, ano
,, ,
e, e
termina, termina
nos, no
tempos, tempo
modernos, moderno
., .
Anote, anot
., .
É, é
a, a
mais, mai
interessante, interessant
delas, dela
., .

, 

Se, se
você, você
não, não
domina, domina
bem, bem
o, o
inglês, inglê
,, ,
há, há
pouco, pouco
a, a
se, se
aprender, aprend
no, no
Future, futur
World, world
., .
Experimente, experiment
o, o
The, the
Living, live
Seas, sea
(, (
Os, os
Mares, mare
Vivos, vivo
), )
,, ,
uma, uma
viagem, viagem
pelo, pelo
mar, mar
do, do
Caribe, carib
em, em
companhia, companhia
de, de
arraias, arraia
,, ,
tubarões, tubarõ
e, e
golfinhos, golfinho
,, ,
e, e
o, o
Wonders, wonder
of, of
Life, life
(, (
Maravilhas, maravilha
da, da
Vida, vida
), )
,, ,
onde, ond
você, você
é, é
miniaturizado, miniaturizado
e, e
passeia, passeia
pela, pela
corpo, corpo
humano, humano
através, atravé
dos, do
efeitos, efeito
especiais, especiai
criados, criado
por, por
George, georg
Lucas, luca
,, ,
diretor, diretor
de, de
", "
Guerra, guerra
nas, na
Estrelas, estrela
", "
., .

, 

O, o
melhor, melhor
está, está
no, no
World, world
Showcase, showcas
(, (
Vitrine, vitrin
do, do
Mundo, mundo
), )
,, ,
uma, uma
viagem, viagem
pelas, pela
imagens, imagen
mais, mai
marcantes, marcant
de, de
11, 11
países, país
–, –
México, méxico
,, ,
Noruega, noruega
,, ,
China, china
,, ,
Alemanha, alemanha
,, ,
Itália, itália
,, ,
EUA, eua
,, ,
Japão, japão
,, ,
Marrocos, marroco
,, ,
França, frança
,, ,
Reino, reino
Unido, unido
e, e
Canadá, canadá
., .
É, é
um, um
bom, bom
lugar, lugar
para, para
comer, comer
e, e
fazer, fazer
compras, compra
., .
Um, um
conselho, conselho
:, :
mesmo, mesmo
se, se
você, você
estiver, estiv
cansado, cansado
,, ,
não, não
vá, vá
embora, embora
sem, sem
ver, ver
o, o
Illuminattions, illuminatt
,, ,
um, um
espetacular, espetacular
show, show
em, em
que, que
raios, raio
laser, laser
,, ,
fogos, fogo
de, de
artifício, artifício
,, ,
luzes, luze
e, e
chafarizes, chafar
dançam, dançam
ao, ao
som, som
de, de
uma, uma
sinfônica, sinfônica
., .

, 

(, (
Patrícia, patrícia
Trudes, trude
da, da
Veiga, veiga
), )

, 

DICA, dica
-, -
Em, em
Magic, magic
Kingdom, kingdom
,, ,
o, o
City, citi
Hall, hall
informa, informa
os, os
horários, horário
dos, do
shows, show
dos, do
personagens, personagen
,, ,
na, na
Fantasyland, fantasyland
,, ,
e, e
da, da
Electrical, electr
Parade, parad
,, ,
na, na
Main, main
Street, street
(, (
o, o
melhor, melhor
local, local
para, para
assisti-la, assisti-la
é, é
da, da
plataforma, plataforma
da, da
WDW, wdw
Railroad, railroad
), )
., .
Em, em
Epcot, epcot
Center, center
,, ,
os, os
horários, horário
dos, do
shows, show
dos, do
personagens, personagen
costuma, costuma
estar, estar
fixado, fixado
na, na
entrada, entrada
do, do
World, world
Showcase, showcas
., .
Balões, balõ
infláveis, inflávei
também, também
sinalizam, sinalizam
a, a
presença, presença
de, de
Mickey, mickey
,, ,
Minnie, minni
e, e
sua, sua
turma, turma
pelo, pelo
parque, parqu
., .
Basta, basta
segui-lo, segui-lo
., .
O, o
Illuminations, illumin
acontece, acontec
diariamente, diariament
,, ,
às, às
21h, 21h
., .

, 

