O, ﻿o
jogo, jogo
desta, desta
noite, noit
/, /
madrugada, madrugada
que, que
decide, decid
o, o
Aberto, aberto
da, da
Austrália, austrália
pode, pode
ser, ser
monótono, monótono
e, e
aborrecido, aborrecido
., .
Basta, basta
Pete, pete
Sampras, sampra
ratificar, ratificar
sua, sua
condição, condição
de, de
melhor, melhor
tenista, tenista
do, do
mundo, mundo
e, e
destruir, destruir
os, os
sonhos, sonho
de, de
seu, seu
compatriota, compatriota
Todd, todd
Martin, martin
em, em
três, trê
tranquilos, tranquilo
sets, set
., .
Mas, ma
há, há
chance, chanc
de, de
que, que
a, a
lógica, lógica
abandone, abandon
o, o
Flinders, flinder
Park, park
., .
Martin, martin
dá, dá
sinais, sinai
de, de
que, que
pode, pode
virar, virar
herói, herói
em, em
Melbourne, melbourn
., .

, 

Sinais, sinai
tímidos, tímido
,, ,
é, é
verdade, verdad
,, ,
mas, ma
suficientes, suficient
para, para
a, a
especulação, especulação
., .
Nos, no
últimos, último
dois, doi
jogos, jogo
,, ,
Martin, martin
venceu, venceu
cinco, cinco
tie-breaks, tie-break
,, ,
dois, doi
contra, contra
MaliVai, malivai
Washington, washington
e, e
três, trê
contra, contra
Stefan, stefan
Edberg, edberg
., .
No, no
piso, piso
rápido, rápido
utilizado, utilizado
no, no
torneio, torneio
,, ,
é, é
prova, prova
incontestável, incontestável
de, de
que, que
está, está
sacando, sacando
muito, muito
bem, bem
., .

, 

Sampras, sampra
chegou, chegou
perto, perto
da, da
perfeição, perfeição
ao, ao
arrasar, arrasar
Jim, jim
Courier, courier
nas, na
semifinais, semifinai
em, em
três, trê
sets, set
,, ,
6/3, 6/3
,, ,
6/4, 6/4
e, e
6/4, 6/4
., .
Courier, courier
tentava, tentava
o, o
terceiro, terceiro
título, título
na, na
Austrália, austrália
e, e
jogou, jogou
bem, bem
,, ,
mas, ma
foi, foi
totalmente, totalment
dominado, dominado
., .
Para, para
superar, superar
Sampras, sampra
,, ,
Martin, martin
vai, vai
ter, ter
que, que
mostrar, mostrar
ainda, ainda
mais, mai
do, do
que, que
exibiu, exibiu
ao, ao
vencer, vencer
Edberg, edberg
por, por
3/6, 3/6
,, ,
7/6, 7/6
(, (
9/7, 9/7
), )
,, ,
7/6, 7/6
(, (
9/7, 9/7
), )
e, e
7/6, 7/6
(, (
7/4, 7/4
), )
., .

, 

Aos, ao
23, 23
anos, ano
,, ,
Martin, martin
começa, começa
bem, bem
a, a
temporada, temporada
depois, depoi
de, de
um, um
ano, ano
espetacular, espetacular
em, em
93, 93
,, ,
quando, quando
subiu, subiu
mais, mai
de, de
60, 60
posições, posiçõ
no, no
ranking, rank
., .
Atualmente, atualment
,, ,
é, é
o, o
12º, 12º
colocado, colocado
,, ,
com, com
chances, chanc
de, de
entrar, entrar
no, no
grupo, grupo
dos, do
`, `
`, `
top, top
ten, ten
'', ''
a, a
partir, partir
de, de
segunda-feira, segunda-feira
,, ,
graças, graça
à, à
montanha, montanha
de, de
pontos, ponto
que, que
assegurou, assegur
em, em
Melbourne, melbourn
., .

, 

Martin, martin
tem, tem
um, um
perfil, perfil
singular, singular
., .
Seu, seu
currículo, currículo
não, não
impressiona, impressiona
à, à
primeira, primeira
vista, vista
., .
Ganhou, ganhou
apenas, apena
um, um
título, título
,, ,
no, no
ano, ano
passado, passado
em, em
Coral, coral
Springs, spring
,, ,
e, e
menos, meno
de, de
US$, us$
1, 1
milhão, milhão
em, em
prêmios, prêmio
., .
Quem, quem
se, se
der, der
ao, ao
trabalho, trabalho
de, de
checar, checar
o, o
histórico, histórico
de, de
seus, seu
confrontos, confronto
,, ,
no, no
entanto, entanto
,, ,
verá, verá
que, que
Martin, martin
acumula, acumula
vitórias, vitória
sobre, sobr
Andre, andr
Agassi, agassi
,, ,
Michael, michael
Chang, chang
,, ,
Boris, bori
Becker, becker
,, ,
Goran, goran
Ivanisevic, ivanisev
e, e
Wayne, wayn
Ferreira, ferreira
., .

, 

Com, com
1,98, 1,98
m, m
,, ,
Martin, martin
passou, passou
toda, toda
a, a
sua, sua
carreira, carreira
sendo, sendo
treinado, treinado
para, para
o, o
jogo, jogo
junto, junto
à, à
rede, rede
,, ,
na, na
base, base
do, do
saque, saqu
e, e
voleio, voleio
., .
Apenas, apena
nos, no
dois, doi
últimos, último
anos, ano
o, o
jogador, jogador
decidiu, decidiu
jogar, jogar
como, como
gosta, gosta
,, ,
com, com
sólidos, sólido
golpes, golp
da, da
linha, linha
de, de
base, base
., .
Esse, ess
estilo, estilo
será, será
um, um
obstáculo, obstáculo
hoje, hoje
., .
Para, para
ter, ter
chances, chanc
de, de
vencer, vencer
em, em
Melbourne, melbourn
,, ,
terá, terá
que, que
subir, subir
à, à
rede, rede
., .
Se, se
Martin, martin
optar, optar
por, por
trocar, trocar
bolas, bola
do, do
fundo, fundo
,, ,
Sampras, sampra
parte, part
para, para
o, o
massacre, massacr
., .

, 

NA, na
TV, tv

, 

Bandeirantes, bandeirant
,, ,
às, às
23h50, 23h50

, 

