Os, ﻿o
24, 24
clubes, clube
da, da
primeira, primeira
divisão, divisão
do, do
Campeonato, campeonato
Brasileiro, brasileiro
vão, vão
passar, passar
a, a
votar, votar
para, para
presidente, president
da, da
Confederação, confederação
Brasileira, brasileira
de, de
Futebol, futebol
(, (
CBF, cbf
), )
., .
Até, até
agora, agora
só, só
as, as
27, 27
federações, federaçõ
estaduais, estaduai
participavam, participavam
da, da
escolha, escolha
., .
É, é
a, a
mais, mai
importante, important
mudança, mudança
estatutária, estatutária
da, da
história, história
da, da
entidade, entidad
., .

, 

A, a
decisão, decisão
–, –
unânime, unânim
–, –
foi, foi
tomada, tomada
ontem, ontem
por, por
26, 26
federações, federaçõ
na, na
assembléia, assembléia
geral, geral
da, da
CBF, cbf
., .
A, a
entidade, entidad
continuará, continuará
recusando, recusando
a, a
filiação, filiação
direta, direta
de, de
clubes, clube
–, –
só, só
aceita, aceita
a, a
de, de
federações, federaçõ
., .
Se, se
o, o
Superior, superior
Tribunal, tribun
de, de
Justiça, justiça
Desportiva, desportiva
mantiver, mantiv
o, o
veto, veto
,, ,
o, o
que, que
deve, deve
acontecer, acontec
,, ,
estará, estará
liquidado, liquidado
o, o
projeto, projeto
de, de
Flamengo, flamengo
,, ,
Fluminense, fluminens
e, e
Botafogo, botafogo
de, de
constituir, constituir
uma, uma
liga, liga
carioca, carioca
independente, independent
da, da
Federação, federação
de, de
Futebol, futebol
do, do
Rio, rio
., .

, 

A, a
eleição, eleição
na, na
CBF, cbf
será, será
no, no
segundo, segundo
semestre, semestr
do, do
ano, ano
que, que
vem, vem
., .
O, o
mandato, mandato
do, do
empresário, empresário
Ricardo, ricardo
Teixeira, teixeira
na, na
presidência, presidência
termina, termina
em, em
janeiro, janeiro
de, de
1996, 1996
., .
Perguntado, perguntado
pela, pela
Folha, folha
sobre, sobr
uma, uma
possível, possível
segunda, segunda
reeleição, reeleição
,, ,
ele, ele
respondeu, respondeu
:, :
", "
Agora, agora
eu, eu
sou, sou
candidato, candidato
apenas, apena
a, a
ganhar, ganhar
a, a
Copa, copa
do, do
Mundo, mundo
com, com
a, a
seleção, seleção
., .
", "

, 

A, a
mudança, mudança
no, no
estatuto, estatuto
não, não
filia, filia
os, os
clubes, clube
à, à
CBF, cbf
,, ,
apenas, apena
permite, permit
que, que
participem, participem
da, da
eleição, eleição
., .
Na, na
próxima, próxima
,, ,
votarão, votarão
os, os
integrantes, integrant
do, do
torneio, torneio
de, de
1995, 1995
., .
Se, se
forem, forem
mantidos, mantido
os, os
clubes, clube
,, ,
o, o
estado, estado
com, com
maior, maior
número, número
de, de
votos, voto
será, será
São, são
Paulo, paulo
,, ,
seguido, seguido
do, do
Rio, rio
., .
Antes, ant
,, ,
o, o
voto, voto
de, de
São, são
Paulo, paulo
tinha, tinha
o, o
mesmo, mesmo
peso, peso
,, ,
por, por
exemplo, exemplo
,, ,
que, que
o, o
do, do
Acre, acr
., .

, 

O, o
anúncio, anúncio
das, da
mudanças, mudança
foi, foi
feito, feito
por, por
Teixeira, teixeira
e, e
pelo, pelo
vice-presidente, vice-president
de, de
futebol, futebol
do, do
Vasco, vasco
,, ,
Eurico, eurico
Miranda, miranda
., .
O, o
presidente, president
da, da
Federação, federação
do, do
Rio, rio
,, ,
Eduardo, eduardo
Viana, viana
,, ,
apresentou-se, apresentou-s
como, como
vencedor, vencedor
,, ,
por, por
praticamente, praticament
enterrar, enterrar
o, o
projeto, projeto
da, da
liga, liga
., .
Juntas, junta
,, ,
as, as
federações, federaçõ
continuam, continuam
com, com
poder, poder
para, para
eleger, eleg
o, o
presidente, president
da, da
CBF, cbf
,, ,
por, por
ter, ter
maioria, maioria
de, de
votos, voto
., .

, 

A, a
única, única
federação, federação
ausente, ausent
da, da
reunião, reunião
da, da
CBF, cbf
foi, foi
a, a
do, do
Ceará, ceará
., .
Dos, do
26, 26
outros, outro
dirigentes, dirigent
,, ,
cinco, cinco
são, são
parlamentares, parlamentar
e, e
,, ,
pelo, pelo
menos, meno
dois, doi
,, ,
ex-deputados, ex-deputado
., .
O, o
presidente, president
da, da
Federação, federação
Paranaense, paranaens
,, ,
o, o
ex-deputado, ex-deputado
federal, feder
cassado, cassado
no, no
ano, ano
passado, passado
Onaireves, onairev
Moura, moura
,, ,
enviou, enviou
um, um
representante, representant
., .

, 

A, a
assembléia, assembléia
aprovou, aprov
por, por
unanimidade, unanimidad
as, as
contas, conta
de, de
1993, 1993
,, ,
ano, ano
em, em
que, que
o, o
presidente, president
da, da
CBF, cbf
foi, foi
acusado, acusado
de, de
corrupção, corrupção
pelo, pelo
empresário, empresário
Pelé, pelé
., .
Ainda, ainda
este, est
ano, ano
a, a
mudança, mudança
estatutária, estatutária
será, será
regulamentada, regulamentada
., .
A, a
idade, idad
dos, do
candidatos, candidato
continuará, continuará
como, como
critério, critério
de, de
desempate, desemp
da, da
eleição, eleição
:, :
vence, venc
o, o
mais, mai
velho, velho
., .

, 

Teixeira, teixeira
disse, diss
que, que
já, já
estão, estão
escolhidos, escolhido
os, os
locais, locai
onde, ond
a, a
seleção, seleção
vai, vai
se, se
hospedar, hospedar
e, e
treinar, treinar
em, em
San, san
Francisco, francisco
e, e
Detroit, detroit
na, na
primeira, primeira
fase, fase
do, do
Mundial, mundial
., .
O, o
dirigente, dirigent
disse, diss
que, que
apoia, apoia
o, o
ataque, ataqu
preferido, preferido
do, do
técnico, técnico
Parreira, parreira
:, :
Bebeto, bebeto
e, e
Romário, romário
., .
O, o
presidente, president
da, da
Fifa, fifa
e, e
sogro, sogro
de, de
Teixeira, teixeira
,, ,
João, joão
Havelange, havelang
,, ,
quer, quer
três, trê
atacantes, atacant
:, :
além, além
dos, do
dois, doi
já, já
escalados, escalado
,, ,
o, o
palmeirense, palmeirens
Edmundo, edmundo
., .

, 

