Pelo, ﻿pelo
segundo, segundo
ano, ano
consecutivo, consecutivo
a, a
Corrida, corrida
Internacional, internacion
de, de
São, são
Silvestre, silvestr
teve, teve
um, um
final, final
eletrizante, eletrizant
., .
Desta, desta
vez, vez
,, ,
temperada, temperada
pelo, pelo
equívoco, equívoco
do, do
etíope, etíop
Fita, fita
Bayesa, bayesa
,, ,
que, que
deixou, deixou
de, de
ser, ser
o, o
vencedor, vencedor
por, por
não, não
ter, ter
percebido, percebido
a, a
entrada, entrada
certa, certa
para, para
a, a
linha, linha
de, de
chegada, chegada
., .
Simon, simon
Chemwoyo, chemwoyo
,, ,
do, do
Quênia, quênia
,, ,
também, também
se, se
equivocou, equivoc
mais, mai
percebeu, percebeu
seu, seu
erro, erro
mais, mai
cedo, cedo
e, e
corrigiu, corrigiu
a, a
rota, rota
., .
Venceu, venceu
e, e
se, se
tornou, tornou
,, ,
anteontem, anteontem
,, ,
bicampeão, bicampeão
da, da
corrida, corrida
de, de
rua, rua
mais, mai
famosa, famosa
do, do
mundo, mundo
., .

, 

Bayesa, bayesa
,, ,
após, apó
a, a
chegada, chegada
,, ,
não, não
se, se
conformava, conformava
com, com
erro, erro
., .
Mais, mai
tarde, tard
,, ,
durante, durant
entrevista, entrevista
,, ,
reconheceu, reconheceu
que, que
tinha, tinha
feito, feito
bobagem, bobagem
e, e
isentou, isent
a, a
organização, organização
da, da
prova, prova
de, de
qualquer, qualquer
responsabilidade, responsabilidad
sobre, sobr
o, o
acontecido, acontecido
., .
Victor, victor
Malzoni, malzoni
,, ,
diretor, diretor
da, da
São, são
Silvestre, silvestr
,, ,
declarou, declar
que, que
Bayesa, bayesa
receberá, receberá
o, o
mesmo, mesmo
prêmio, prêmio
que, que
o, o
vencedor, vencedor
Chemwoyo, chemwoyo
,, ,
US$, us$
7.000, 7.000
., .
O, o
etíope, etíop
prometeu, prometeu
:, :
", "
Volto, volto
em, em
94, 94
e, e
vou, vou
vencer, vencer
", "
., .

, 

LEIA, leia
MAIS, mai

, 

Sobre, sobr
a, a
São, são
Silvestre, silvestr
na, na
página, página
3, 3

, 

