Depois, ﻿depoi
do, do
adiamento, adiamento
do, do
jogo, jogo
entre, entr
Santos, santo
e, e
Bragantino, bragantino
no, no
sábado, sábado
,, ,
o, o
Campeonato, campeonato
Paulista, paulista
de, de
1994, 1994
começou, começ
ontem, ontem
,, ,
com, com
o, o
Corinthians, corinthian
virando, virando
o, o
placar, placar
do, do
clássico, clássico
contra, contra
a, a
Portuguesa, portuguesa
e, e
o, o
São, são
Paulo, paulo
goleando, goleando
na, na
estréia, estréia
em, em
Santo, santo
André, andré
., .
Além, além
do, do
Santos, santo
,, ,
o, o
Palmeiras, palmeira
é, é
o, o
outro, outro
grande, grand
que, que
ainda, ainda
não, não
estreou, estreou
., .

, 

O, o
tão, tão
falado, falado
desentrosamento, desentrosamento
do, do
novo, novo
time, time
do, do
Corinthians, corinthian
assustou, assust
os, os
torecdores, torecdor
no, no
Pacaembu, pacaembu
,, ,
principalmente, principalment
quando, quando
um, um
gol, gol
contra, contra
de, de
Ezequiel, ezequiel
abriu, abriu
o, o
marcador, marcador
para, para
a, a
Portuguesa, portuguesa
., .
A, a
angústia, angústia
da, da
torcida, torcida
corintiana, corintiana
só, só
acabou, acab
quando, quando
Marcelinho, marcelinho
,, ,
Tupãzinho, tupãzinho
e, e
Marques, marqu
decretaram, decretaram
a, a
vitória, vitória
., .

, 

Já, já
o, o
São, são
Paulo, paulo
não, não
deu, deu
sustos, susto
., .
Jogando, jogando
com, com
vários, vário
reservas, reserva
,, ,
o, o
time, time
mostrou, mostrou
entrosamento, entrosamento
e, e
padrão, padrão
de, de
jogo, jogo
em, em
Santo, santo
André, andré
,, ,
goleando, goleando
por, por
4, 4
a, a
1, 1
., .
Leonardo, leonardo
marcou, marcou
dois, doi
e, e
comandou, comand
a, a
vitória, vitória
,, ,
completada, completada
por, por
Valdeir, valdeir
e, e
Palhinha, palhinha
., .
Em, em
casa, casa
,, ,
o, o
Guarani, guarani
foi, foi
surpreendido, surpreendido
pelo, pelo
América, américa
,, ,
perdendo, perdendo
por, por
2, 2
a, a
1, 1
., .

, 

Neste, nest
Campeonato, campeonato
Paulista, paulista
de, de
pontos, ponto
corridos, corrido
,, ,
o, o
líder, líder
São, são
Paulo, paulo
joga, joga
na, na
quarta-feira, quarta-feira
contra, contra
o, o
Ituano, ituano
,, ,
o, o
Santos, santo
enfrenta, enfrenta
o, o
Guarani, guarani
e, e
o, o
Palmeiras, palmeira
estréia, estréia
contra, contra
a, a
Ferroviária, ferroviária
., .
O, o
Corinthians, corinthian
joga, joga
contra, contra
o, o
América, américa
na, na
quinta-feira, quinta-feira
., .

, 

LEIA, leia
MAIS, mai

, 

Sobre, sobr
o, o
Paulistão, paulistão
nas, na
páginas, página
2, 2
,, ,
3, 3
e, e
4, 4

, 

