Depois, ﻿depoi
de, de
17, 17
meses, mese
afastado, afastado
das, da
quadras, quadra
,, ,
Michael, michael
Jordan, jordan
voltou, voltou
para, para
tentar, tentar
a, a
conquista, conquista
do, do
tetracampeonato, tetracampeonato
da, da
NBA, nba
., .
Mas, ma
a, a
cruzada, cruzada
acabou, acab
na, na
noite, noit
de, de
anteontem, anteontem
., .

, 

O, o
grandalhão, grandalhão
Shaquille, shaquil
O'Neal, o'neal
(, (
22, 22
anos, ano
,, ,
2,16, 2,16
m, m
e, e
137, 137
kg, kg
), )
fulminou, fulmin
o, o
sonho, sonho
de, de
Jordan, jordan
(, (
32, 32
anos, ano
,, ,
1,98, 1,98
m, m
e, e
96, 96
kg, kg
), )
,, ,
o, o
maior, maior
jogador, jogador
da, da
história, história
do, do
basquete, basquet
mundial, mundial
., .

, 

Shaquille, shaquil
anotou, anot
27, 27
pontos, ponto
,, ,
conseguiu, conseguiu
13, 13
rebotes, rebot
e, e
liderou, lider
o, o
seu, seu
time, time
,, ,
o, o
Orlando, orlando
Magic, magic
,, ,
na, na
vitória, vitória
sobre, sobr
o, o
Chicago, chicago
Bulls, bull
,, ,
de, de
Jordan, jordan
,, ,
por, por
108, 108
a, a
102, 102
., .

, 

Com, com
o, o
resultado, resultado
,, ,
o, o
Orlando, orlando
eliminou, elimin
o, o
Chicago, chicago
das, da
disputas, disputa
da, da
temporada, temporada
94-95, 94-95
da, da
NBA, nba
,, ,
a, a
liga, liga
profissional, profission
de, de
basquete, basquet
dos, do
EUA, eua
., .

, 

`, `
`, `
Mostramos, mostramo
que, que
temos, temo
controle, control
e, e
que, que
somos, somo
lutadores, lutador
quando, quando
jogamos, jogamo
fora, fora
(, (
de, de
casa, casa
), )
'', ''
,, ,
declarou, declar
Shaquille, shaquil
,, ,
destacando, destacando
a, a
atuação, atuação
dele, dele
e, e
dos, do
companheiros, companheiro
do, do
time, time
., .

, 

O, o
desempenho, desempenho
de, de
Shaquille, shaquil
,, ,
Nick, nick
Anderson, anderson
,, ,
Anfernee, anferne
Hardaway, hardaway
e, e
Dennis, denni
Scott, scott
foi, foi
avassalador, avassalador
no, no
final, final
da, da
partida, partida
,, ,
provocando, provocando
o, o
silêncio, silêncio
dos, do
24, 24
mil, mil
torcedores, torcedor
que, que
lotaram, lotaram
o, o
United, unit
Center, center
,, ,
a, a
nova, nova
casa, casa
do, do
Chicago, chicago
., .

, 

`, `
`, `
Minha, minha
intenção, intenção
foi, foi
a, a
de, de
voltar, voltar
para, para
ganhar, ganhar
tudo, tudo
'', ''
,, ,
lamentou, lament
Jordan, jordan
., .
`, `
`, `
Tinha, tinha
todas, toda
as, as
ilusões, ilusõ
,, ,
como, como
o, o
resto, resto
da, da
equipe, equip
,, ,
e, e
a, a
crença, crença
de, de
que, que
poderíamos, poderíamo
chegar, chegar
à, à
final, final
., .
'', ''

, 

Jordan, jordan
,, ,
que, que
marcou, marcou
24, 24
pontos, ponto
no, no
jogo, jogo
(, (
sete, sete
a, a
menos, meno
que, que
sua, sua
média, média
até, até
então, então
nos, no
playoffs, playoff
), )
,, ,
disse, diss
ainda, ainda
que, que
lhe, lhe
faltou, faltou
força, força
., .

, 

`, `
`, `
Sinto-me, sinto-m
frustrado, frustrado
., .
Pelo, pelo
meu, meu
jogo, jogo
e, e
por, por
não, não
ter, ter
tido, tido
as, as
pernas, perna
o, o
suficientemente, suficientement
em, em
forma, forma
para, para
poder, poder
aguentar, aguentar
a, a
pressão, pressão
dos, do
últimos, último
minutos, minuto
., .
'', ''

, 

Com, com
a, a
vitória, vitória
,, ,
o, o
Orlando, orlando
fechou, fechou
com, com
vantagem, vantagem
por, por
4, 4
a, a
2, 2
a, a
série, série
eliminatória, eliminatória
melhor, melhor
de, de
sete, sete
jogos, jogo
disputada, disputada
com, com
os, os
Bulls, bull
., .

, 

Após, apó
conquistar, conquistar
três, trê
títulos, título
seguidos, seguido
,, ,
o, o
Chicago, chicago
sofreu, sofreu
na, na
temporada, temporada
passada, passada
com, com
o, o
desfalque, desfalqu
de, de
Jordan, jordan
., .
O, o
título, título
acabou, acab
com, com
os, os
Rockets, rocket
,, ,
do, do
pivô, pivô
Olajuwon, olajuwon
., .

, 

Em, em
março, março
último, último
,, ,
já, já
na, na
reta, reta
final, final
desta, desta
temporada, temporada
regular, regular
,, ,
na, na
qual, qual
cada, cada
equipe, equip
disputa, disputa
82, 82
jogos, jogo
,, ,
Jordan, jordan
voltou, voltou
., .

, 

As, as
esperanças, esperança
de, de
chegar, chegar
ao, ao
título, título
também, também
voltaram, voltaram
a, a
Chicago, chicago
., .
Mas, ma
Shaquille, shaquil
e, e
seus, seu
companheiros, companheiro
do, do
Orlando, orlando
fulminaram, fulminaram
com, com
essas, essa
esperanças, esperança
., .

, 

Jordan, jordan
não, não
poupou, poupou
elogios, elogio
aos, ao
vencedores, vencedor
., .
Disse, diss
que, que
o, o
Orlando, orlando
é, é
a, a
equipe, equip
com, com
mais, mai
talento, talento
,, ,
mas, ma
pensava, pensava
que, que
a, a
juventude, juventud
e, e
inexperiência, inexperiência
do, do
adversário, adversário
permitiriam, permitiriam
aos, ao
Bulls, bull
ganhar, ganhar
a, a
série, série
., .

, 

`, `
`, `
Eles, ele
se, se
reafirmaram, reafirmaram
em, em
cada, cada
partida, partida
e, e
Horace, horac
Grant, grant
(, (
ex-Bulls, ex-bul
), )
os, os
conduziu, conduziu
à, à
perfeição, perfeição
'', ''
', '
,, ,
destacou, destac
Jordan, jordan
,, ,
aproveitando, aproveitando
para, para
elogiar, elogiar
seu, seu
ex-companheiro, ex-companheiro
de, de
equipe, equip
e, e
que, que
se, se
transferiu, transferiu
para, para
Orlando, orlando
., .

, 

Jordan, jordan
também, também
aproveitou, aproveit
para, para
esclarecer, esclarec
que, que
seu, seu
retorno, retorno
não, não
acaba, acaba
com, com
esse, ess
tropeço, tropeço
do, do
Chicago, chicago
., .

, 

`, `
`, `
Irei, irei
ao, ao
campo, campo
de, de
treinamento, treinamento
e, e
jogarei, jogarei
82, 82
partidas, partida
(, (
na, na
próxima, próxima
temporada, temporada
), )
,, ,
a, a
menos, meno
que, que
não, não
contém, contém
comigo, comigo
'', ''
,, ,
afirmou, afirm
o, o
jogador, jogador
., .

, 

Scottie, scotti
Pippen, pippen
,, ,
com, com
26, 26
pontos, ponto
e, e
12, 12
rebotes, rebot
,, ,
foi, foi
o, o
melhor, melhor
do, do
Chicago, chicago
anteontem, anteontem
., .
Dennis, denni
Scott, scott
também, também
se, se
destacou, destac
no, no
Orlando, orlando
,, ,
com, com
21, 21
pontos, ponto
., .

, 

