A, ﻿a
maioria, maioria
das, da
equipes, equip
que, que
participou, particip
da, da
23ª, 23ª
Mil, mil
Milhas, milha
Brasileiras, brasileira
não, não
respeitou, respeit
o, o
regulamento, regulamento
da, da
competição, competição
sobre, sobr
segurança, segurança
nos, no
boxes, box
., .
Os, os
responsáveis, responsávei
pelo, pelo
reabastecimento, reabastecimento
dos, do
carros, carro
não, não
estavam, estavam
com, com
o, o
equipamento, equipamento
de, de
segurança, segurança
exigido, exigido
no, no
artigo, artigo
39, 39
., .
", "
O, o
responsável, responsável
pela, pela
operação, operação
de, de
reabastecimento, reabastecimento
deverá, deverá
obrigatoriamente, obrigatoriament
utilizar, utilizar
vestimenta, vestimenta
completa, completa
,, ,
macacão, macacão
,, ,
luvas, luva
,, ,
botas, bota
e, e
balaclava, balaclava
(, (
proteção, proteção
para, para
a, a
cabeça, cabeça
e, e
rosto, rosto
), )
,, ,
de, de
preferência, preferência
', '
anti-fogo, anti-fogo
', '
revestidos, revestido
de, de
amianto, amianto
", "
., .

, 

Com, com
a, a
exceção, exceção
das, da
grandes, grand
equipes, equip
,, ,
nenhuma, nenhuma
respeitou, respeit
a, a
exigência, exigência
., .
Os, os
", "
responsáveis, responsávei
", "
estavam, estavam
sem, sem
capacete, capacet
,, ,
luvas, luva
ou, ou
botas, bota
., .
Alguns, algun
usavam, usavam
o, o
macacão, macacão
,, ,
mas, ma
os, os
outros, outro
acessórios, acessório
eram, eram
substituídos, substituído
por, por
tênis, têni
e, e
bonés, boné
., .

, 

O, o
coordenador-geral, coordenador-ger
da, da
prova, prova
,, ,
José, josé
Roberto, roberto
Beilstrein, beilstrein
,, ,
disse, diss
que, que
,, ,
se, se
fossem, fossem
observadas, observada
todas, toda
as, as
exigências, exigência
,, ,
40, 40
%, %
dos, do
carros, carro
nacionais, nacionai
teriam, teriam
que, que
ser, ser
excluídos, excluído
da, da
corrida, corrida
., .
", "
Por, por
isso, isso
não, não
é, é
possível, possível
um, um
maior, maior
rigor, rigor
", "
,, ,
afirmou, afirm
., .

, 

O, o
presidente, president
da, da
CBA, cba
,, ,
Reginaldo, reginaldo
Bufaiçal, bufaiç
,, ,
disse, diss
que, que
pretende, pretend
multar, multar
o, o
Centauro, centauro
Motor, motor
Clube, clube
,, ,
presidido, presidido
por, por
Beilstrein, beilstrein
,, ,
que, que
organiza, organiza
o, o
evento, evento
,, ,
por, por
estes, est
e, e
outros, outro
problemas, problema
,, ,
como, como
o, o
excesso, excesso
de, de
pessoas, pessoa
na, na
área, área
dos, do
boxes, box
., .

, 

O, o
incêndio, incêndio
que, que
queimou, queimou
sete, sete
pessoas, pessoa
no, no
boxe, box
15, 15
foi, foi
uma, uma
consequência, consequência
", "
menor, menor
", "
diante, diant
das, da
probabilidades, probabilidad
de, de
catástrofe, catástrof
que, que
se, se
avizinharam, avizinharam
durante, durant
a, a
corrida, corrida
em, em
Interlagos, interlago
., .
(, (
Moraes, mora
Eggers, egger
), )

, 

