O, ﻿o
atacante, atacant
Viola, viola
sofreu, sofreu
uma, uma
fratura, fratura
no, no
terceiro, terceiro
metacarpo, metacarpo
(, (
osso, osso
ligado, ligado
ao, ao
terceiro, terceiro
dedo, dedo
da, da
mão, mão
direita, direita
), )
no, no
jogo, jogo
de, de
anteontem, anteontem
contra, contra
o, o
Paraná, paraná
e, e
não, não
enfrenta, enfrenta
o, o
Novorizontino, novorizontino
hoje, hoje
., .

, 

Viola, viola
,, ,
entretanto, entretanto
,, ,
deve, deve
jogar, jogar
o, o
clássico, clássico
de, de
domingo, domingo
,, ,
contra, contra
o, o
Palmeiras, palmeira
,, ,
segundo, segundo
o, o
departamento, departamento
médico, médico
do, do
Corinthians, corinthian
., .

, 

", "
Faremos, faremo
uma, uma
imobilização, imobilização
especial, especi
na, na
mão, mão
do, do
Viola, viola
,, ,
para, para
que, que
ele, ele
possa, possa
jogar, jogar
domingo, domingo
'', ''
,, ,
disse, diss
o, o
médico, médico
Paulo, paulo
Faria, faria
., .

, 

Contra, contra
o, o
Palmeiras, palmeira
,, ,
Viola, viola
pode, pode
fazer, fazer
o, o
seu, seu
centésimo, centésimo
gol, gol
com, com
a, a
camisa, camisa
do, do
Corinthians, corinthian
., .

, 

Com, com
os, os
dois, doi
gols, gol
de, de
anteontem, anteontem
,, ,
ele, ele
chegou, chegou
aos, ao
99, 99
e, e
quebrou, quebrou
um, um
jejum, jejum
de, de
82, 82
dias, dia
sem, sem
marcar, marcar
., .

, 

", "
A, a
sorte, sort
voltou, voltou
,, ,
mas, ma
não, não
estou, estou
preocupado, preocupado
em, em
fazer, fazer
o, o
centésimo, centésimo
contra, contra
o, o
Palmeiras, palmeira
'', ''
,, ,
disse, diss
., .

, 

Viola, viola
disse, diss
que, que
se, se
recusou, recus
a, a
dar, dar
entrevistas, entrevista
após, apó
o, o
jogo, jogo
com, com
o, o
Paraná, paraná
,, ,
por, por
estar, estar
", "
emocionado, emocionado
'', ''
., .

, 

", "
A, a
pressão, pressão
era, era
enorme, enorm
., .
Fui, fui
até, até
vaiado, vaiado
e, e
fiquei, fiquei
triste, trist
,, ,
apesar, apesar
de, de
saber, saber
que, que
um, um
grande, grand
artista, artista
não, não
vive, vive
só, só
de, de
aplausos, aplauso
., .
'', ''

, 

Viola, viola
afirmou, afirm
que, que
enfrentou, enfrent
o, o
Paraná, paraná
e, e
jogará, jogará
contra, contra
o, o
Palmeiras, palmeira
`, `
`, `
por, por
amor, amor
'', ''
e, e
`, `
`, `
sem, sem
seguro, seguro
'', ''
., .

, 

", "
Até, até
agora, agora
não, não
vi, vi
o, o
seguro, seguro
que, que
a, a
diretoria, diretoria
prometeu, prometeu
fazer, fazer
após, apó
a, a
venda, venda
para, para
o, o
Valencia, valencia
., .
Aliás, aliá
,, ,
ainda, ainda
não, não
assinei, assinei
contrato, contrato
e, e
o, o
Corinthians, corinthian
não, não
recebeu, recebeu
a, a
primeira, primeira
parcela, parcela
da, da
transação, transação
., .
'', ''

, 

(, (
AR, ar
), )

, 

