Os, ﻿o
gols, gol
estão, estão
sumindo, sumindo
no, no
segundo, segundo
turno, turno
do, do
Campeonato, campeonato
Paulista, paulista
., .
Há, há
cinco, cinco
semanas, semana
seguidas, seguida
que, que
a, a
média, média
acumulada, acumulada
de, de
gols, gol
do, do
campeonato, campeonato
vem, vem
caindo, caindo
., .

, 

Nos, no
últimos, último
cinco, cinco
domingos, domingo
,, ,
já, já
computados, computado
os, os
jogos, jogo
do, do
dia, dia
,, ,
registraram-se, registraram-s
médias, média
de, de
2,75, 2,75
,, ,
2,72, 2,72
,, ,
2,70, 2,70
,, ,
2,65, 2,65
e, e
2,58, 2,58
_, _
que, que
é, é
a, a
média, média
atual, atual
,, ,
após, apó
159, 159
partidas, partida
., .

, 

Nas, na
cinco, cinco
rodadas, rodada
do, do
returno, returno
,, ,
a, a
média, média
por, por
rodada, rodada
nunca, nunca
foi, foi
maior, maior
que, que
2,3, 2,3
e, e
bateu, bateu
nos, no
1,7, 1,7
na, na
quarta, quarta
rodada, rodada
,, ,
disputada, disputada
no, no
meio, meio
da, da
semana, semana
passada, passada
., .

, 

A, a
queda, queda
não, não
se, se
deve, deve
ao, ao
aumento, aumento
do, do
número, número
de, de
jogos, jogo
com, com
nenhum, nenhum
ou, ou
poucos, pouco
gols, gol
,, ,
mas, ma
sim, sim
ao, ao
quase, quas
desaparecimento, desaparecimento
dos, do
jogos, jogo
com, com
muitos, muito
., .
Nas, na
últimas, última
oito, oito
rodadas, rodada
,, ,
apenas, apena
um, um
jogo, jogo
teve, teve
pelo, pelo
menos, meno
cinco, cinco
gols, gol
., .

, 

Nele, nele
,, ,
o, o
São, são
Paulo, paulo
goleou, goleou
a, a
Ponte, pont
Preta, preta
por, por
4, 4
a, a
1, 1
_, _
a, a
Ponte, pont
teve, teve
dois, doi
jogadores, jogador
expulsos, expulso
antes, ant
de, de
30, 30
minutos, minuto
de, de
jogo, jogo
., .

, 

Na, na
11ª, 11ª
rodada, rodada
,, ,
em, em
que, que
a, a
média, média
de, de
gols, gol
chegou, chegou
ao, ao
pico, pico
de, de
3,5, 3,5
,, ,
houve, houv
dois, doi
jogos, jogo
com, com
seis, sei
gols, gol
(, (
União, união
4, 4
x, x
2, 2
Palmeiras, palmeira
e, e
Rio, rio
Branco, branco
4, 4
x, x
2, 2
Santos, santo
), )
e, e
um, um
com, com
oito, oito
(, (
Portuguesa, portuguesa
5, 5
x, x
3, 3
Araçatuba, araçatuba
), )
., .

, 

No, no
auge, aug
da, da
ofensividade, ofensividad
,, ,
o, o
Campeonato, campeonato
Paulista, paulista
chegou, chegou
a, a
registrar, registrar
seis, sei
rodadas, rodada
sem, sem
que, que
tivesse, tivess
ocorrido, ocorrido
um, um
0, 0
a, a
0, 0
., .

, 

A, a
partida, partida
que, que
encerrou, encerr
esse, ess
ciclo, ciclo
,, ,
disputada, disputada
no, no
encerramento, encerramento
do, do
primeiro, primeiro
turno, turno
,, ,
reuniu, reuniu
América, américa
e, e
Ponte, pont
Preta, preta
,, ,
em, em
São, são
José, josé
do, do
Rio, rio
Preto, preto
., .

, 

Até, até
agora, agora
,, ,
já, já
ocorreram, ocorreram
dez, dez
jogos, jogo
sem, sem
gols, gol
no, no
Paulista-95, paulista-95
., .
As, as
equipes, equip
que, que
mais, mai
vezes, veze
participaram, participaram
deles, dele
foram, foram
a, a
Portuguesa, portuguesa
e, e
o, o
América, américa
(, (
três, trê
partidas, partida
cada, cada
um, um
), )
., .

, 

Já, já
Araçatuba, araçatuba
,, ,
Ferroviária, ferroviária
,, ,
São, são
Paulo, paulo
e, e
União, união
São, são
João, joão
nunca, nunca
saíram, saíram
de, de
campo, campo
com, com
o, o
placar, placar
em, em
branco, branco
., .

, 

Mas, ma
mesmo, mesmo
o, o
São, são
Paulo, paulo
,, ,
que, que
é, é
o, o
líder, líder
destacado, destacado
do, do
campeonato, campeonato
,, ,
tem, tem
feito, feito
menos, meno
gols, gol
., .

, 

Nas, na
três, trê
últimas, última
partidas, partida
,, ,
obteve, obtev
três, trê
vitórias, vitória
,, ,
sempre, sempr
pelo, pelo
placar, placar
mínimo, mínimo
,, ,
1, 1
a, a
0, 0
., .
A, a
média, média
de, de
seu, seu
ataque, ataqu
nas, na
17, 17
rodadas, rodada
anteriores, anterior
era, era
de, de
1,9, 1,9
gol, gol
por, por
jogo, jogo
., .

, 

No, no
Palmeiras, palmeira
,, ,
a, a
queda, queda
de, de
gols, gol
coincidiu, coincidiu
com, com
a, a
suspensão, suspensão
ao, ao
atacante, atacant
Edmundo, edmundo
., .

, 

Desde, desd
que, que
ele, ele
foi, foi
afastado, afastado
,, ,
o, o
time, time
jogou, jogou
quatro, quatro
vezes, veze
., .
Fez, fez
,, ,
ao, ao
todo, todo
,, ,
quatro, quatro
gols, gol
., .

, 

Nas, na
quatro, quatro
partidas, partida
anteriores, anterior
,, ,
o, o
time, time
marcara, marcara
dez, dez
gols, gol
., .
A, a
queda, queda
foi, foi
de, de
60, 60
%, %
., .

, 

Colaborou, colabor
Rubens, ruben
Leme, leme
da, da
Costa, costa
,, ,
da, da
Reportagem, reportagem
Local, local

, 

