A, ﻿A
transferência, transferência
do, de o
atacante, atacante
palmeirense, palmeirense
Edmundo, Edmundo
para, para
o, o
Flamengo, Flamengo
deve, dever
ser, ser
anunciada, anunciar
hoje, hoje
., .

, 

Segundo, segundo
a, o
assessoria, assessoria
de, de
imprensa, imprensa
da, de o
Parmalat, Parmalat
_, _
patrocinadora, patrocinadora
do, de o
Palmeiras, Palmeiras
e, e
dona, donar
de, de
85, 85
%, %
do, de o
passe, passe
do, de o
jogador, jogador
_, _
faltam, faltar
apenas, apenas
alguns, algum
detalhes, detalhe
para, para
a, o
negociação, negociação
ser, ser
fechada, fechar
., .

, 

O, o
presidente, presidente
do, de o
Flamengo, Flamengo
,, ,
Kleber, Kleber
Leite, Leite
,, ,
e, e
o, o
vice, vice
,, ,
Plínio, Plínio
Serpa, Serpa
Filho, Filho
,, ,
estiveram, estar
reunidos, reunir
ontem, ontem
em, em
São, São
Paulo, Paulo
com, com
o, o
presidente, presidente
da, de o
Parmalat, Parmalat
,, ,
Gianni, Gianni
Grisendi, Grisendi
,, ,
o, o
diretor, diretor
de, de
esportes, esporte
da, de o
empresa, empresa
multinacional, multinacional
,, ,
José, José
Carlos, Carlos
Brunoro, Brunoro
,, ,
e, e
dirigentes, dirigente
do, de o
Palmeiras, Palmeiras
., .

, 

Leite, Leite
e, e
Serpa, Serpa
Filho, Filho
saíram, sair
da, de o
reunião, reunião
em, em
São, São
Paulo, Paulo
convencidos, convencer
da, de o
vitória, vitória
na, em o
disputa, disputa
com, com
o, o
Botafogo, Botafogo
., .
Para, para
eles, eles
,, ,
Edmundo, edmur
já, já
é, ser
jogador, jogador
do, de o
Flamengo, Flamengo
., .

, 

No, em o
Rio, Rio
de, de
Janeiro, Janeiro
,, ,
a, o
contratação, contratação
do, de o
atacante, atacante
já, já
foi, ser
anunciada, anunciar
., .

, 

O, o
Flamengo, Flamengo
estaria, estar
preparando, preparar
uma, um
grande, grande
festa, festa
para, para
recepcionar, recepcionar
Edmundo, Edmundo
., .
Seria, ser
mais, mais
uma, um
no, em o
ano, ano
 ,  
do, de o
centenário, centenário
do, de o
clube, clube
., .

, 

Os, o
jogadores, jogador
do, de o
Flamengo, Flamengo
comemoraram, comemorar
a, a
provável, provável
chegada, chegada
de, de
Edmundo, Edmundo
., .

, 

`, `
`, `
Ele, ele
é, ser
inteligente, inteligente
,, ,
rápido, rápido
e, e
,, ,
quando, quando
é, ser
ferido, ferir
,, ,
vira, vira
fera, fer
e, e
arrebenta, arrebentar
em, em
campo, campo
'', ''
,, ,
disse, dizer
o, o
lateral-esquerdo, lateral-esquerdo
Branco, Branco
,, ,
numa, em um
alusão, alusão
ao, a o
apelido, apelido
de, de
Edmundo, Edmundo
no, em o
Palmeiras, Palmeiras
:, :
`, `
`, `
animal, animal
'', ''
., .

, 

O, o
Flamengo, Flamengo
teria, ter
concordado, concordar
em, em
pagar, pagar
cerca, cerca
de, de
US$, US$
6, 6
milhões, milhão
pelo, por o
passe, passe
de, de
Edmundo, Edmundo
:, :
US$, US$
4,5, 4,5
milhões, milhão
para, para
a, o
Parmalat, Parmalat
,, ,
US$, US$
230, 230
mil, mil
para, para
o, o
Palmeiras, Palmeiras
,, ,
US$, US$
750, 750
mil, mil
para, para
Edmundo, Edmundo
e, e
US$, US$
500, 500
mil, mil
para, para
Pedrinho, Pedrinho
Vicençote, Vicençote
,, ,
procurador, procurador
do, de o
atleta, atleta
., .

, 

Segundo, segundo
a, o
Parmalat, Parmalat
,, ,
essa, esse
é, ser
a, o
proposta, proposta
que, que
mais, mais
se, se
aproxima, aproximar
das, de o
exigências, exigência
da, de o
empresa, empresa
e, e
do, de o
Palmeiras, Palmeiras
., .

, 

Edmundo, Edmundo
só, só
fez, fazer
duas, dois
exigências, exigência
:, :
manter, manter
seu, seu
salário, salário
e, e
receber, receber
os, o
15, 15
%, %
do, de o
passe, passe
a, a
que, que
tem, ter
direito, direito
., .

, 

*, *
Colaborou, colaborar
a, o
Sucursal, sucursal
do, de o
Rio, Rio

, 

