O, ﻿O
bilhete, bilhete
promocional, promocional
São, São
Paulo-Londres, Paulo-Londres
,, ,
ida, ida
e, e
volta, volta
,, ,
custa, custar
US$, US$
1.238, 1.238
no, em o
balcão, balcão
das, de o
companhias, companhia
aéreas, aéreo
Varig, Varig
e, e
British, British
Airways, Airways
., .

, 

A, o
tarifa, tarifa
tem, ter
restrições, restrição
para, para
o, o
passageiro, passageiro
., .
Ele, ele
deve, dever
marcar, marcar
previamente, previamente
as, o
datas, data
de, de
saída, saída
e, e
retorno, retorno
do, de o
vôo, vôo
_, _
e, e
paga, pagar
multa, multa
se, se
houver, haver
mudanças, mudança
., .

, 

Além, além
disso, de isso
,, ,
há, haver
limitação, limitação
de, de
estada, estar
., .
A, o
permanência, permanência
mínima, pequeno
é, ser
de, de
sete, sete
dias, dia
., .
A, o
máxima, grande
,, ,
três, três
meses, mês
., .

, 

RESERVAS, RESERVAS
-, -
Varig, Varig
,, ,
tel., tel.
(, (
011, 011
), )
240-1211, 240-1211
;, ;
British, British
Airways, Airways
,, ,
tel., tel.
(, (
011, 011
), )
258-6144, 258-6144
., .

, 

