Um, ﻿Um
doce, doce
para, para
quem, quem
disser, disser
,, ,
assim, assim
de, de
estalo, estalo
,, ,
o, o
nome, nome
do, de o
presidente, presidente
do, de o
Palmeiras, Palmeiras
., .
Viu, Viu
?, ?
Pois, pois
aí, aí
está, estar
um, um
dos, de o
segredos, segredo
do, de o
sucesso, sucesso
desse, de esse
time, time
que, que
não, não
ganhava, ganhar
um, um
título, título
há, haver
17, 17
anos, ano
,, ,
até, até
promover, promover
uma, um
mudança, mudança
radical, radical
no, em o
seu, seu
perfil, perfil
administrativo, administrativo
,, ,
associando-se, associando-se
à, a o
Parmalat, Parmalat
., .
Em, em
um, um
ano, ano
,, ,
papou, papar
todos, todo
os, o
títulos, título
que, que
disputou, disputar
., .
Pelo, pelo
menos, menos
,, ,
os, o
mais, mais
significativos, significativo
,, ,
como, como
o, o
Paulista, Paulista
e, e
o, o
Brasileiro, Brasileiro
., .

, 

Nesse, em esse
período, período
não, não
me, eu
recordo, recordar
de, de
uma, um
entrevista, entrevista
de, de
rádio, rádio
ou, ou
TV, tv
,, ,
nem, nem
mesmo, mesmo
uma, um
declaração, declaração
nos, em o
jornais, jornal
que, que
o, o
presidente, presidente
palestrino, palestrino
tenha, ter
dado, dar
., .
Nem, nem
quando, quando
das, de o
milionárias, milionária
contratações, contratação
,, ,
nem, nem
quando, quando
das, de o
crises, crise
vivida, viver
pelo, por o
clube, clube
com, com
a, o
troca, troca
de, de
treinadores, treinador
ou, ou
as, o
confusões, confusão
armadas, armar
pela, por o
sua, seu
maior, grande
estrela, estrela
,, ,
Edmundo, Edmur
., .
Nem, nem
nos, em o
momentos, momento
de, de
glória, glória
., .

, 

Ora, ora
,, ,
todo, todo
mundo, mundo
sabe, saber
que, que
uma, um
imensa, imenso
fogueira, fogueira
de, de
vaidades, vaidade
consumia, consumia
diariamente, diariamente
todas, todo
as, o
esperanças, esperança
verdes, verde
nos, em o
17, 17
anos, ano
de, de
estio, estio
., .
As, o
disputas, disputa
políticas, político
,, ,
no, em o
Parque, Parque
Antarctica, Antarctica
,, ,
chegavam, chegar
ao, a o
paroxismo, paroxismo
,, ,
quase, quase
sempre, sempre
com, com
lances, lance
tragicômicos, tragicômico
., .
E, e
o, o
presidente, presidente
do, de o
clube, clube
,, ,
qualquer, qualquer
que, que
fosse, ser
,, ,
não, não
perdia, perder
a, o
chance, chance
de, de
exibir, exibir
pela, por o
mídia, mídia
seus, seu
poderes, poder
,, ,
ambições, ambição
e, e
fraquezas, fraqueza
., .
A, a
exemplo, exemplo
,, ,
aliás, aliás
,, ,
dos, de o
demais, demais
clubes, clube
grandes, grande
., .
Quem, quem
dissociaria, dissociariar
o, o
Palmeiras, Palmeiras
de, de
um, um
Facchina, Facchina
,, ,
tio, tio
ou, ou
sobrinho, sobrinho
?, ?
Ou, ou
quem, quem
pensaria, pensar
no, em o
Corinthians, Corinthians
sem, sem
Trindade, Trindade
,, ,
Vadih, Vadih
Helou, Helou
ou, ou
Matheus, Matheus
?, ?
Nesse, em esse
aspecto, aspecto
,, ,
nem, nem
o, o
discreto, discreto
tricolor, tricolor
escapou, escapar
da, de o
regra, regra
geral, geral
,, ,
que, que
fazia, fazer
do, de o
Santos, Santos
o, o
clube, clube
de, de
Athiê, Athiê
nos, em o
momentos, momento
de, de
glória, glória
e, e
de, de
tal, tal
ou, ou
qual, qual
família, família
nestes, em este
tempos, tempo
inglórios, inglório
., .
E, e
a, o
Portuguesa, Portuguesa
de, de
Isaias, Isaias
a, o
Faria, Faria
de, de
Sá, Sá
,, ,
passando, passar
,, ,
claro, claro
,, ,
pelo, por o
dr., dr.
Osvaldinho, Osvaldinho
?, ?
Quase, quase
todos, todo
,, ,
de, de
uma, um
forma, forma
ou, ou
de, de
outra, outro
,, ,
foram, ser
a, o
redenção, redenção
e, e
a, o
crucificação, crucificação
dos, de o
anseios, anseio
de, de
suas, seu
coletividades, coletividade
., .

, 

A, o
frase, frase
é, ser
velha, velho
e, e
gasta, gastar
,, ,
pois, pois
já, já
vai, ir
para, para
quase, quase
meio, meio
século, século
que, que
o, o
técnico, técnico
Flávio, Flávio
Costa, Costa
a, ela
soltou, soltar
,, ,
desanimado, desanimar
:, :
", "
O, o
futebol, futebol
brasileiro, brasileiro
só, só
é, ser
profissional, profissional
da, de o
boca, boca
do, de o
túnel, túnel
prá, prá
dentro, dentro
do, de o
campo, campo
., .
", "

, 

Finalmente, finalmente
,, ,
no, em o
limiar, limiar
do, de o
século, século
21, 21
,, ,
a, o
frase, frase
começa, começar
a, a
cair, cair
em, em
desuso, desuso
,, ,
graças, graças
ao, a o
Palmeiras, Palmeiras
,, ,
que, que
,, ,
num, em um
passe, passe
de, de
mágica, mágica
,, ,
reestruturou, reestruturar
seu, seu
departamento, departamento
de, de
futebol, futebol
,, ,
entregando-o, entregar ele
a, a
um, um
profissional, profissional
altamente, altamente
categorizado, categorizar
,, ,
funcional, funcional
,, ,
competente, competente
,, ,
como, como
José, José
Carlos, Carlos
Brunoro, Brunoro
,, ,
apoiado, apoiar
num, em um
dirigente, dirigente
discreto, discreto
e, e
aplicado, aplicar
,, ,
como, como
Seraphim, Seraphim
del, del
Grande, Grande
., .

, 

Este, este
,, ,
pois, pois
,, ,
é, ser
o, o
caminho, caminho
., .
E, e
haverá, haver
de, de
acompanhá-lo, acompanhar ele
quem, quem
tiver, ter
juízo, juízo
., .

, 

A, a
propósito, propósito
,, ,
o, o
nome, nome
do, de o
presidente, presidente
do, de o
Palmeiras, Palmeiras
é, ser
Mustafá, Mustafá
Contursi, Contursi
,, ,
a, a
quem, quem
reverencio, reverencio
pelo, por o
abençoado, abençoado
anonimato, anonimato
., .

, 

*, *

, 

Fez, Fez
muito, muito
bem, bem
o, o
Vitinho, Vitinho
Malzoni, Malzoni
ao, a o
conferir, conferir
ao, a o
etíope, etíope
Bayesa, Bayesa
o, o
mesmo, mesmo
prêmio, prêmio
do, de o
vencedor, vencedor
queniano, queniano
da, de o
São, São
Silvestre, Silvestre
., .
Afinal, afinal
,, ,
Bayesa, Bayesa
deu, dar
um, um
show, show
de, de
resistência, resistência
,, ,
velocidade, velocidade
e, e
inteligência, inteligência
numa, em um
das, de o
mais, mais
emocionantes, emocionante
provas, prova
da, de o
história, história
dessa, de esse
tradicional, tradicional
competição, competição
., .
Mesmo, mesmo
porque, porque
o, o
etíope, etíope
chegou, chegar
na, em o
frente, frente
,, ,
foi, ser
o, o
verdadeiro, verdadeiro
vencedor, vencedor
., .
Pelo, pelo
menos, menos
no, em o
coração, coração
do, de o
torcedor, torcedor
., .

, 

