Mal, ﻿Mal
terminaram, terminar
os, o
feriados, feriado
de, de
fim, fim
de, de
ano, ano
e, e
os, o
paulistanos, paulistano
devem, dever
enfrentar, enfrentar
nova, novo
cruzada, cruzada
de, de
férias, férias
com, com
a, o
folga, folga
proporcionada, proporcionar
pelo, por o
aniversário, aniversário
da, de o
cidade, cidade
,, ,
dia, dia
25, 25
., .
Enforcando, enforcar
o, o
dia, dia
anterior, anterior
,, ,
segunda-feira, segunda-feira
,, ,
são, ser
quatro, quatro
dias, dia
de, de
lazer, lazer
genuíno, genuíno
–, –
sem, sem
a, o
preocupação, preocupação
obsessiva, obsessivo
com, com
ceias, ceia
e, e
compras, compra
., .

, 

Vários, vários
hotéis, hotel
e, e
agências, agência
de, de
viagens, viagem
programaram, programar
pacotes, pacote
especiais, especial
., .
Os, o
destinos, destino
vão, ir
do, de o
litoral, litoral
ao, a o
interior, interior
do, de o
Estado, estado
,, ,
sem, sem
esquecer, esquecer
os, o
programas, programa
ecológicos, ecológico
(, (
veja, ver
quadro, quadro
ao, a o
lado, lado
), )
., .

, 

Mas, mas
se, se
a, o
opção, opção
é, ser
descansar, descansar
mesmo, mesmo
,, ,
esqueça, esquecer
tudo, tudo
e, e
se, se
refugie, refugie
no, em o
hotel, hotel
Transamérica, Transamérica
São, São
Paulo, Paulo
(, (
011-523-4511, 011-523-4511
), )
,, ,
que, que
tem, ter
pacote, pacote
de, de
22, 22
a, a
25/1, 25/1
por, por
US$, US$
332, 332
(, (
CR$, CR$
116,2, 116,2
mil, mil
), )
o, o
apartamento, apartamento
duplo, duplo
,, ,
com, com
café, café
da, de o
manhã, manhã
,, ,
três, três
refeições, refeição
e, e
outras, outro
comodidades, comodidade
., .
E, e
só, só
saia, saia
da, de o
toca, toca
quando, quando
aparecer, aparecer
o, o
dia, dia
útil, útil
., .
(, (
Carlos, Carlos
Kauffmann, Kauffmann
), )

, 

