Uma, ﻿Uma
reunião, reunião
tensa, tenso
entre, entre
Henrique, Henrique
Alves, Alves
,, ,
o, o
diretor, diretor
de, de
futebol, futebol
do, de o
Corinthians, Corinthians
,, ,
membros, membro
da, de o
organização, organização
da, de o
Copa, Copa
São, São
Paulo, Paulo
de, de
Juniores, Juniores
e, e
policiais, policial
encarregados, encarregar
da, de o
segurança, segurança
no, em o
estádio, estádio
,, ,
no, em o
beira, beira
do, de o
gramado, gramado
,, ,
sábado, sábado
à, a o
tarde, tarde
,, ,
em, em
pleno, pleno
primeiro, primeiro
tempo, tempo
da, de o
partida, partida
entre, entre
Corinthians, Corinthians
e, e
Atlético, Atlético
Goianiense, Goianiense
,, ,
mostrava, mostrar
que, que
algo, algo
não, não
corria, correr
bem, bem
., .

, 

Poucos, pouco
minutos, minuto
antes, antes
,, ,
dezoito, dezoger
pessoas, pessoa
eram, ser
esmagadas, esmagar
e, e
pisoteadas, pisotear
pela, por o
multidão, multidão
que, que
não, não
conseguira, consegurer
entrar, entrar
no, em o
estádio, estádio
., .
A, o
principal, principal
vítima, vítima
foi, ser
o, o
jornaleiro, jornaleiro
Rui, Rui
Tadeu, Tadeu
Ramos, Ramos
,, ,
42, 42
,, ,
que, que
sofreu, sofrer
parada, parada
cardíaca, cardíaca
e, e
quebrou, quebrar
duas, dois
costelas, costela
., .
E, e
até, até
ontem, ontem
correu, correr
risco, risco
de, de
vida, vida
., .
Ao, a o
acordar, acordar
,, ,
no, em o
domingo, domingo
de, de
manhã, manhã
,, ,
ele, ele
prometeu, prometer
:, :
", "
Nunca, nunca
mais, mais
vou, ir
a, a
um, um
estádio, estádio
", "
., .

, 

A, o
mulher, mulher
do, de o
jornaleiro, jornaleiro
,, ,
Maria, Maria
Francilina, Francilina
Ramos, Ramos
,, ,
disse, dizer
que, que
seu, seu
marido, marido
foi, ser
ao, a o
estádio, estádio
com, com
os, o
dois, dois
filhos, filho
,, ,
de, de
7, 7
e, e
13, 13
anos, ano
., .
Ele, ele
contou, contar
para, para
ela, ela
que, que
os, o
portões, portão
foram, ser
abertos, abrir
às, a o
14h, 14h
,, ,
sem, sem
a, o
presença, presença
dos, de o
policiais, policial
,, ,
o, o
que, que
provocou, provocar
o, o
empurra-empurra, empurra-empurra
., .
Na, em o
tentativa, tentativa
de, de
proteger, proteger
o, o
filho, filho
menor, pequeno
,, ,
que, que
estava, estar
no, em o
seu, seu
ombro, ombro
,, ,
Rui, Rui
Tadeu, Tadeu
escorregou, escorregar
,, ,
sendo, ser
pisoteado, pisotear
por, por
muitas, muito
pessoas, pessoa
., .
A, o
polícia, polícia
,, ,
ouvindo, ouvir
o, o
barulho, barulho
,, ,
foi, ir
verificar, verificar
o, o
que, que
acontecia, aconteciar
e, e
tirou, tirar
o, o
jornaleiro, jornaleiro
do, de o
chão, chão
,, ,
totalmente, totalmente
desacordado, desacordar
,, ,
levando-o, levar ele
para, para
o, o
Hospital, Hospital
do, de o
Tatuapé, Tatuapé
., .
Os, o
policiais, policial
tiveram, ter
que, que
fazer, fazer
respiração, respiração
boca-a-boca, boca-a-boca
e, e
massagem, massagem
cardíaca, cardíaco
durante, durante
todo, todo
o, o
trajeto, trajeto
,, ,
tentando, tentar
reanimar, reanimar
Rui, Rui
Tadeu, Tadeu
,, ,
que, que
permanecia, permanecia
desacordado, desacordar
., .
Outras, outro
seis, seis
pessoas, pessoa
permaneciam, permanecer
ontem, ontem
no, em o
Hospital, Hospital
do, de o
Tatuapé, Tatuapé
,, ,
com, com
ferimentos, ferimento
leves, leve
., .

, 

A, o
história, história
da, de o
Copa, Copa
São, São
Paulo, Paulo
já, já
registrou, registrar
outras, outro
tragédias, tragédia
., .
Em, em
1992, 1992
,, ,
o, o
garoto, garoto
corintiano, corintiano
Rodrigo, Rodrigo
de, de
Gasperi, Gasperi
,, ,
13, 13
,, ,
morreu, morrer
após, após
ser, ser
atingido, atingir
por, por
uma, um
bomba, bomba
de, de
fabricação, fabricação
caseira, caseira
., .
A, o
partida, partida
,, ,
válida, váler
pela, por o
semifinal, semifinal
daquele, de aquele
ano, ano
,, ,
entre, entre
Corinthians, Corinthians
e, e
São, São
Paulo, Paulo
,, ,
foi, ser
disputada, disputar
na, em o
Rua, Rua
Comendador, Comendador
Sousa, Sousa
,, ,
no, em o
Estádio, Estádio
do, de o
Nacional, Nacional
., .

, 

Ontem, ontem
à, a o
tarde, tarde
,, ,
o, o
Parque, Parque
São, São
Jorge, Jorge
ainda, ainda
apresentava, apresentar
sinais, sinal
dos, de o
acontecimentos, acontecimento
do, de o
dia, dia
anterior, anterior
., .
A, o
equipe, equipe
júnior, júnior
do, de o
Corinthians, Corinthians
fez, fazer
um, um
treino, treino
leve, levar
em, em
um, um
campo, campo
repleto, repleto
de, de
detritos, detrito
jogados, jogar
pela, por o
torcida, torcida
., .
Por, por
causa, causa
dos, de o
incidentes, incidente
,, ,
os, o
jogos, jogo
do, de o
Corinthians, Corinthians
foram, ser
transferidos, transferir
para, para
o, o
Pacaembu, Pacaembu
conforme, conforme
decisão, decisão
da, de o
reunião, reunião
durante, durante
o, o
jogo, jogo
., .

, 

