A, ﻿A
seleção, seleção
brasileira, brasileiro
feminina, feminino
de, de
vôlei, vôlei
perdeu, perder
anteontem, anteontem
à, a o
noite, noite
,, ,
na, em o
cidade, cidade
norte-americana, norte-americano
de, de
Omaha, Omaha
,, ,
Nebraska, Nebraska
,, ,
o, o
primeiro, primeiro
de, de
uma, um
série, série
de, de
cinco, cinco
amistosos, amistoso
contra, contra
os, o
EUA, EUA
., .

, 

As, o
brasileiras, brasileira
,, ,
atuais, atual
vice-campeãs, vice-campeãs
mundiais, mundial
,, ,
foram, ser
derrotadas, derrotar
por, por
3, 3
sets, set
a, a
2, 2
(, (
4/15, 4/15
,, ,
15/9, 15/9
,, ,
15/6, 15/6
,, ,
11/15, 11/15
e, e
15/11, 15/11
), )
após, após
uma, um
hora, hora
e, e
46, 46
minutos, minuto
de, de
jogo, jogo
., .

, 

O, o
time, time
volta, voltar
hoje, hoje
à, a o
quadra, quadra
para, para
o, o
segundo, segundo
amistoso, amistoso
contra, contra
a, o
seleção, seleção
dos, de o
EUA, EUA
., .
O, o
jogo, jogo
acontece, acontecer
em, em
St, St
., .
Louis, Louis
,, ,
no, em o
Missouri, Missouri
., .

, 

Ao, a o
comentar, comentar
o, o
resultado, resultado
,, ,
o, o
técnico, técnico
Bernardo, Bernardo
Rezende, Rezende
,, ,
o, o
Bernardinho, Bernardinho
,, ,
disse, dizer
que, que
três, três
fatores, fator
foram, ser
responsáveis, responsável
pela, por o
derrota, derrota
:, :
a, o
falta, falta
de, de
entrosamento, entrosamento
,, ,
concentração, concentração
e, e
fragilidade, fragilidade
do, de o
passe, passe
da, de o
equipe, equipe
., .

, 

Já, já
a, o
seleção, seleção
masculina, masculino
treinou, treinar
ontem, ontem
em, em
Barcelona, Barcelona
,, ,
Espanha, Espanha
., .
O, o
time, time
comandado, comandar
pelo, por o
técnico, técnico
José, José
Roberto, Roberto
Guimarães, Guimarães
estréia, estrear
amanhã, amanhã
contra, contra
os, o
espanhóis, espanhol
na, em o
Liga, Liga
Mundial, Mundial
da, de o
temporada, temporada
95, 95
., .

, 

