A, ﻿A
troca, trocar
de, de
`, `
`, `
desafios, desafio
'', ''
entre, entre
os, o
dois, dois
norte-americanos, norte-americano
que, que
lideram, lider
o, o
ranking, ranking
mundial, mundial
monopolizou, monopolizar
,, ,
injustamente, injustamente
,, ,
o, o
noticiário, noticiário
tenístico, tenístico
dos, de o
últimos, último
dias, dia
., .

, 

Andre, Andre
Agassi, Agassi
,, ,
o, o
número, número
1, 1
,, ,
resolveu, resolver
soltar, soltar
várias, várias
farpas, farpa
contra, contra
o, o
ex-número, ex-número
1, 1
e, e
atual, atual
segundo, segundo
colocado, colocado
do, de o
ranking, ranking
,, ,
Pete, Pete
Sampras, Sampras
., .

, 

`, `
`, `
Sou, Sou
superior, alto
a, a
Sampras, Sampras
em, em
qualquer, qualquer
superfície, superfície
'', ''
,, ,
foi, ser
o, o
mais, mais
recente, recente
desafio, desafio
de, de
Agassi, Agassi
., .
`, `
`, `
Espero, esperar
que, que
ele, ele
consiga, consiga
chegar, chegar
até, até
a, o
final, final
para, para
poder, poder
me, eu
enfrentar, enfrentar
'', ''
,, ,
rebateu, rebater
Sampras, Sampras
., .

, 

Na, em o
verdade, verdade
,, ,
esse, esse
duelo, duelo
verbal, verbal
é, ser
uma, um
grande, grande
bobagem, bobagem
de, de
dois, dois
fanfarrões, fanfarrão
., .
Além, além
de, de
parecer, parecer
peça, peça
de, de
marketing, marketing
encomendada, encomendar
(, (
já, já
que, que
os, o
dois, dois
sempre, sempre
se, se
deram, dar
bem, bem
), )
,, ,
não, não
reflete, refleter
a, o
real, real
expectativa, expectativa
., .

, 

Nenhum, nenhum
dos, de o
dois, dois
pode, poder
ser, ser
considerado, considerar
favorito, favorito
na, em o
França, França
,, ,
já, já
que, que
o, o
piso, piso
de, de
saibro, saibro
desfavorece, desfavorecer
os, o
dois, dois
., .
Agassi, agassi
até, até
que, que
conseguiu, conseguir
dois, dois
vices, vice
em, em
Roland, Roland
Garros, Garros
(, (
1990, 1990
e, e
91, 91
), )
,, ,
mas, mas
Sampras, Sampras
nunca, nunca
passou, passar
das, de o
quartas-de-final, quarta-de-final
., .

, 

Os, o
dois, dois
reis, rei
norte-americanos, norte-americano
vão, ir
ter, ter
muitas, muito
dificuldades, dificuldade
para, para
poder, poder
cumprir, cumprir
suas, seu
promessas, promessa
de, de
campanha, campanha
., .

, 

(, (
TM, TM
), )

, 

