Mesmo, ﻿Mesmo
sem, sem
a, o
sua, seu
dupla, dupla
titular, titular
de, de
ataque, ataque
,, ,
o, o
técnico, técnico
do, de o
Paraná, Paraná
,, ,
Otacílio, Otacílio
Gonçalves, Gonçalves
,, ,
disse, dizer
ter, ter
um, um
time, time
em, em
condições, condição
de, de
derrotar, derrotar
hoje, hoje
o, o
Corinthians, Corinthians
., .

, 

Os, o
atacantes, atacante
titulares, titular
Saulo, Saulo
e, e
Mirandinha, Mirandinha
estão, estar
fora, fora
do, de o
jogo, jogo
por, por
suspensão, suspensão
automática, automático
e, e
contusão, contusão
,, ,
respectivamente, respectivamente
., .
Claudinho, Claudinho
e, e
Aldrovani, Aldrovani
serão, ser
os, o
atacantes, atacante
., .

, 

A, o
única, único
dúvida, dúvida
do, de o
técnico, técnico
é, ser
a, o
escalação, escalação
do, de o
lateral, lateral
Gil, Gil
Baiano, Baiano
., .

, 

O, o
jogador, jogador
está, estar
se, se
recuperando, recuperar
de, de
uma, um
contusão, contusão
na, em o
coxa, coxa
direita, direito
e, e
o, o
técnico, técnico
não, não
sabe, saber
se, se
pode, poder
contar, contar
com, com
ele, ele
para, para
a, o
partida, partida
., .

, 

Caso, caso
Gil, Gil
Baiano, Baiano
não, não
jogue, jogar
,, ,
o, o
jogador, jogador
Denilson, Denilson
será, ser
deslocado, deslocar
do, de o
meio-campo, meio-campo
para, para
a, o
lateral, lateral
., .

, 

Para, para
suprir, suprir
a, o
ausência, ausência
de, de
Denilson, Denilson
no, em o
meio-campo, meio-campo
,, ,
Otacílio, Otacílio
terá, ter
duas, dois
opções, opção
:, :
Perdigão, Perdigão
ou, ou
Mário, Mário
., .

, 

A, o
diretoria, diretoria
do, de o
clube, clube
espera, esperar
um, um
público, público
superior, alto
a, a
50, 50
mil, mil
pessoas, pessoa
., .

, 

