Um, ﻿Um
dia, dia
após, após
a, o
reunião, reunião
da, de o
Parmalat, Parmalat
com, com
o, o
Botafogo, Botafogo
,, ,
o, o
Flamengo, Flamengo
apresenta, apresentar
uma, um
proposta, proposta
para, para
comprar, comprar
Edmundo, Edmundo
., .

, 

Entre, entre
10h30, 10h30
e, e
11h, 11h
,, ,
começa, começar
em, em
São, São
Paulo, Paulo
a, o
reunião, reunião
entre, entre
o, o
gerente, gerente
de, de
esportes, esporte
da, de o
multinacional, multinacional
,, ,
José, José
Carlos, Carlos
Brunoro, Brunoro
,, ,
e, e
o, o
presidente, presidente
do, de o
Flamengo, Flamengo
,, ,
Kleber, Kleber
Leite, Leite
., .

, 

`, `
`, `
Vamos, ir
mostrar, mostrar
que, que
podemos, poder
levantar, levantar
os, o
recursos, recurso
para, para
ter, ter
o, o
jogador, jogador
'', ''
,, ,
afirmou, afirmar
Kleber, Kleber
ontem, ontem
à, a o
Folha, folha
., .

, 

O, o
Flamengo, Flamengo
recebe, receber
nas, em o
próximas, próximo
semanas, semana
US$, US$
6, 6
milhões, milhão
de, de
adiantamento, adiantamento
da, de o
empreiteira, empreiteira
que, que
construirá, construir
um, um
shopping, shopping
center, center
em, em
terreno, terreno
do, de o
clube, clube
., .

, 

`, `
`, `
Seria, ser
irresponsabilidade, irresponsabilidade
usar, usar
todo, todo
esse, esse
dinheiro, dinheiro
no, em o
projeto, projeto
Edmundo, Edmundo
., .
'', ''

, 

Parte, parte
do, de o
dinheiro, dinheiro
,, ,
porém, porém
,, ,
pode, poder
ser, ser
empregada, empregar
na, em o
contratação, contratação
., .
O, o
restante, restante
seria, ser
obtido, obter
com, com
empresas, empresa
que, que
explorariam, explorar
a, o
imagem, imagem
do, de o
atacante, atacante
., .

, 

O, o
técnico, técnico
Wanderley, Wanderley
Luxemburgo, Luxemburgo
,, ,
que, que
em, em
dezembro, dezembro
se, se
transferiu, transferir
do, de o
Palmeiras, Palmeiras
para, para
o, o
Flamengo, Flamengo
,, ,
já, já
aprovou, aprovar
a, o
contratação, contratação
do, de o
jogador, jogador
,, ,
seu, seu
ex-desafeto, ex-desafeto
., .

, 

Ele, ele
pretende, pretender
recuar, recuar
o, o
atacante, atacante
Sávio, Sávio
para, para
o, o
meio-campo, meio-campo
., .
Assim, assim
,, ,
Edmundo, Edmundo
jogaria, jogar
pela, por o
direita, direita
do, de o
ataque, ataque
,, ,
e, e
Romário, Romário
,, ,
pela, por o
esquerda, esquerda
., .

, 

(, (
MM, MM
), )

, 

