Os, ﻿Os
vôos, vôo
de, de
São, São
Paulo, Paulo
para, para
Damasco, Damasco
,, ,
na, em o
Síria, Síria
,, ,
não, não
são, ser
diretos, direto
e, e
exigem, exigir
conexão, conexão
(, (
troca, troca
de, de
avião, avião
), )
., .

, 

Empresas, empresa
européias, européia
,, ,
como, como
British, British
Airways, Airways
,, ,
têm, ter
linhas, linha
para, para
a, o
capital, capital
síria, sírio
., .

, 

O, o
preço, preço
da, de o
passagem, passagem
promocional, promocional
_, _
com, com
permanência, permanência
entre, entre
sete, sete
dias, dia
e, e
três, três
meses, mês
_, _
é, ser
de, de
US$, US$
1.657, 1.657
., .

, 

Na, em o
Lufthansa, Lufthansa
,, ,
bilhete, bilhete
vendido, vender
nas, em o
mesmas, mesmo
condições, condição
está, estar
por, por
US$, US$
1.758, 1.758
., .

, 

Ambas, Ambas
permitem, permitir
que, que
o, o
passageiro, passageiro
faça, fazer
uma, um
parada, parada
nas, em o
cidades, cidade
onde, onde
é, ser
feita, fazer
a, o
conexão, conexão
_, _
Londres, Londres
e, e
Frankfurt, Frankfurt
,, ,
respectivamente, respectivamente
., .

, 

BRITISH, BRITISH
AIRWAYS, AIRWAYS
:, :
(, (
011, 011
), )
258-6144, 258-6144
;, ;
LUFTHANSA, LUFTHANSA
:, :
(, (
011, 011
), )
236-7733, 236-7733
., .

, 

