É, ﻿É
raro, raro
encontrar, encontrar
pacotes, pacote
exclusivos, exclusivo
para, para
Boston, Boston
., .
A, o
cidade, cidade
aparece, aparecer
em, em
programas, programa
pela, por o
Costa, Costa
Leste, Leste
dos, de o
Estados, Estados
Unidos, Unidos
e, e
Canadá, Canadá
., .

, 

O, o
pacote, pacote
da, de o
Advance, Advance
(, (
011-, 011-
259-2777, 259-2777
), )
é, ser
uma, um
das, de o
exceções, exceção
., .
O, o
programa, programa
prevê, prever
sete, sete
noites, noite
na, em o
cidade, cidade
,, ,
além, além
de, de
aluguel, aluguel
de, de
um, um
carro, carro
., .
Custa, custar
US$, US$
1.545, 1.545
por, por
pessoa, pessoa
,, ,
incluindo, incluir
a, o
passagem, passagem
aérea, aéreo
., .

, 

Não, não
faltam, faltar
opções, opção
de, de
hotéis, hotel
em, em
Boston, Boston
., .
Só, só
na, em o
área, área
metropolitana, metropolitano
são, ser
35, 35
., .
Uma, um
boa, bom
maneira, maneira
de, de
decidir, decidir
onde, onde
ficar, ficar
é, ser
pela, por o
localização, localização
., .

, 

Os, o
vários, vários
hotéis, hotel
concentrados, concentrar
em, em
Back, Back
Bay, Bay
permitem, permitir
bons, bom
passeios, passeio
a, a
pé, pé
,, ,
dispensando, dispensar
o, o
metrô, metrô
., .

, 

Um, um
deles, de eles
,, ,
o, o
Boston, Boston
Park, Park
Plaza, Plaza
(, (
veja, ver
quadro, quadro
), )
,, ,
agrada, agrar
também, também
aos, a o
politicamente, politicamente
corretos, correto
com, com
seu, seu
programa, programa
de, de
controle, controle
ambiental, ambiental
., .

, 

O, o
hotel, hotel
eliminou, eliminar
o, o
uso, uso
de, de
aerossol, aerossol
,, ,
recicla, recicla
papel, papel
e, e
listas, lista
telefônicas, telefônico
,, ,
além, além
de, de
doar, doar
alimentos, alimento
e, e
móveis, móvel
para, para
moradores, morador
locais, local
., .

, 

O, o
hóspede, hóspede
não, não
perde, perder
nada, nada
., .
A, o
única, único
diferença, diferença
nos, em o
serviços, serviço
é, ser
que, que
o, o
hotel, hotel
,, ,
procurando, procurar
reduzir, reduzir
o, o
números, número
de, de
embalagens, embalagem
plásticas, plástico
,, ,
colocou, colocar
recipientes, recipiente
fixos, fixo
de, de
xampu, xampu
e, e
espumas, espuma
de, de
banho, banho
., .

, 

Quem, quem
prefere, preferir
ficar, ficar
próximo, próximo
ao, a o
aeroporto, aeroporto
,, ,
tem, ter
como, como
opção, opção
o, o
confortável, confortável
Harborside, Harborside
Hyatt, Hyatt
., .

, 

(, (
Luciana, Luciana
Veit, Veit
), )

, 

A, o
Mandala, Mandala
(, (
011-257-2558, 011-257-2558
), )
e, e
Soletur, Soletur
(, (
011-231-4244, 011-231-4244
), )
têm, ter
pacotes, pacote
pela, por o
Costa, Costa
Leste, Leste
dos, de o
EUA, EUA
e, e
Canadá, Canadá
com, com
apenas, apenas
um, um
pernoite, pernoite
em, em
Boston, Boston
., .
Preços, preço
de, de
US$, US$
775, 775
a, a
US$, US$
819, 819
,, ,
sem, sem
vôo, vôo
., .

, 

