Os, ﻿Os
jogadores, jogador
do, de o
Corinthians, Corinthians
não, não
deverão, dever
sentir, sentir
muitas, muito
alterações, alteração
com, com
a, o
chegada, chegada
do, de o
técnico, técnico
Afrânio, Afrânio
Riul, Riul
., .
A, a
exemplo, exemplo
do, de o
seu, seu
antecessor, antecessor
Mário, Mário
Sérgio, Sérgio
,, ,
Riul, Riul
disse, dizer
,, ,
em, em
entrevista, entrevista
à, a o
Folha, folha
,, ,
que, que
a, o
forte, forte
marcação, marcação
de, de
meio-campo, meio-campo
é, ser
a, o
base, base
do, de o
seu, seu
sistema, sistema
tático, tático
., .
", "
No, em o
futebol, futebol
atual, atual
todos, todo
devem, dever
defender, defender
e, e
atacar, atacar
., .
Ninguém, ninguém
possui, possuir
posição, posição
fixa, fixo
", "
,, ,
prega, pregar
o, o
ex-ponta-direita, ex-ponta-direita
da, de o
Ponte, Ponte
Preta, Preta
,, ,
que, que
esteve, estar
no, em o
banco, banco
de, de
reservas, reserva
,, ,
durante, durante
a, o
histórica, histórico
final, final
do, de o
Campeonato, Campeonato
Paulista, Paulista
,, ,
em, em
77, 77
., .
", "
Conheci, Conheci
a, o
força, força
da, de o
torcida, torcida
corintiana, corintiano
e, e
pretendo, preter
usá-la, usá-la
para, para
motivar, motivar
os, o
jogadores, jogador
", "
,, ,
disse.(WBJr, disse.(WBJr
), )

, 

*, *

, 

Folha, Folha
-, -
Como, como
o, o
senhor, senhor
pretende, pretender
armar, armar
o, o
time, time
do, de o
Corinthians, Corinthians
?, ?

, 

Afrânio, Afrânio
Riul, Riul
-, -
Primeiro, Primeiro
usarei, usarar
estes, este
dias, dia
de, de
pré-temporada, pré-temporada
para, para
conhecer, conhecer
as, o
características, característica
dos, de o
jogadores, jogador
., .
Não, não
irei, irar
impôr, impôr
um, um
sistema, sistema
para, para
o, o
time, time
,, ,
mas, mas
os, o
jogadores, jogador
–, –
com, com
suas, seu
próprias, próprio
características, característica
–, –
que, que
me, eu
proporcionarão, proporcionar
um, um
sistema, sistema
a, a
ser, ser
adotado, adotar
., .

, 

Folha, Folha
-, -
Mas, mas
o, o
senhor, senhor
tem, ter
preferência, preferência
por, por
algum, algum
esquema, esquema
tático, tático
?, ?

, 

Riul, riul
-, -
Sim, sim
., .
Gosto, Gosto
de, de
jogar, jogar
com, com
dois, dois
volantes, volante
., .
Desta, desta
maneira, maneira
,, ,
a, o
defesa, defesa
fica, ficar
bem, bem
protegida, protegido
e, e
os, o
laterais, lateral
ganham, ganhar
maior, grande
liberdade, liberdade
para, para
apoiarem, apoiar
o, o
ataque, ataque
., .

, 

Folha, Folha
-, -
A, o
marcação, marcação
é, ser
essencial, essencial
?, ?

, 

Riul, riul
-, -
Sem, sem
dúvida, dúvida
., .
No, em o
futebol, futebol
atual, atual
todos, todo
devem, dever
defender, defender
e, e
atacar, atacar
., .
Independente, independente
da, de o
sua, seu
posição, posição
., .
Ninguém, ninguém
tem, ter
posição, posição
fixa, fixo
., .
A, o
velocidade, velocidade
no, em o
modo, modo
de, de
jogar, jogar
é, ser
algo, algo
que, que
todo, todo
time, time
precisa, precisar
ter, ter
., .

, 

Folha, Folha
-, -
Mas, mas
não, não
se, se
trata, tratar
de, de
um, um
esquema, esquema
de, de
retranca, retranca
?, ?

, 

Riul, riul
-, -
De, de
maneira, maneira
nenhuma, nenhum
., .
Sou, ser
adepto, adepto
do, de o
futebol, futebol
arte, arte
., .
Do, de o
jogo, jogo
para, para
frente, frente
., .
Mas, mas
não, não
é, ser
possível, possível
,, ,
atualmente, atualmente
,, ,
jogar, jogar
e, e
deixar, deixar
os, o
outros, outro
jogarem, jogar
., .
O, o
ideal, ideal
é, ser
jogar, jogar
e, e
,, ,
usando, usar
da, de o
marcação, marcação
,, ,
não, não
deixar, deixar
que, que
os, o
outros, outro
joguem, joguem
., .

, 

Folha, Folha
-, -
O, o
senhor, senhor
ainda, ainda
não, não
trabalhou, trabalhar
em, em
times, time
grandes, grande
., .
Como, como
será, ser
o, o
convívio, convívio
com, com
jogadores, jogador
que, que
já, já
atuaram, atuar
em, em
seleção, seleção
brasileira, brasileiro
?, ?

