No, ﻿No
dia, dia
19, 19
de, de
fevereiro, fevereiro
,, ,
a, o
Melbourne, Melbourne
Turismo, Turismo
levará, levar
o, o
segundo, segundo
grupo, grupo
de, de
crianças, criança
brasileiras, brasileiro
para, para
o, o
US, US
Space, Space
Camp, Camp
do, de o
Alabama, Alabama
,, ,
nos, em o
EUA, EUA
., .
Mais, mais
do, de o
que, que
aprender, aprender
,, ,
na, em o
prática, prática
,, ,
matemática, matemático
e, e
física, físico
,, ,
elas, elas
construirão, construir
um, um
protótipo, protótipo
de, de
foguete, foguete
com, com
dois, dois
estágios, estágio
,, ,
que, que
será, ser
lançado, lançar
no, em o
final, final
do, de o
curso, curso
de, de
uma, um
semana, semana
., .
Aprenderão, Aprenderão
nos, em o
simuladores, simulador
o, o
que, que
é, ser
ausência, ausência
de, de
gravidade, gravidade
e, e
poderão, poder
passar, passar
uma, um
noite, noite
num, em um
protótipo, protótipo
de, de
estação, estação
espacial, espacial
., .
Preços, preço
a, a
partir, partir
de, de
US$, US$
2.103, 2.103
/, /
CR$, CR$
736, 736
mil, mil
,, ,
com, com
tudo, tudo
incluído, incluir
., .
(, (
PTV, PTV
), )

, 

RESERVAS, RESERVAS
-, -
(, (
011, 011
), )
832-4392, 832-4392
., .

, 

