O, ﻿O
técnico, técnico
da, de o
seleção, seleção
masculina, masculino
de, de
vôlei, vôlei
,, ,
José, José
Roberto, Roberto
Guimarães, Guimarães
,, ,
embarca, embarca
hoje, hoje
à, a o
noite, noite
com, com
a, o
equipe, equipe
para, para
a, o
Holanda, Holanda
sem, sem
o, o
sexto, sexto
nome, nome
para, para
a, o
equipe, equipe
titular, titular
., .

, 

A, o
vaga, vaga
do, de o
companheiro, companheiro
de, de
Tande, Tande
,, ,
Giovane, Giovane
,, ,
Maurício, Maurício
,, ,
Paulão, Paulão
e, e
Gílson, Gílson
está, estar
sendo, ser
disputada, disputar
por, por
Douglas, Douglas
,, ,
Josenias, Josenias
,, ,
Schwanke, Schwanke
e, e
Alexandre, Alexandre
., .

, 

Os, o
jogadores, jogador
Carlão, Carlão
,, ,
Marcelo, Marcelo
Negrão, Negrão
e, e
Max, Max
estão, estar
contundidos, contundido
., .

, 

Jogador, Jogador
de, de
21, 21
anos, ano
,, ,
campeão, campeão
da, de o
Superliga, Superliga
94/95, 94/95
pela, por o
Frangosul, Frangosul
,, ,
Alexandre, Alexandre
ainda, ainda
não, não
foi, ser
testado, testar
na, em o
equipe, equipe
titular, titular
e, e
terá, ter
a, o
oportunidade, oportunidade
nos, em o
amistosos, amistoso
contra, contra
a, o
Holanda, Holanda
,, ,
nos, em o
dias, dia
15, 15
e, e
16, 16
., .

, 

Nos, em o
dias, dia
19, 19
e, e
21, 21
,, ,
o, o
Brasil, Brasil
enfrenta, enfrentar
a, o
Espanha, Espanha
,, ,
primeira, primeiro
adversária, adversária
no, em o
Grupo, Grupo
A, a
na, em o
Liga, Liga
Mundial, Mundial
_, _
que, que
tem, ter
ainda, ainda
EUA, EUA
e, e
Cuba, Cuba
., .

, 

A, o
seleção, seleção
feminina, feminino
(, (
Leila, Leila
,, ,
Denise, Denise
,, ,
Ricarda, Ricarda
,, ,
Fofão, Fofão
,, ,
Ana, Ana
Flávia, Flávia
e, e
Ida, Ida
), )
faria, fazer
um, um
treino, treino
recreativo, recreativo
ontem, ontem
contra, contra
um, um
time, time
de, de
veteranos, veterano
., .

, 

