Ao, ﻿Ao
contrário, contrário
de, de
muitos, muito
moticiclistas, moticiclista
no, em o
Brasil, Brasil
,, ,
um, um
piloto, piloto
de, de
F-1, F-1
não, não
abre, abrir
mão, mão
de, de
usar, usar
seu, seu
capacete, capacete
pela, por o
simples, simples
razão, razão
de, de
que, que
ele, ele
pode, poder
salvar, salvar
sua, seu
vida, vida
., .

, 

E, e
é, ser
em, em
nome, nome
da, de o
segurança, segurança
que, que
muitos, muito
capacetes, capacete
são, ser
destruídos, destruír
em, em
duríssimos, duríssimos
testes, teste
para, para
que, que
sejam, ser
avaliadas, avaliar
suas, seu
qualidades, qualidade
., .

, 

Elaborado, Elaborar
a, a
partir, partir
de, de
uma, um
composição, composição
de, de
materiais, material
,, ,
a, o
parte, parte
externa, externo
de, de
um, um
capacete, capacete
é, ser
projetada, projetar
para, para
espalhar, espalhar
o, o
choque, choque
recebido, receber
em, em
um, um
acidente, acidente
pela, por o
maior, grande
área, área
possível, possível
., .
No, em o
interior, interior
,, ,
um, um
polímero, polímero
é, ser
usado, usar
para, para
amenizar, amenizar
os, o
feitos, feito
da, de o
inércia, inércia
na, em o
cabeça, cabeça
do, de o
piloto, piloto
após, após
um, um
choque, choque
., .

, 

Um, um
dos, de o
testes, teste
que, que
servem, servir
para, para
medir, medir
a, o
eficiência, eficiência
dos, de o
capacetes, capacete
é, ser
realizado, realizar
pela, por o
Snell, Snell
Memorial, Memorial
Foundation, Foundation
,, ,
nos, em o
Estados, Estados
Unidos, Unidos
., .

, 

Os, o
capacetes, capacete
são, ser
jogados, jogar
de, de
uma, um
altura, altura
de, de
3, 3
metros, metro
,, ,
castigados, castigar
por, por
picaretas, picareta
e, e
queimados, queimar
a, a
800, 800
graus, grau
., .

, 

Tudo, tudo
isso, isso
gera, gerar
um, um
custo, custo
,, ,
que, que
se, se
reflete, refleter
no, em o
preço, preço
do, de o
capacete, capacete
., .
O, o
da, de o
marca, marca
Bell, Bell
,, ,
utilizado, utilizar
por, por
Michael, Michael
Schumacher, Schumacher
,, ,
custa, custar
US$, US$
3.500,00, 3.500,00
., .

, 

(, (
JHM, JHM
), )

, 

