O, ﻿O
presidente, presidente
da, de o
Fifa, Fifa
(, (
entidade, entidade
que, que
dirige, dirigir
o, o
futebol, futebol
mundial, mundial
), )
,, ,
João, João
Havelange, Havelange
,, ,
não, não
acredita, acreditar
em, em
corrupção, corrupção
na, em o
arbitragem, arbitragem
do, de o
Rio, Rio
,, ,
mas, mas
admite, admitir
que, que
", "
possam, poder
ter, ter
existido, exister
erros, erro
", "
., .
Em, em
entrevista, entrevista
por, por
fax, fax
à, a o
Folha, folha
,, ,
afirmou, afirmar
que, que
considera-os, considera-os
", "
fáceis, fácil
de, de
corrigir, corrigir
., .
", "

, 

Ele, ele
defende, defender
o, o
presidente, presidente
da, de o
Federação, federação
do, de o
Rio, Rio
,, ,
Eduardo, Eduardo
Viana, Viana
:, :
", "
É, ser
homem, homem
respeitável, respeitável
", "
., .
Na, em o
sua, seu
opinião, opinião
,, ,
o, o
futebol, futebol
fluminense, fluminense
tem, ter
sido, ser
administrado, administrar
", "
de, de
forma, forma
bastante, bastante
precisa, precisar
", "
., .
Para, para
ele, ele
,, ,
os, o
problemas, problema
do, de o
futebol, futebol
do, de o
Rio, Rio
se, se
devem, dever
ao, a o
esvaziamento, esvaziamento
econômico, econômico
do, de o
Estado, estado
., .
(, (
MM, MM
), )

, 

