Os, ﻿Os
jogadores, jogador
do, de o
São, São
Paulo, Paulo
seguiram, seguir
orientação, orientação
do, de o
técnico, técnico
Telê, Telê
Santana, Santana
e, e
conseguiram, conseguir
se, se
livrar, livrar
do, de o
problema, problema
das, de o
suspensões, suspensão
para, para
o, o
jogo, jogo
da, de o
próxima, próximo
quarta-feira, quarta-feira
,, ,
contra, contra
o, o
Juventus, Juventus
,, ,
no, em o
Morumbi, Morumbi
., .

, 

O, o
treinador, treinador
havia, haver
se, se
reunido, reunir
com, com
o, o
time, time
antes, antes
do, de o
jogo, jogo
de, de
anteontem, anteontem
para, para
pedir, pedir
aos, a o
jogadores, jogador
que, que
evitassem, evitar
cartões, cartão
amarelos, amarelo
., .

, 

O, o
atacante, atacante
Bentinho, Bentinho
foi, ser
apresentado, apresentar
como, como
exemplo, exemplo
a, a
ser, ser
evitado, evitar
., .
Na, em o
partida, partida
anterior, anterior
,, ,
o, o
artilheiro, artilheiro
do, de o
Paulista, Paulista
(, (
17, 17
gols, gol
), )
levou, levar
um, um
cartão, cartão
amarelo, amarelo
por, por
uma, um
discussão, discussão
com, com
o, o
juiz, juiz
., .

, 

A, o
conversa, conversa
foi, ser
levada, levar
a, a
sério, sério
e, e
o, o
São, São
Paulo, Paulo
conseguiu, conseguir
sair, sair
de, de
campo, campo
sem, sem
nenhum, nenhum
cartão, cartão
., .

, 

Bentinho, Bentinho
retorna, retornar
ao, a o
time, time
titular, titular
contra, contra
o, o
Juventus, Juventus
depois, depois
de, de
cumprir, cumprir
suspensão, suspensão
., .

, 

O, o
centroavante, centroavante
Caio, Caio
,, ,
substituído, substituir
por, por
Dodô, Dodô
anteontem, anteontem
,, ,
após, após
levar, levar
uma, um
pancada, pancada
na, em o
coxa, coxa
esquerda, esquerdo
,, ,
vai, ir
ficar, ficar
em, em
tratamento, tratamento
e, e
é, ser
dúvida, dúvida
na, em o
equipe, equipe
., .

, 

Sobre, sobre
possíveis, possível
contratações, contratação
,, ,
Telê, Telê
disse, dizer
ser, ser
necessária, necessário
uma, um
análise, análise
`, `
`, `
muito, muito
longa, longo
'', ''
antes, antes
de, de
o, o
São, São
Paulo, Paulo
decidir, decidir
se, se
vai, ir
trazer, trazer
de, de
volta, volta
o, o
atacante, atacante
Muller, Muller
,, ,
vendido, vender
no, em o
início, início
do, de o
ano, ano
ao, a o
clube, clube
japonês, japonês
Kashiwa, Kashiwa
Reysol, Reysol
por, por
US$, US$
1,7, 1,7
milhão, milhão
., .

, 

`, `
`, `
Temos, ter
que, que
estudar, estudar
muito, muito
para, para
ver, ver
o, o
que, que
é, ser
preciso, preciso
ou, ou
não, não
no, em o
São, São
Paulo, Paulo
,, ,
se, se
o, o
jogador, jogador
interessa, interessar
., .
Temos, ter
que, que
ver, ver
se, se
ele, ele
mudou, mudar
o, o
seu, seu
comportamento, comportamento
'', ''
,, ,
afirmou, afirmar
Telê, Telê
., .

, 

Ele, ele
negou, negar
qualquer, qualquer
interesse, interesse
do, de o
clube, clube
pelo, por o
jogador, jogador
argentino, argentino
Maradona, Maradona
,, ,
que, que
estaria, estar
sendo, ser
disputado, disputar
por, por
Santos, Santos
e, e
Corinthians, Corinthians
., .

, 

Negou, Negou
também, também
o, o
interesse, interesse
de, de
trazer, trazer
de, de
volta, volta
o, o
zagueiro, zagueiro
Válber, Válber
,, ,
que, que
está, estar
no, em o
Flamengo, Flamengo
., .
`, `
`, `
Ele, ele
é, ser
um, um
grande, grande
jogador, jogador
., .
Só, só
foi, ser
embora, embora
porque, porque
se, se
mostrou, mostrar
irresponsável, irresponsável
dentro, dentro
do, de o
São, São
Paulo, Paulo
., .
'', ''

, 

Telê, Telê
desmentiu, desmentir
ter, ter
sido, ser
procurado, procurar
por, por
dirigentes, dirigente
do, de o
Palmeiras, Palmeiras
para, para
assumir, assumir
o, o
comando, comando
do, de o
time, time
., .

, 

